上海华氏大药房雷允上昌化路店,地址：上海市静安区昌化路520号,电话：021-32160621,
上海复美益星大药房连锁有限公司海星大药房,地址：上海市嘉定区江桥镇华江路808号,电话：021-69002109,
上海复美益星大药房连锁有限公司马禄大药房,地址：上海市嘉定区马陆镇玉桂路50号,电话：021-59108668,
上海复美益星大药房连锁有限公司方泰大药房,地址：上海市嘉定区安亭镇方中路108号底层,电话：021-59502931,
上海复美益星大药房连锁有限公司和静大药房,地址：上海市嘉定区徐行镇澄浏公路807号6幢101室,电话：021-59561673,
上海复美益星大药房连锁有限公司新黄大药房,地址：上海市嘉定区新黄路138号,电话：021-59596180,
上海复美益星大药房连锁有限公司金翔大药房,地址：上海市嘉定区华亭镇浏翔公路7270号,电话：021-59972016,
上海复美益星大药房连锁有限公司仓新大药房,地址：上海市嘉定区马陆镇丰登路1511弄西侧,电话：021-59906038,
上海复美益星大药房连锁有限公司徐里桥大药房,地址：上海市奉贤区南桥镇东大型居住社区文明东街116号,电话：400-885-9191,
上海复美益星大药房连锁有限公司炳坚大药房,地址：上海市奉贤区庄行镇三民路565号,电话：021-37586523,
上海复美益星大药房连锁有限公司康君阁新城店,地址：上海市奉贤区南桥镇宝康路39、41号,电话：021-37521199,
上海复美益星大药房连锁有限公司常虹大药房,地址：上海市奉贤区南桥镇北虹路55号,电话：021-57435797,
上海复美益星大药房连锁有限公司康君阁大药房有限公司曙光店,地址：上海市奉贤区望园南路237号,电话：021-33656929,
上海复美益星大药房连锁有限公司俊悦大药房,地址：上海市奉贤区川南奉公路9577号,电话：021-57516181,
上海复美益星大药房连锁有限公司康德振泰药店,地址：上海市奉贤区金汇镇泰日振泰路274-276号,电话：021-57586198,
上海复美益星大药房连锁有限公司康德庄行药店,地址：上海市奉贤区南庄行镇东街5号,电话：021-57466253,
上海复美益星大药房连锁有限公司日臻大药房,地址：上海市奉贤区西渡鸿乐路181号183号,电话：021-60249275,
上海复美益星大药房连锁有限公司康德青村药店,地址：上海市奉贤区青村镇南奉公路2782号,电话：021-57561181,
上海复美益星大药房连锁有限公司康德源心药店,地址：上海市奉贤区南桥镇江南路200号,电话：021-57416767,
上海复美益星大药房连锁有限公司家嘉大药房,地址：上海市奉贤区南奉公路6083号,电话：021-37573106,
上海复美益星大药房连锁有限公司康德锦绣药店,地址：上海市奉贤区柘林镇钦林南路62号,电话：021-57445173,
上海复美益星大药房连锁有限公司昊林大药房,地址：上海市奉贤区新建西路647号,电话：021-67191391,
上海复美益星大药房连锁有限公司康德柘林药店,地址：上海市奉贤区柘林镇新柘中路86号,电话：021-57444431,
上海复美益星大药房连锁有限公司立琪大药房,地址：上海市奉贤区南桥镇肖塘路206-208号,电话：021-57437158,
上海复美益星大药房连锁有限公司顺唐大药房,地址：上海市奉贤区曙光路33号,电话：021-57186678,
上海复美益星大药房连锁有限公司康德奉新药店,地址：上海市奉贤区海湾旅游区奉炮公路220号,电话：021-57120124,
上海复美益星大药房连锁有限公司康德邵厂药店,地址：上海市奉贤区四团镇邵厂邵厂路45号,电话：021-57143040,
上海复美益星大药房连锁有限公司康德胡桥药店,地址：上海市奉贤区柘林镇胡桥新街120号,电话：021-57456248,
上海复美益星大药房连锁有限公司康德平安药店,地址：上海市奉贤区四团镇平安平福街1478号,电话：021-57541232,
上海复美益星大药房连锁有限公司康德四团药店,地址：上海市奉贤区四团镇新街12号,电话：021-57533592,
上海复美益星大药房连锁有限公司康德新寺药店,地址：上海市奉贤区柘林镇新寺新北路23号,电话：021-57491060,
上海复美益星大药房连锁有限公司康德南门药店,地址：上海市奉贤区奉城镇南门川南奉公路9752号,电话：021-57526883,
上海复美益星大药房连锁有限公司康德洪庙药店,地址：上海市奉贤区奉城镇洪庙浦东路10号,电话：021-37559044,
上海复美益星大药房连锁有限公司康德光明药店,地址：上海市奉贤区南桥镇优化路191号,电话：021-57470280,
上海复美益星大药房连锁有限公司康德奉城药店,地址：上海市奉贤区奉城镇东街60号,电话：021-57522180,
上海复美益星大药房连锁有限公司康德肖塘药店,地址：上海市奉贤区南桥镇西渡南虹路15号,电话：021-57434259,
上海复美益星大药房连锁有限公司康德泰日药店,地址：上海市奉贤区金汇镇泰日新建路16号,电话：021-57586198,
上海复美益星大药房连锁有限公司康德新建药店,地址：上海市奉贤区南桥镇新建西路98、100号,电话：021-57419565,
上海复美益星大药房连锁有限公司康德头桥药店,地址：上海市奉贤区奉城镇头桥中路58号,电话：021-57554984,
上海复美益星大药房连锁有限公司康德西渡药店,地址：上海市奉贤区南桥镇沪杭公路88号,电话：021-57151624,
上海复美益星大药房连锁有限公司祥江大药房,地址：上海市宝山区长江南路925号,电话：021-61170156,
上海复美益星大药房连锁有限公司康德金汇药店,地址：上海市奉贤区金汇镇中街81号,电话：021-57481215,
上海复美益星大药房连锁有限公司起航大药房,地址：上海市长宁区林泉路433号,电话：021-62913636,
上海复美益星大药房连锁有限公司淞良大药房,地址：上海市宝山区淞良路272号,电话：021-66150081,
上海复美益星大药房连锁有限公司康德康苑药店,地址：上海市奉贤区奉城镇头桥中路190号,电话：021-57550167,
上海复美益星大药房连锁有限公司共泉大药房,地址：上海市宝山区三泉路1438号,电话：021-66243180,
上海复美益星大药房连锁有限公司康德塘外药店,地址：上海市奉贤区奉城镇塘外人民路142号,电话：021-57172295,
上海复美益星大药房连锁有限公司康德齐贤药店,地址：上海市奉贤区金汇镇齐贤钱金公路1762号,电话：021-57575949,
上海复美益星大药房连锁有限公司康德大药房,地址：上海市奉贤区南桥镇人民中路227号,电话：400-885-9191,
上海复美益星大药房连锁有限公司迎乐大药房,地址：上海市长宁区迎乐路128号,电话：021-32521932,
上海复美益星大药房连锁有限公司晓鸣大药房,地址：上海市宝山区水产西路2600弄88号102室,电话：021-36418753,
上海复美益星大药房连锁有限公司康德钱桥药店,地址：上海市奉贤区青村镇钱桥金钱公路4882号,电话：021-57596257,
上海复美益星大药房连锁有限公司康德古华药店,地址：上海市奉贤区南桥镇育秀西路698-700号,电话：021-57191527,
上海复美益星大药房连锁有限公司袭明大药房,地址：上海市宝山区上大路1322号-1328号,电话：021-66121790,
上海复美益星大药房连锁有限公司康德邬桥药店,地址：上海市奉贤区庄行镇邬桥安中路96号,电话：021-57402912,
上海复美益星大药房连锁有限公司康德贝港药店,地址：上海市奉贤区南桥镇解放西路409号,电话：021-67191178,
上海复美益星大药房连锁有限公司胜杰大药房,地址：上海市宝山区潘泾路4747号,电话：400-885-9191,
上海复美益星大药房连锁有限公司丰明大药房,地址：上海市宝山区祁连山路2088弄2号-2,电话：021-36588608,
上海复美益星大药房连锁有限公司兴富大药房,地址：上海市宝山区杨鑫路110号,电话：021-36419550,
上海复美益星大药房连锁有限公司明兴大药房,地址：上海市宝山区美艾路152-154号,电话：021-56128683,
上海复美益星大药房连锁有限公司亿盛大药房,地址：上海市宝山区水产西路769号,电话：021-33911391,
上海复美益星大药房连锁有限公司旭源大药房,地址：上海市宝山区鹤林路270号,电话：021-66030063,
上海复美益星大药房连锁有限公司福参源大药房药柜,地址：上海市宝山区牡丹江路720号,电话：400-885-9191,
上海复美益星大药房连锁有限公司东丰大药房,地址：上海市宝山区塘西街422号、424号,电话：021-33715291,
上海复美益星大药房连锁有限公司美兰大药房,地址：上海市宝山区友谊路1899弄31号一楼,电话：021-66751541,
上海复美益星大药房连锁有限公司福仁大药房,地址：上海市宝山区呼玛路696-702号,电话：021-56016591,
上海杨浦益丰大药房有限公司辽源西路店,地址：上海市杨浦区辽源西路111号,电话：021-35309133,
海王星辰健康药房连锁有限公司SHA017春申店,地址：上海市闵行区春申路2801号,电话：021-34632998,
海王星辰健康药房连锁有限公司SHA024虎林店,地址：上海市宝山区虎林路101-103号,电话：021-56749913,
海王星辰健康药房连锁有限公司SHA018畹町店,地址：上海市闵行区畹町路100弄52号,电话：021-54378424,
海王星辰健康药房连锁有限公司SHA003上中店,地址：上海市徐汇区老沪闵路809号,电话：021-34120186,
海王星辰健康药房连锁有限公司SHA019顺义店,地址：上海市普陀区顺义路74号,电话：021-52359347,
海王星辰健康药房连锁有限公司SHA030台儿庄店,地址：上海市浦东新区台儿庄路600号,电话：021-58993194,
海王星辰健康药房连锁有限公司SHA010莘沥店,地址：上海市闵行区莘沥路133号,电话：021-64887218,
海王星辰健康药房连锁有限公司SHA037隆德店,地址：上海市普陀区隆德路109号 - 115号 (近顺义路),电话：021-52364802,
海王星辰健康药房连锁有限公司SHA026吉浦店,地址：上海市杨浦区吉浦路339号,电话：021-33816863,
海王星辰健康药房连锁有限公司SHA027镇宁店,地址：上海市静安区镇宁路420号,电话：021-62126236,
海王星辰健康药房连锁有限公司SHA012广灵店,地址：上海市虹口区广灵四路577号,电话：021-65269308,
海王星辰健康药房连锁有限公司SHA031峨山店,地址：上海市浦东新区峨山路175号,电话：021-68389866,
海王星辰健康药房连锁有限公司SHA033岚皋店,地址：上海市普陀区岚皋路241号,电话：021-52244448,
海王星辰健康药房连锁有限公司SHA020古美店,地址：上海市闵行区古美路717号,电话：021-54809612,
海王星辰健康药房连锁有限公司SHA044安龙店,地址：上海市长宁区新渔东路282号,电话：021-62906011,
海王星辰健康药房连锁有限公司SHA023祥德店,地址：上海市虹口区祥德路105号,电话：021-65403666,
海王星辰健康药房连锁有限公司SHA028羽山店,地址：上海市浦东新区羽山路992号,电话：021-68530838,
海王星辰健康药房连锁有限公司SHA025延长店,地址：上海市闸北区平型关路551号,电话：021-56386695,
海王星辰健康药房连锁有限公司SHA047颛盛店,地址：上海市闵行区颛盛路169号,电话：021-64891840,
海王星辰健康药房连锁有限公司SHA029万航店,地址：上海市长宁区万航渡路1483号,电话：021-62259033,
海王星辰健康药房连锁有限公司SHA034华灵店,地址：上海市宝山区大华三路8号,电话：021-66403791,
海王星辰健康药房连锁有限公司SHA038七莘店,地址：上海市闵行区七莘路2845号,电话：021-64618843,
海王星辰健康药房连锁有限公司SHA039医学院店,地址：上海市徐汇区医学院路14号,电话：021-54963008,
海王星辰健康药房连锁有限公司SHA041华光店,地址：上海市闵行区华光路300弄370号,电话：021-61451263,
海王星辰健康药房连锁有限公司SHA048龙茗店,地址：上海市闵行区龙茗路1639，1653号,电话：021-64805461,
海王星辰健康药房连锁有限公司SHA011武夷店,地址：上海市长宁区武夷路563号,电话：021-62100984,
海王星辰健康药房连锁有限公司SHA021天山店,地址：上海市长宁区天山支路128号,电话：021-62333219,
海王星辰健康药房连锁有限公司SHA070新郁店,地址：上海市嘉定区新郁路807号大润发2楼21号商铺,电话：021-69106679,
海王星辰健康药房连锁有限公司SHA056畹町二店,地址：上海市闵行区畹町路99弄300号102室,电话：021-54371167,
海王星辰健康药房连锁有限公司SHA049兴梅店,地址：上海市闵行区兴梅路1192号,电话：021-54997724,
海王星辰健康药房连锁有限公司SHA060紫云店,地址：上海市长宁区紫云路309号,电话：021-62414251,
海王星辰健康药房连锁有限公司SHA054南桥店,地址：上海市奉贤区南亭公路601号,电话：021-57109453,
海王星辰健康药房连锁有限公司SHA057新龙店,地址：上海市闵行区新龙路1077号,电话：021-33500641,
海王星辰健康药房连锁有限公司SHA063江桥店,地址：上海市嘉定区曹安路2188号,电话：021-39525189,
海王星辰健康药房连锁有限公司SHA051宝秀店,地址：上海市闵行区宝秀路860号,电话：021-64523824,
海王星辰健康药房连锁有限公司SHA050灵山店,地址：上海市浦东新区灵山路716号,电话：021-50281276,
海王星辰健康药房连锁有限公司SHA062羽山二店,地址：上海市浦东新区羽山路276号,电话：021-68537491,
海王星辰健康药房连锁有限公司SHA064迎春店,地址：上海市浦东新区迎春路832号,电话：021-68541924,
海王星辰健康药房连锁有限公司SHA080古美二店,地址：上海市闵行区古美路420号103室,电话：021-54808091,
海王星辰健康药房连锁有限公司SHA065羽山三店,地址：上海市浦东新区羽山路686号,电话：021-58520439,
海王星辰健康药房连锁有限公司SHA073虹桥店,地址：上海市徐汇区虹桥路550号F座,电话：021-64074883,
海王星辰健康药房连锁有限公司SHA077莘松店,地址：上海市闵行区莘松路406--408号,电话：021-34207678,
海王星辰健康药房连锁有限公司SHA087肇嘉浜路店,地址：上海市徐汇区肇嘉浜路259号,电话：021-54039782,
海王星辰健康药房连锁有限公司SHA075宝城店,地址：上海市闵行区宝城路278号近莘朱路,电话：021-54150569,
海王星辰健康药房连锁有限公司SHA081临潼店,地址：上海市虹口区临潼路170号D座,电话：021-35121177,
海王星辰健康药房连锁有限公司SHA002黄石店,地址：上海市徐汇区黄石路28号,电话：021-54357188,
海王星辰健康药房连锁有限公司SHA085长清店,地址：上海市浦东新区长清路1200弄1号2楼27商铺,电话：021-20232427,
海王星辰健康药房连锁有限公司SHA042万科店,地址：上海市闵行区七莘路3333弄375号101室万科花园3区,电话：021-64619629,
海王星辰健康药房连锁有限公司SHA086浦电店,地址：上海市浦东新区浦电路398号,电话：021-50156626,
海王星辰健康药房连锁有限公司SHA059东新店,地址：上海市普陀区东新路76号,电话：021-61230214,
海王星辰健康药房连锁有限公司SHA001漕宝店,地址：上海市徐汇区漕宝路83号,电话：021-54482748,
上海恒德大药房有限公司新华路药店,地址：上海市金山区张堰镇新华东路17号,电话：021-57217064,
上海恒德大药房有限公司钱圩药店,地址：上海市金山区金山卫镇建圩路48号,电话：021-57291023,
上海恒德大药房有限公司张堰药店,地址：上海市金山区张堰镇张堰大街435号,电话：021-57213065,
上海恒德大药房有限公司枫阳药店,地址：上海市金山区枫泾镇枫阳路141-1号,电话：021-67354108,
上海恒德大药房有限公司红光路药店,地址：上海市金山区干巷镇红光路142-146号,电话：021-57207203,
上海恒德大药房有限公司枫泾药店,地址：上海市金山区枫泾镇枫丽路198-200号,电话：021-57351012,
上海恒德大药房有限公司枫健药店,地址：上海市金山区枫泾镇中大街215号,电话：021-57351247,
上海恒德大药房有限公司干巷药店,地址：上海市金山区干巷镇干溪街278号,电话：021-57201014,
上海恒德大药房有限公司新吕药店,地址：上海市金山区吕巷镇金张公路4864、4866号,电话：021-57371232,
上海恒德大药房有限公司廊漕药店,地址：上海市金山区漕廊公路2901号13--1,电话：021-57247159,
上海恒德大药房有限公司山阳药店,地址：上海市金山区山阳镇山新路78号,电话：021-57241147,
上海恒德大药房有限公司康禄药店,地址：上海市金山区金山工业区开乐大街160号,电话：021-57271455,
上海恒德大药房有限公司吕巷药店,地址：上海市金山区吕巷镇新东街115号,电话：021-57371379,
上海恒德大药房有限公司漕泾药店,地址：上海市金山区漕泾镇中一西路231号,电话：021-57251011,
上海恒德大药房有限公司廊下药店,地址：上海市金山区廊下镇廊下大街189号,电话：021-57391002,
上海恒德大药房有限公司朱行药店,地址：上海市金山区朱行镇市中路195号,电话：021-57270850,
上海恒德大药房有限公司松隐药店,地址：上海市金山区松隐镇松溪路134号,电话：021-57381127,
上海恒德大药房有限公司亭林药店,地址：上海市金山区亭林镇中山街255-257号,电话：021-57233532,
上海恒德大药房有限公司新农药店,地址：上海市金山区朱泾镇浦银路368号,电话：021-57340641,
上海恒德大药房有限公司罗星药店,地址：上海市金山区朱泾镇罗星路104号,电话：021-57317941,
上海恒德大药房有限公司兴利药店,地址：上海市金山区兴塔镇新金山路279号,电话：021-57360298,
上海恒德大药房有限公司寺平药店,地址：上海市金山区亭林镇寺平北路82号,电话：021-67230993,
上海恒德大药房有限公司卫零药店,地址：上海市金山区卫零路751.753.755号 ,电话：021-57968956,
上海恒德大药房有限公司蒙山药店,地址：上海市金山区蒙山路1008-1012号,电话：021-67244850,
上海恒德大药房有限公司又康药店,地址：上海市金山区金山卫镇学府路715号,电话：021-57265475,
上海恒德大药房有限公司松溪药店,地址：上海市金山区亭林镇松隐中心路142.144号,电话：021-57381252,
上海恒德大药房有限公司城南药店,地址：上海市金山区朱泾镇塘园路407.409号,电话：021-57336191,
上海恒德大药房有限公司华氏金山第一药店,地址：上海市金山区朱泾镇万安街657号,电话：021-57336626,
上海恒德大药房有限公司群益药店,地址：上海市金山区朱泾镇西林街172号,电话：021-57317947,
上品通（上海）药房有限公司,地址：上海市浦东新区御桥路270弄28号,电话：400-669-8586,
上海康德乐百微药房有限公司,地址：上海市徐汇区虹桥路808号B103室,电话：021-33685859,
康德乐（上海）大药房有限公司,地址：上海市静安区武定路970号 ,电话：021-62116175,
上海百微药房有限公司,地址：上海市浦东新区杨高南路2875号102-1室 ,电话：021-60752616,
上海国大药房正清店,地址：上海市金山区山阳镇卫清西路477号乐购金山店2楼C10,电话：021-33693719,
上海国大药房万道新博店,地址：上海市浦东新区博兴路1212号,电话：021-50497615,
上海国大药房长成店,地址：上海市长宁区长宁路1302弄73支弄,电话：021-63802181,
上海国大药房陈春店,地址：上海市浦东新区陈春路204号1层,电话：021-50772010,
上海国大药房广馨店,地址：上海市宝山区海江路316-318号,电话：021-56116829,
上海国大药房林淞罗溪店,地址：上海市宝山区罗溪路721-723号,电话：021-36213896,
上海国大药房硕阳店,地址：上海市崇明县堡镇堡港村922号1室9-2B# ,电话：021-59418773,
上海国大药房凌云店,地址：上海市长宁区延安西路1462号,电话：021-52302707,
上海国大药房玮峰店,地址：上海市浦东新区永泰路124号1层,电话：021-58901332,
上海国大药房鑫诚店,地址：上海市浦东新区临沂路359号一层,电话：021-50916623,
上海国大药房林淞曙建店,地址：上海市闵行区曙建路49-4号,电话：021-54400127,
上海国大药房万道志丹店,地址：上海市普陀区新村路356号,电话：021-56486326,
上海国大药房林淞张江店,地址：上海市浦东新区中科路2516号一层,电话：021-58447665,
上海国大药房万道博兴店,地址：上海市浦东新区台儿庄路5号,电话：021-50430758,
上海国大药房江文店,地址：上海市闵行江文路356号1层,电话：021-64112898,
上海国大药房普善店,地址：上海市闵行区都市路758号1层,电话：021-64205658,
上海国大药房慧鑫店,地址：上海市浦东新区航头镇鹤沙路730-732号,电话：021-38211968,
上海国大药房万道佳林店,地址：上海市浦东新区佳林路99号 ,电话：021-50319970,
上海国大药房金世堂花木店,地址：上海市浦东新区樱花路827号一层,电话：021-33938175,
上海国大药房林淞店,地址：上海市浦东新区利津路1190号,电话：021-33828618,
上海国大药房华生店,地址：上海市闵行区吴中路380弄2号,电话：021-54772300,
上海国大药房金世堂石楠店,地址：上海市浦东新区梅花路1099号115室,电话：021-60936003,
上海国大药房长裕店,地址：上海市闵行区莘建东路190号底层西侧,电话：021-54130317,
上海国大药房涟源龙茗路店,地址：上海市闵行区龙茗路86号1—2层,电话：021-34970328,
上海国大药房万道店,地址：上海市普陀区宜川路93号 ,电话：021-56486312,
上海国大药房华青店,地址：上海市南汇区康桥镇康桥路1590号,电话：021-58126721,
上海国大药房涟源鑫都路店,地址：上海市闵行区鑫都路2590号,电话：021-34630340,
上海国大药房浦涛店,地址：上海市闵行浦涛路806号1-2层,电话：021-64119810,
上海国大药房长航店,地址：上海市闵行航中路392号,电话：021-52275729,
上海国大药房汇佳店,地址：上海市金山区朱泾镇金龙新街466、468、470号,电话：021-57311741,
上海国大药房坤南店,地址：上海市宝山区通南路59号,电话：021-66016106,
上海国大药房涟源向阳路店,地址：上海市闵行区向阳路115号西起第1、2间,电话：021-33506859,
上海国大药房长风店,地址：上海市普陀区怒江北路236号,电话：021-62644533,
上海国大药房伸立店,地址：上海市宝山区华秋路211号1层,电话：021-66129577,
上海国大药房涟源店,地址：上海市闵行区春都路109号,电话：021-64909378,
上海国大药房兆源店,地址：上海市闵行区北翟支路54号,电话：021-52262443,
上海国大药房葆源店,地址：上海市闵行区银都路3828弄52号101室,电话：021-54426074,
上海国大药房万源店,地址：上海市闵行区东兰路717号,电话：021-54937128,
上海国大药房慧汇店,地址：上海市南汇区沪南公路4845号,电话：021-58141101,
上海国大药房菊盛店,地址：上海市宝山区菊盛路881号,电话：021-56152801,
上海国大药房雅苑店,地址：上海市宝山区花园宅路80号,电话：021-55385241,
上海国大药房月新店,地址：上海市宝山区月浦二村8号,电话：021-56922133,
上海国大药房澳门店,地址：上海市普陀区江宁路1330号,电话：021-62772897,
上海国大药房大场店,地址：上海市宝山区沪太支路1502号,电话：021-66500787,
上海国大药房奉满店,地址：上海市奉贤区奉城镇川南奉公路9969号,电话：021-57512619,
上海国大药房怡源七莘路店,地址：上海市浦东新区联明路246号,电话：021-64590029,
上海国大药房益民店,地址：上海市宝山区南大路28弄3号,电话：021-66506950,
上海国大药房刘行店,地址：上海市宝山区菊泉街535-539号,电话：021-56028828,
上海国大药房祁连店,地址：上海市宝山区南大路506弄1号,电话：021-62849631,
上海国大药房通河店,地址：上海市宝山区长江西路1869号 ,电话：021-56643613,
上海国大药房场北店,地址：上海市宝山区场北路46号,电话：021-56378339,
上海国大药房潘广店,地址：上海市宝山区菊盛路1013号,电话：021-56122260,
上海国大药房罗南店,地址：上海市宝山区东太路402--406号,电话：021-56011250,
上海国大药房怡源店,地址：上海市闵行区疏影路1022号 ,电话：021-54884107,
上海国大药房葑塘店,地址：上海市宝山区锦秋路1397号,电话：021-56137340,
上海国大药房溢源店,地址：上海市闵行区东兰路248号72幢102室,电话：021-64959722,
上海国大药房陆翔店,地址：上海市宝山区陆翔路111弄6号106室,电话：021-56011250,
上海国大药房桃源店,地址：上海市宝山区梅林路672号,电话：021-56805682,
上海国大药房乾溪店,地址：上海市宝山区环镇北路358号,电话：021-56508813,
上海国大药房罗店店,地址：上海市宝山区亭前街158号,电话：021-56863706,
上海国大药房顾村店,地址：上海市宝山区顾新路23号,电话：021-56043049,
上海国大药房潘沪店,地址：上海市宝山区潘沪路193号,电话：021-66590329,
上海国大药房市一店,地址：上海市宝山区罗溪路204号,电话：021-66862203,
上海国大药房新镇店,地址：上海市宝山区月新路869号,电话：021-56644714,
上海国大药房罗泾店,地址：上海市宝山区陈镇路18号,电话：021-56870167,
上海国大药房门市部,地址：上海市宝山区牡丹江路1536号,电话：021-56113634,
上海国大药房月浦店,地址：上海市宝山区绥化路45--47号,电话：021-56196722,
上海国大药房纬地店,地址：上海市宝山区纬地路112号,电话：021-61073720,
上海国大药房水苑店,地址：上海市崇明县合作路816号,电话：021-33803107,
上海国大药房保德店,地址：上海市闸北区保德路1300号,电话：021-66240361,
上海国大药房安家店,地址： 上海市宝山区安家路20号,电话：021-56647133,
上海国大药房新民店,地址：上海市崇明县丰乐路2596号,电话：021-56890497,
上海国大药房真华店,地址：上海市宝山区真华路1815号,电话：021-36324210,
上海国大药房菊联店,地址：上海市宝山区菊联路83号,电话：021-36312509,
上海国大药房蕴川店,地址：上海市宝山区水产西路132号,电话：021-56499941,
上海国大药房潘石店,地址：上海市崇明县潘石村571号,电话：021-66858186,
上海国大药房杨行店,地址：上海市宝山区杨泰路488号,电话：021-56802412,
上海国大药房岭南店,地址：上海市宝山区共康东路329号,电话：021-56916545,
上海国大药房宝山店,地址：上海市闸北区宝山路55号,电话：021-63241830,
上海国大药房培春店,地址：上海市宝山区牡丹江路1701号,电话：021-56695610,
上海国大药房宝长店,地址：上海市宝山区长江西路2227号,电话：021-33873760,
上海国大药房凤凰店,地址：上海市崇明县凤凰镇116号,电话：021-56850642,
上海国大药房和田店,地址：上海市闸北区和田路430号,电话：021-56624333,
上海国大药房宝淞店,地址：上海市宝山区牡丹江路487号,电话：021-56164586,
上海国大药房共和新路店,地址：上海市闸北区闻喜路921号,电话：021-56480989,
上海国大药房聚盈店,地址：上海市宝山区聚丰园路188弄232号,电话：021-66122905,
上海国大药房圆沙店,地址：上海市崇明县潘园公路28号,电话：021-66859919,
上海国大药房淞滨店,地址：上海市宝山区淞滨路862--864号,电话：021-56847066,
上海国大药房虎林店,地址：上海市宝山区虎林路361号,电话：021-56990178,
上海国大药房新环店,地址：上海市崇明县民惠路123号-131,电话：021-56892498,
上海国大药房临汾店,地址：上海市闸北区临汾路467号,电话：021-56911726,
上海国大药房逸高店,地址： 上海市宝山区友谊支路43-45号,电话：021-56118660,
上海国大药房阳城店,地址：上海市闸北区阳城路101弄1-6号,电话：021-56379764,
上海国大药房陈川店,地址：上海市宝山区陈川路150-152号,电话：021-56877990,
上海国大药房西藏北路店,地址：上海市闸北区中华新路410号,电话：021-56310452,
上海国大药房保健店,地址：上海市宝山区共康路102号,电话：021-66243842,
上海国大药房灵石店,地址：上海市闸北区灵石路1001号,电话：021-56073842,
上海国大药房顾泰店,地址：上海市宝山区泰和西路3381弄64号,电话：021-66042920,
上海国大药房芷江西路店,地址：上海市闸北区芷江西路263号,电话：021-56986354,
上海国大药房沙浦店,地址：上海市宝山区沙浦路143号,电话：021-36314255,
上海国大药房三泉店,地址：上海市宝山区三泉路1877号,电话：021-33879199,
上海国大药房万荣店,地址：上海市闸北区灵石路735弄43号,电话：021-56650551,
上海国大药房宝菊店,地址：上海市宝山区菊联路224号,电话：021-36312507,
上海国大药房永兴店,地址：上海市闸北区永兴路583号乙,电话：021-56900361,
国药控股国大药房上海连锁有限公司七宝店,地址：上海市闵行区七莘路佳宝一村1-51号,电话：021-64619218,
国药控股国大药房上海连锁有限公司东盛店,地址：上海市杨浦区平凉路1489号,电话：021-65703600,
国药控股国大药房上海连锁有限公司张杨店,地址：上海市浦东新区南泉北路528号北一层,电话：021-58356659,
国药控股国大药房上海连锁有限公司武宁南路店,地址：上海市静安区武宁南路115号1层,电话：021-33533960,
国药控股国大药房上海连锁有限公司希望路店,地址：上海市嘉定区希望路1078、1080号,电话：021-59103325,
国药控股国大药房上海连锁有限公司北京西路店,地址：上海市黄浦区北京西路312号,电话：021-63593342,
国药控股国大药房上海连锁有限公司浙江中路店,地址：上海市黄浦区浙江中路661号一层,电话：021-63505258,
国药控股国大药房上海连锁有限公司同丰路店,地址：上海市虹口区同丰路616号,电话：021-56339711,
国药控股国大药房上海连锁有限公司宛平南路店,地址：上海市徐汇区宛平南路221号,电话：021-33685594,
国药控股国大药房上海连锁有限公司龙华路店,地址：上海市徐汇区龙华路2307号1-2层,电话：021-33685156,
国药控股国大药房上海连锁有限公司御青路店,地址：上海市南汇区御青路1027号,电话：021-58124334,
国药控股国大药房上海连锁有限公司曲阳路店,地址：上海市虹口区曲阳路102号甲室,电话：021-55153639,
国药控股国大药房上海连锁有限公司保屯路店,地址：上海市黄浦区保屯路133号,电话：021-63169596,
国药控股国大药房上海连锁有限公司江安店,地址：上海市徐汇区虹漕南路660号,电话：021-54186965,
国药控股国大药房上海连锁有限公司秀沈路店,地址：上海市浦东新区秀沈路218号,电话：021-68046386,
国药控股国大药房上海连锁有限公司凌兆店,地址：上海市浦东新区灵岩南路1092号,电话：021-50821171,
国药控股国大药房上海连锁有限公司广中路店,地址：上海市虹口区广中路631号,电话：021-65285322,
国药控股国大药房上海连锁有限公司钦州路店,地址：上海市徐汇区钦州路136号,电话：021-64086452,
国药控股国大药房上海连锁有限公司关爱店,地址：上海市静安区新闸路1950号,电话：021-62674640,
国药控股国大药房上海连锁有限公司碧波路店,地址：上海市浦东新区碧波路79号,电话：021-50271115,
国药控股国大药房上海连锁有限公司严桥路店,地址：上海市浦东新区严桥路66号,电话：021-58391794,
国药控股国大药房上海连锁有限公司仓场路店,地址：上海市嘉定区仓场路59号,电话：021-59992997,
国药控股国大药房上海连锁有限公司首善街店,地址：上海市浦东新区书院镇首善街609号1层,电话：021-20982005,
国药控股国大药房上海连锁有限公司南桥店,地址：上海市奉贤区百齐路588号,电话：021-33610873,
国药控股国大药房上海连锁有限公司北江燕路店,地址：上海市闵行区北江燕路184号,电话：021-34500030,
国药控股国大药房上海连锁有限公司山西北路店,地址：上海市闸北区山西北路208号,电话：021-63097307,
国药控股国大药房上海连锁有限公司西藏南店,地址：上海市黄浦区南车站路470号,电话：021-63164581,
国药控股国大药房上海连锁有限公司临港店,地址：上海市浦东新区康乃馨路148弄5号108室,电话：021-20938969,
国药控股国大药房上海连锁有限公司恒大店,地址：上海市浦东新区上南路3360号,电话：021-33902403,
国药控股国大药房上海连锁有限公司川黄路店,地址：上海市浦东新区川沙镇川黄路141号,电话：021-58902004,
