吉林省中东健康万家医药连锁有限公司开工店,地址：吉林省长春市朝阳区开运街开工胡同内，南街超市边,电话：0431-85943411,
吉林大药房新竹路连锁店,地址：吉林省长春市绿园区青年了83号第C幢一层114号房,电话：0431-81912506,
吉林大药房铁西街连锁店,地址：吉林省长春市绿园区铁西街道58号,电话：0431-85075132,
吉林大药房万科上东区连锁店,地址：吉林省长春市二道区经纬南路709号,电话：0431-81890826,
吉林大药民丰街连锁店,地址：吉林省长春市二道区杏花苑9栋,电话：无,
吉林大药房天嘉连锁店,地址：吉林省长春市绿园区新竹路天嘉水晶城59栋120号,电话：0431-87058454,
吉林大药房阳光华尔兹连锁店,地址：吉林省长春市二道区乐群街阳光华尔兹小区A11-A13号楼1层104室,电话：无,
吉林大药房威海路连锁店,地址：吉林省长春市经济开发区东环城路以西、珠海路以北、威海路以西南福临家园东区一期,电话：无,
吉林大药房福安街连锁店,地址：吉林省长春市二道区公平路阳光华尔兹小区B1号楼112号,电话：0431-85075168,
吉林大药房香水湾连锁店,地址：吉林省长春市二道区远达大街同康路香水湾D1栋109号,电话：0431-81928153,
吉林大药房深圳街连锁店,地址：吉林省长春市开发区深圳街3号111室,电话：无,
吉林大药房富民小区连锁店,地址：吉林省长春市二道区远达大街富民小区2栋3门,电话：0431-85076312,
吉林大药房风华新苑连锁店,地址：吉林省长春市绿园区风华新苑C区10-11栋103室,电话：0431-81912679,
吉林大药房客车厂连锁店,地址：吉林省长春市绿园区春阳街33-1号,电话：无,
吉林大药房柳影路连锁店,地址：吉林省长春市宽城区农安南街万龙第五城2栋107室,电话：0431-85076323,
吉林大药房洋浦花园连锁店,地址：吉林省长春市开发区洋浦大街3666号万科洋浦花园第二幢1单元101号房,电话：0431-81912562,
吉林大药房浦东明珠连锁店,地址：吉林省长春经济技术开发区万龙浦东明珠公寓B幢1单元101号,电话：无,
吉林大药房金玉良园连锁店,地址：吉林省长春市宽城区凯旋路7号金玉良园小区103号,电话：0431-85076361,
吉林大药房百合香湾连锁店,地址：吉林省长春市保利远达大街小区3（c)、4（D)区第D9栋4单元104号,电话：无,
吉林大药房澳海东方一号连锁店,地址：吉林省长春市经济技术开发区澳海东方一号门市第36栋3单元107号,电话：无,
吉林大药房公平路连锁店,地址：吉林省长春市二道区民丰大街民丰家园4栋101号,电话：0431-85075350,
吉林大药房临河街连锁店,地址：吉林省长春市经济技术开发区临河街与珠海路交汇处,电话：无,
吉林大药房南京大街连锁店,地址：吉林省长春市宽城区南京大街45-61号,电话：无,
吉林大药房柳影家园连锁店,地址：吉林省长春市宽城区柳影家园一期9号楼110室,电话：无,
吉林大药房万龙北斗星城连锁店,地址：吉林省长春市宽城区农安南街以西、扶余路以北万龙北斗星城C-5栋5单元110号,电话：0431-81912637,
吉林大药房城市之光连锁店,地址：吉林省长春市二道区东盛大街2811号上东街区四期40幢101号房,电话：无,
吉林大药房青林路连锁店,地址：吉林省长春市绿园区青年路西2号楼103,104号房,电话：0431-85075127,
吉林大药松苑名邸连锁店,地址：吉林省长春市经济开发区东环城路与岭东路交汇松苑名邸9号楼,电话：无,
吉林大药房阜丰路连锁店,地址：吉林省长春市二道区柴油机厂综合楼1楼6号门市,电话：无,
吉林大药房塞纳阳光连锁店,地址：吉林省长春市宽城区菜市北街赛纳阳光C04栋0单元111号,电话：无,
吉林大药房东田青年城连锁店,地址：吉林省长春市宽城区东田青年城B区12号,电话：0431-85076625,
吉林大药房檀香苑连锁店,地址：吉林省长春市宽城区基隆北街与柳江路交汇处三合屯地块棚户区改造项目第64幢102号,电话：无,
吉林大药房新城大街连锁店,地址：吉林省长春市净月区新城大街2888号农大商贸中心A区一楼,电话：0431-81912696,
吉林大药房青年路连锁店,地址：吉林省长春市绿园区青年路花园小区36-1号,电话：0431-85075120,
吉林大药房东盛大街连锁店,地址：吉林省长春市东盛大街2366号万通花园A1-3栋1楼,电话：无,
吉林大药房西安大路连锁店,地址：吉林省长春市绿园区西安大路169号,电话：0431-85075138,
吉林大药房万嘉连锁店,地址：吉林省长春市基隆街与台北大街交汇处路西“万嘉花园小区二期”22公建门市107号,电话：无,
吉林大药房太和街连锁店,地址：吉林省长春市二道区东荣家园E区45栋,电话：无,
吉林大药房和顺街连锁店,地址：吉林省长春市二道区和顺街通安新居17号门市,电话：无,
吉林大药房梧桐公馆连锁店,地址：吉林省长春市二道区吉林大路梧桐公馆1期16、17栋113号,电话：无,
吉林大药房新月小区连锁店,地址：吉林省长春市宽城区青年路新月花园小区2栋,电话：0431-85076310,
吉林大药房东岭南街店,地址：吉林省长春市南关区东岭南街卉香花园21栋107室,电话：0431-85075646,
吉林大药房长庆街连锁店,地址：吉林省长春市朝阳区桂林路5号214号门市房,电话：0431-85075048,
吉林大药房安乐路连锁店,地址：吉林省长春市二道区福安街与安乐路交汇桂花苑27栋117号,电话：0431-85076629,
吉林大药房博硕路连锁店,地址：吉林省长春市净月旅游经济开发区吉林农大北四路2号房,电话：0431-81912675,
吉林大药房博学路连锁店,地址：吉林省长春市南关区净月镇新城大街1988号,电话：0431-81912569,
吉林大药房新星宇和源连锁店,地址：吉林省长春市高新区新星宇和源A5A23栋0单元106室,电话：0431-81890821,
吉林大药房南岭连锁店,地址：吉林省长春市南关区亚泰大街中环4栋,电话：0431-85075945,
吉林大药房东环城路连锁店,地址：吉林省长春市经济技术开发区东方之珠小区15号楼108房,电话：无,
吉林大药房乐东村连锁店,地址：吉林省长春市经济开发区乐东新区2号楼140号,电话：无,
吉林大药房经纬南路连锁店,地址：吉林省长春市二道区经纬南路27号楼117室,电话：无,
吉林大药房百屹连锁店,地址：吉林省长春市南关区东岭南街939号临街北侧2号门市,电话：无,
吉林大药房龙翔苑连锁店,地址：吉林省长春市西新经济开发区东方之珠龙翔苑第12幢117号房,电话：无,
吉林大药房乐园路连锁店,地址：吉林省长春市绿园区乐园路226号,电话：0431-85075978,
吉林大药房磐石路连锁店,地址：吉林省长春市南关区磐石路与亚泰大街交汇审苑小区3号楼104室,电话：0431-85076360,
吉林大药房新疆街连锁店,地址：吉林省长春市朝阳区新疆街111号,电话：0431-85075062,
吉林大药房一汽家园连锁店,地址：吉林省长春市绿园区一起家园小区A5区1栋103室1层,电话：0431-81912603,
吉林大药房富锋连锁店,地址：吉林省长春市朝阳区经济开发区扶风清华园二期商业门市6楼118号,电话：无,
吉林大药房紫盈花城连锁店,地址：吉林省长春市二道区长电紫盈花城1期15栋112号门市,电话：无,
吉林大药房乾安路连锁店,地址：吉林省长春市二道区乾安路荷兰小镇2栋102室,电话：无,
吉林大药房荣光路连锁店,地址：吉林省长春市二道区荣光路滨河小区714栋,电话：0431-1530430,
吉林大药房牡丹街连锁店,地址：吉林省长春市朝阳区牡丹街28号,电话：0431-85075070,
吉林大药房东岭北街连锁店,地址：吉林省长春市南关区东岭街自由大路小区4栋118号,电话：0431-85075073,
吉林大药房榆树南街连锁店,地址：吉林省长春市宽城区柳影路1567号,电话：0431-85076621,
吉林大药房亚泰大街连锁店,地址：吉林省长春市亚泰大街5333号楼1号门市,电话：0431-81851316,
吉林大药房南湖一号连锁店,地址：吉林省长春市朝阳区工农大路3522号,电话：0431-85075072,
吉林大药房解放花园连锁店,地址：吉林省长春市解放花园94号门市,电话：0431-85075940,
吉林大药房怡众名城连锁店,地址：吉林省长春市高新开发区华光街777号,电话：0431-85076359,
吉林大药房晨宇小区连锁店,地址：吉林省长春市二道区东盛大街以东吉林大路以北晨宇小区一栋零单元112号一、二楼,电话：无,
吉林大药房万通连锁店,地址：吉林省长春市二道区民丰大街75号,电话：无,
吉林大药房桃花苑连锁店,地址：吉林省长春市二道区桃花苑G栋104号,电话：无,
吉林大药房桂林路连锁店,地址：吉林省长春市朝阳区同志街74号,电话：无,
吉林大房四分局连锁店,地址：吉林省长春市朝阳区同志街1398号,电话：0431-85075150,
吉林大药房公平桥连锁店,地址：吉林省长春市南关区碧泉山庄小区34号楼一楼102西侧,电话：无,
吉林大药房百汇街连锁店,地址：吉林省长春市朝阳区永昌小区7号楼,电话：0431-85075958,
吉林大药房三佳新村连锁店,地址：吉林省长春市高新开发区硅谷大街3355号，超达创业园14栋1122房,电话：无,
吉林大药房金色欧城连锁店,地址：吉林省长春市金色欧城小区c6栋101室,电话：无,
吉林大药房兴顺花园连锁店,地址：吉林省长春市汽车产业开发区兴顺路1111号,电话：0431-81912657,
吉林大药房曙光路连锁店,地址：吉林省长春市南关区曙光路22号,电话：0431-85075158,
吉林大药房药业股份有限公司汽车厂三区连锁店,地址：吉林省长春市绿园区汽车厂47街区35栋一楼,电话：0431-85075925,
吉林大药房梧桐花园连锁店,地址：吉林省长春市汽车产业开发区支农大路3355号中轴东侧第四号门市,电话：无,
吉林大药房伟业星城连锁店,地址：吉林省长春市高新开发区飞跃路伟业星城住宅小区3期83栋0单元101号,电话：无,
吉林大药房佳园路连锁店,地址：吉林省长春市高新区佳园路高新怡众名城第5栋103号,电话：0431-85076359,
吉林大药房景阳广场连锁店,地址：吉林省长春市绿园区正阳街2389号,电话：0431-86170145,
吉林大药房拉洛小区连锁店,地址：吉林省长春市高新技术开发区拉洛小区4栋108室,电话：0431-81912609,
吉林大药东湾半岛连锁店,地址：吉林省长春市南关区东莱南街211号,电话：0431-81912561,
吉林大药房力旺康景连锁店,地址：吉林省长春市汽车产业开发区长沈路力旺康景商住小区2栋107号房,电话：0431-81890809,
吉林大药房八道街连锁店,地址：吉林省长春市二道区吉盛小区2-18号,电话：0431-81912570,
吉林大药房东大桥连锁店,地址：吉林省长春市二道区鲁辉国际成第5区荷兰小镇30栋106室,电话：无,
吉林大药房迎春路连锁店,地址：吉林省长春市汽开区昆仑二路与迎春路交汇,电话：无,
吉林大药房中环小区连锁店,地址：吉林省长春市南关区中环小区6栋2单元113号,电话：0431-85075951,
吉林大药劳动公园连锁店,地址：吉林省长春市南关区西三道街龙泰富苑3栋102号二道区岭东路465号,电话：0431-85075080,
吉林大药房自强连锁店,地址：吉林省长春市南关区平治街34号,电话：0431-85075949,
吉林大药房格林春天连锁店,地址：吉林省长春市力旺格林春天小区6栋4单元110号,电话：无,
吉林大药房品格小区连锁店,地址：吉林省长春市二道区品格小区2号楼136室,电话：0431-85075096,
吉林大药房吉盛小区连锁店,地址：吉林省长春市南关区西三道街龙泰富苑3栋102号二道区吉盛小区2177号,电话：无,
吉林大药房华亿红府连锁店,地址：吉林省长春市朝阳区红旗街765号华亿红府小区14栋,电话：无,
吉林大药房西四道街连锁店,地址：吉林省长春市南关区西四道街56号1层,电话：无,
吉林大药房汽车厂四区连锁店,地址：吉林省长春市绿园区支农大街50街区综合市场左侧3门,电话：无,
吉林大药房四道街连锁店,地址：吉林省长春市南关区西三四小区9号楼,电话：无,
吉林大药房红旗商城连锁店,地址：吉林省长春市朝阳区红旗街3号,电话：无,
吉林大药房大马路连锁店,地址：吉林省长春市南关区中环12区59栋,电话：无,
吉林大药房建和街连锁店,地址：吉林省长春市朝阳区建和街132号,电话：0431-81912683,
吉林大药房长春丽水湾连锁店,地址：吉林省长春市高新开发区超凡大街万龙丽水湾（一期）49幢107号,电话：无,
吉林大药房高格蓝湾连锁店,地址：吉林省长春市伊通河以东、吉林大路以南、临河街以西伊水名苑高格蓝湾）38幢105号,电话：0431-81912676,
吉林大药房五马路连锁店,地址：吉林省长春市南关区西三道街龙泰富苑3栋102号南关区大经路鸿金商厦14-1号,电话：0431-85075897,
吉林大药房昌平街连锁店,地址：吉林省长春市昌平街与西中华路交汇,电话：0431-85075071,
吉林大药房清明街连锁店,地址：吉林省长春市南关区北安路465号老边饺子西侧部分分割,电话：无,
吉林大药房永春路连锁店,地址：吉林省长春市南关区西五马路31号,电话：无,
吉林大药房东五马路连锁店,地址：吉林省长春市南关区中环10区1栋101号,电话：0431-85075356,
吉林大药房人民大街连锁店,地址：吉林省长春市南关区人民大街2076号,电话：无,
吉林大药房二三小区连锁店,地址：吉林省长春市南关区西四道街158号一楼门市房,电话：0431-85076365,
吉林大药房德昌路连锁店,地址：吉林省长春市朝阳区红旗街德昌路25号,电话：0431-81912558,
吉林大药房碧水云天连锁店,地址：吉林省长春市绿园区南阳路与洛阳街交汇碧水云天16栋114号,电话：无,
吉林大药房东天街连锁店,地址：吉林省长春市南关区伊通河中段西二区211栋群房,电话：0431-85075130,
吉林大药房民康路连锁店,地址：吉林省长春市南关区民康路45号,电话：无,
吉林大药房宽平大路连锁店,地址：吉林省长春市朝阳区红旗街54号,电话：0431-85076627,
吉林大药房亚泰金育连锁店,地址：吉林省长春市南关区人民大街以东民安路以西吉林亚泰富苑购物中心富苑金育一层,电话：无,
吉林大药房四马路连锁店,地址：吉林省长春市南关区西四马路8号一层,电话：无,
吉林大药桃源春晓连锁店,地址：吉林省长春市南关区桃源春晓11栋106室,电话：0431-81912645,
吉林大药房圈楼连锁店,地址：吉林省长春市南关区近埠街251号,电话：无,
吉林大药房崇智连锁店,地址：吉林省长春市朝阳区万达购物广场首层36号,电话：无,
吉林大药房开运街连锁店,地址：吉林省长春市朝阳区开运街开运小区2号楼112室,电话：0431-85075061,
吉林大药房陕西路连锁店,地址：吉林省长春市南关区西三道街龙泰富苑3栋102号宽城区陕西路3号楼一区门市,电话：0431-85075953,
吉林大药房吉大二院连锁店,地址：吉林省长春市南关区平治街7号,电话：0431-85075887,
吉林大药房北安路连锁店,地址：吉林省长春市朝阳区北安家园小区1栋104号,电话：0431-81912646,
吉林大药房富锦路连锁店,地址：吉林省长春市朝阳区富锦小区9栋,电话：0431-85075057,
吉林大药房三道街连锁店,地址：吉林省长春市南关区西三道街龙泰富苑3栋102号,电话：0431-85076369,
吉林大药房工农大路连锁店,地址：吉林省长春市朝阳区工农大路1690号,电话：0431-85075880,
吉林大药房西朝阳连锁店,地址：吉林省长春市朝阳区朝阳市场工程3-1厅,电话：0431-81890811,
吉林大药房富锦小区连锁店,地址：吉林省长春市朝阳区红旗街与富锦路交汇556号,电话：无,
吉林大药房时代家园连锁店,地址：吉林省长春市红旗街西三胡同297号,电话：0431-85075065,
吉林大药房长久路连锁店,地址：吉林省长春市红旗街42号一层门市,电话：0431-81912631,
吉林大药房正阳街连锁店,地址：吉林省长春市绿园区普阳街与正阳街交汇,电话：0431-85075991,
吉林大药房朝阳公园连锁店,地址：吉林省长春市朝阳区万宝街24号,电话：无,
吉林大药房车城名仕连锁店,地址：吉林省长春市一汽52B街区门市,电话：0431-85075929,
吉林大药房绿地上海城连锁店,地址：吉林省长春市绿地上海城B区43栋2单元103号,电话：无,
吉林大药房上海城连锁店,地址：吉林省长春市绿园区西环城路7255号,电话：无,
吉林大药房三站连锁店,地址：吉林省长春市绿园区东风大街51号,电话：0431-85075923,
吉林大药房45街区连锁店,地址：吉林省长春市汽开区一汽四十五街区6栋2单元113号,电话：0431-85075935,
吉林大药房日新路连锁店,地址：吉林省长春市绿园区东风大街238栋门市,电话：0431-85075931,
吉林大药房重庆路连锁店,地址：吉林省长春市朝阳区重庆路1019号,电话：0431-85075886,
吉林大药房北京路连锁店,地址：吉林省吉林市船营区北京路4号长城大厦1层6、7号门市,电话：无,
吉林大药房汽车厂二区连锁店,地址：吉林省长春市锦程大街76-1号,电话：0431-85075927,
吉林大药房越野路连锁店,地址：吉林省长春市绿园区天茂泊林丽郡14栋127号,电话：0431-85075939,
吉林大药房至善路连锁店,地址：吉林省长春市南关区至善路吉顺小区12号楼,电话：0431-85075156,
吉林大药房长影连锁店,地址：吉林省长春市朝阳区湖西路35号,电话：无,
吉林大药房盛世名城连锁店,地址：吉林省长春市绿园区普阳街2366号,电话：无,
吉林大药房德惠路连锁店,地址：吉林省长春市朝阳区西昌小区227-1栋,电话：0431-85075957,
吉林大药房卖场二店连锁店,地址：吉林省长春市开运街5178号长春欧亚卖场有限责任公司一层13-1号,电话：0431-81890807,
吉林大药房红旗街连锁店,地址：吉林省长春市朝阳区红旗街5号,电话：无,
吉林大药房锦水路连锁店,地址：吉林省长春市朝阳区同志街5号,电话：0431-81960925,
吉林大药房文明路连锁店,地址：吉林省长春市绿园区汽车厂天茂中央30栋108室,电话：0431-81912693,
吉林大药房文化广场连锁店,地址：吉林省长春市西民主大街与解放大路交汇3729号,电话：无,
吉林大药房同志街连锁店,地址：吉林省长春市朝阳区同志街路65号,电话：0431-85075047,
吉林大药房湖西路连锁店,地址：吉林省长春市朝阳区进化街1号,电话：0431-85076010,
吉林大药房长纺连锁店,地址：吉林省长春市绿园区春城大街68号,电话：无,
吉林大药房青怡坊连锁店,地址：吉林省长春市南关区通化路7号,电话：0431-85075948,
吉林大药房欧亚卖场连锁店,地址：吉林省长春市开运街5178号长春欧亚卖场一层10号门,电话：0431-81912546,
吉林大药房天一家源连锁店,地址：吉林省长春市汽车产业开发区西环城路以东天一家源1953第8幢104号,电话：无,
吉林大药房解放大路连锁店,地址：吉林省长春市南关区解放大路65号4号楼,电话：0431-85075160,
吉林大药房大世界连锁店,地址：吉林省长春市南关区大经路72号,电话：无,
吉林大药房二道连锁店,地址：吉林省长春市二道区吉林大路188号亚泰超市内,电话：无,
吉林大药房安达街连锁店,地址：吉林省长春市朝阳区安达街188号,电话：0431-85075157,
修正堂大药房大岭店,地址：吉林省长春市榆树县大岭镇街道,电话：无,
修正堂大药房繁荣小区店,地址：吉林省松原市江北区繁荣小区,电话：无,
修正堂大药房兴隆店,地址：吉林省四平市双辽市兴隆镇街道,电话：无,
修正堂大药房幸福连锁店,地址：吉林省吉林市昌邑区骏景花园小区,电话：无,
修正堂大药房新华店,地址：吉林省长春市德惠市西三道街党校对过,电话：无,
修正堂大药房大坡店,地址：吉林省长春市榆树县大坡镇街道,电话：无,
修正堂大药房头道店,地址：吉林省通化市集安市头道镇,电话：无,
修正堂大药房万宝店,地址：吉林省长春市德惠市万宝镇万宝大街641号,电话：0431-87322221,
修正堂大药房榆树李合店,地址：吉林省长春市榆树县李合镇街道,电话：0431-83011061,
修正堂大药房团结店,地址：吉林省通化市集安市头道镇团结村,电话：无,
修正堂大药房和平路店,地址：吉林省长春市德惠市东五道街和平路4号楼1楼,电话：0431-86866114,
修正堂大药房财源店,地址：吉林省通化市集安市财源镇（属于通化）,电话：无,
修正堂大药房公主岭朝阳坡店,地址：吉林省四平市公主岭市朝阳坡镇街道,电话：无,
修正堂大药房大榆树店,地址：吉林省四平市公主岭市大榆树镇街道,电话：0434-6392335,
修正堂大药房大青咀绿野店,地址：吉林省长春市德惠市大青咀镇街道,电话：无,
修正堂大药房公主岭铁北店,地址：吉林省四平市公主岭市河南大街技术监督局楼下一层商网三门,电话：0434-6282837,
修正堂大药房榆树向阳店,地址：吉林省长春市榆树县向阳镇街道,电话：无,
修正堂大药房昊石店,地址：吉林省吉林市通化路电业小区,电话：无,
修正堂大药房永泉连锁店,地址：吉林省四平市公主岭市大榆树镇永兴村,电话：无,
修正堂大药房公主岭玻璃城子店,地址：吉林省四平市公主岭市玻璃城子镇街道,电话：0434-6655000,
修正堂大药房城发店,地址：吉林省长春市榆树县城发乡街道,电话：无,
修正堂大药房北大街店,地址：吉林省吉林市船营区北大街7-8号,电话：无,
修正堂大药房旺起益馨堂店,地址：吉林省吉林市丰满区旺起镇内,电话：无,
修正堂大药房宝泉连锁店,地址：吉林省四平市公主岭市宝泉乡镇街里,电话：无,
修正堂大药房范家屯店,地址：吉林省四平市公主岭市范家屯镇医药综合楼138幢1层,电话：无,
修正堂大药房水洞村店,地址：吉林省通化市通化县大安镇水洞村,电话：无,
修正堂大药房江甸店,地址：吉林省通化市通化县江甸镇,电话：无,
修正堂大药房公主岭十屋农场店,地址：吉林省四平市公主岭十屋农场街道,电话：0434-6472586,
修正堂大药房车岭背店,地址：吉林省通化市通化县四棚乡车岭背村,电话：0435-5879684,
修正堂大药房孤家子诚信店,地址：吉林省四平市辽河农垦管理区孤家子镇西文明街四委三组,电话：无,
修正堂大药房兴林店,地址：吉林省通化市通化县兴林乡,电话：无,
修正堂大药房果松店,地址：吉林省通化市通化县果松镇,电话：无,
修正堂大药房梨树小城子店,地址：吉林省四平市梨树县小城子镇街内,电话：无,
修正堂大药房光华店,地址：吉林省通化市光华镇,电话：无,
修正堂大药房大泉源店,地址：吉林省通化市通化县大泉源乡大泉源村,电话：无,
修正堂大药房梨树双河店,地址：吉林省四平市梨树县双河乡,电话：无,
修正堂大药房清真寺店,地址：吉林省通化市清真路1号,电话：0435-3912188,
修正堂大药房朝阳店,地址：吉林省通化市通化县兴林镇朝阳村,电话：0435-5766299,
修正堂大药房英额布店,地址：吉林省通化市通化县英额布镇,电话：无,
修正堂大药房三棵榆树店,地址：吉林省通化市通化县三棵榆树镇,电话：无,
修正堂大药房干沟店,地址：吉林省通化市通化县干沟乡,电话：无,
修正堂大药房四棚店,地址：吉林省通化市通化县四棚乡,电话：无,
修正堂大药房五道江店,地址：吉林省通化市二道江区五道江镇,电话：0435-3733382,
修正堂大药房伊通分公司,地址：吉林省四平市伊通县人民大路3636号,电话：无,
修正堂大药房合心连锁店,地址：吉林省长春市绿园区合心镇街道,电话：无,
修正堂大药房大川店,地址：吉林省通化市通化县大川乡,电话：无,
修正堂大药房柳条沟店,地址：吉林省通化市通化市东昌区环通乡柳条沟村,电话：0435-3216114,
修正堂大药房伊通靠山店,地址：吉林省四平市伊通满族自治县靠山镇街道（）,电话：0434-4571533,
修正堂大药房湖西路店,地址：吉林省长春市朝阳区湖西路14-3号,电话：0431-81097871,
修正堂大药房大连川店,地址：吉林省通化市通化县二密大连川村,电话：0435-5716994,
修正堂大药房快大一店,地址：吉林省通化市通化县快大镇团结广场18号,电话：无,
修正堂大药房伊通新兴龙华店,地址：吉林省四平市伊通满族自治县新兴乡街内（四平市）,电话：无,
修正堂大药房化工委店,地址：吉林省通化市通化县二密镇化肥厂住宅区,电话：无,
修正堂大药房前进店,地址：吉林省长春市朝阳区前进大街112,电话：无,
修正堂大药房腾飞店,地址：吉林省长春市绿园区青石路风华新苑小区33栋102室,电话：无,
修正堂大药房华泰店,地址：吉林省长春市宽城区榆树北街华泰世纪新城二期16栋101.102门市,电话：无,
修正堂大药房青林路店,地址：吉林省长春市绿园区青年路风华新苑26栋110号,电话：无,
修正堂大药房富锋镇店,地址：吉林省长春市朝阳区大屯镇七委三十六组,电话：无,
修正堂大药房乐山兴雨店,地址：吉林省长春市乐山镇长红村西双亩屯,电话：无,
修正堂大药房春晖店,地址：吉林省长春市绿园区春晖路7号4号门市,电话：无,
修正堂大药房泉眼店,地址：吉林省长春市二道区英俊真泉眼村西社,电话：无,
修正堂大药房天邦店,地址：吉林省长春市宽城区团山街111号,电话：0431-86148161,
修正堂大药房经开店,地址：吉林省长春市净月经济开发区富奥A区2栋111号,电话：无,
修正堂大药房蔡家店,地址：吉林省长春市宽城区兰家镇蔡家村,电话：无,
修正堂大药房众康店,地址：吉林省长春市绿园区西安大路174号,电话：无,
修正堂大药房公平路店,地址：吉林省长春市东盛大街2752号,电话：无,
修正堂大药房蓝调倾城店,地址：吉林省长春市绿园区自立西街蓝调倾城小区36栋104室,电话：无,
修正堂大药房萧山路连锁店,地址：吉林省长春市经济开发区萧山街462号,电话：无,
修正堂大药房吉顺店,地址：吉林省长春市体北路吉顺康城204门市,电话：0431-88653966,
修正堂大药房和平店,地址：吉林省长春市西安大路与青年路交汇处金安城4幢106号,电话：无,
修正堂大药房大厦连锁店,地址：吉林省长春市修正路858号,电话：0431-89228177,
修正堂大药房富强店,地址：吉林省长春市高新区富强B区12栋101门市,电话：无,
修正堂大药房南部新城店,地址：吉林省长春市南部新城B区6栋103室一楼门市,电话：无,
修正堂大药房福兴店,地址：吉林省长春市高新北区盛世北湖春天项目D区36栋3603号,电话：无,
修正堂大药房繁荣店,地址：吉林省长春市南关区亚泰大街7720号东南阳光购物广场地上一层A042-A043,电话：无,
修正堂大药房青年城店,地址：吉林省长春市宽城区青年路西青年城C-3幢108门市,电话：无,
修正堂大药房龙翔苑店,地址：吉林省长春市长春汽车经济技术开发区龙翔苑13栋106号门市,电话：无,
修正堂大药房长江花园店,地址：吉林省长春市二道区和顺街46号长江花园10幢125号房,电话：无,
修正堂大药房一汽繁荣店,地址：吉林省长春市汽车经济开发区东风大街繁荣小区二期12栋104门市,电话：0431-81222075,
修正堂大药房绥中路店,地址：吉林省长春市成涛绿锦国际26栋4单元107（和悦家园对面）,电话：无,
修正堂大药房宽府路店,地址：吉林省长春市宽城区北亚泰大街证在光明城二期24幢-101号房,电话：无,
修正堂大药房嘉年华店,地址：吉林省长春市西环城路与皓月大路交汇阳光嘉年华2栋111号,电话：无,
修正堂大药房超凡大街店,地址：吉林省长春市高新开发区超凡大街万龙丽水湾二期29栋102号房,电话：无,
吉林大药房96店,地址：吉林省长春市朝阳区前进大街455,电话：0431-85527752,
吉林大药房95店,地址：吉林省长春市朝阳区致远街356,电话：0431-88562244,
吉林大药房94店,地址：吉林省长春市绿园区锦江路185,电话：0431-88162072,
吉林大药房93店,地址：吉林省长春市榆树市华昌路附近,电话：0431-83652535,
吉林大药房92店,地址：吉林省长春市九台市曙光大街729号,电话：0431-83256522,
吉林大药房87店,地址：吉林省长春市榆树市向阳路357-363号,电话：0434-6216546,
吉林大药房81店,地址：吉林省四平市伊通满族自治县伊通大街1852号,电话：0434-6214565,
吉林大药房86店,地址：吉林省长春市二道区远达大街附近,电话：0431-85076620,
吉林大药房91店,地址：吉林省长春市绿园区一汽四环大厦斜对面,电话：0431-85763946,
吉林大药房85店,地址：吉林省长春市二道区和顺街1383,电话：0431-84977189,
吉林大药房66店,地址：吉林省松原市宁江区新天地购物公园G楼,电话：0438-7220098,
吉林大药房75店,地址：吉林省四平市梨树县064乡道附近,电话：0434-5440777,
吉林大药房65店,地址：吉林省白城市洮南市通达路482附近,电话：0436-7223424,
吉林大药房84店,地址：吉林省四平市梨树县053县道附近,电话：0434-5511187,
吉林大药房80店,地址：吉林省四平市铁东区053县道附近,电话：0434-6211254,
吉林大药房74店,地址：吉林省延边朝鲜族自治州珲春市口岸大路,电话：0433-5656512,
吉林大药房83店,地址：吉林省四平市梨树县奉化东大街77附近,电话：0434-6213654,
吉林大药房79店,地址：吉林省四平市伊通满族自治县文明路附近,电话：0434-6210412,
吉林大药房90店,地址：吉林省长春市双阳区东双阳大街319,电话：0431-89556432,
吉林大药房64店,地址：吉林省白城市洮北区保胜路143,电话：0436-7227582,
吉林大药房78店,地址：吉林省四平市梨树县055县道附近,电话：0434-5440721,
吉林大药房73店,地址：吉林省延边朝鲜族自治州珲春市光明胡同附近,电话：0433-8589955,
吉林大药房82店,地址：吉林省四平市公主岭市105省道附近,电话：0434-6424888,
吉林大药房72店,地址：吉林省松原市前郭尔罗斯蒙古族自治县乌兰大街,电话：0438-5662222,
吉林大药房63店,地址：吉林省白城市洮南市富文西路561号,电话：0436-7224453,
吉林大药房89店,地址：吉林省长春市榆树市榆西大街37附近,电话：0431-83658266,
吉林大药房71店,地址：吉林省松原市宁江区文化路1132附近,电话：0438-6655995,
吉林大药房62店,地址：吉林省白城市洮北区辽北路53栋A区北数,电话：0436-7226437,
吉林大药房88店,地址：吉林省长春市朝阳区辉南街29号,电话：0431-85965109,
吉林大药房70店,地址：吉林省白城市洮北区中兴西大路7-5号(近白城市医院),电话：0436-7856526,
吉林大药房61店,地址：吉林省白城市洮北区麻纺路附9号楼东6户,电话：0436-7224569,
吉林大药房77店,地址：吉林省四平市公主岭市迎宾路427号附近,电话：0434-6213073,
吉林大药房69店,地址：吉林省白城市通榆县民主东路附近,电话：0436-7220545,
吉林大药房60店,地址：吉林省白城市洮北区中兴西路7号-9,电话：0436-7222217,
吉林大药房76店,地址：吉林省四平市梨树县树文街一号附近,电话：0434-5440745,
吉林大药房68店,地址：吉林省白城市洮北区青年北大街147附近,电话：0436-7220545,
