北京同仁堂连锁药店有限责任公司北沙滩店,地址：北京市朝阳区双泉堡（松鹤服装厂）1幢,电话：010-64860426,
北京医保全新大药房华堂店,地址：北京市朝阳区十里堡甲3号华堂商场地下一层,电话：010-65568513,
北京医保全新大药房安贞店,地址：北京市朝阳区安贞西里一区16号楼一层,电话：010-64420037,
北京医保全新大药房增光路店,地址：北京市海淀区增光路中海馥园馥锦轩首层1C,电话：010-88586865,
北京医保全新大药房京客隆店,地址：北京市朝阳区甜水园街北里16号楼京客隆商厦超市二层,电话：010-65064120 ,
北京医保全新大药房白塔寺店,地址：北京市西城区阜内大街157号,电话：010-66170923,
北京医保全新大药房花市店,地址：北京市东城区东花市北里西区13号楼1层,电话：010-67114161,
北京医保全新大药房小马厂店,地址：北京市海淀区北小马厂6号华天大厦1层,电话：010-63345186,
北京医保全新大药房西翠路店,地址：北京市海淀区西翠路5号今日商业中心首层7-8号楼,电话：010-88285061,
北京医保全新大药房天坛店,地址：北京市东城区天坛西里9号,电话：010-67015301,
北京医保全新大药房京顺东街店,地址：北京市朝阳区京顺东街6号院2号楼1层108号-1,电话：010-84308308,
北京医保全新大药房怡秀园店,地址：北京市海淀区小南庄怡秀园综合楼8号,电话：010-82635701,
北京医保全新大药房红莲店,地址：北京市西城区马莲道东街17号,电话：010-63420134,
北京医保全新大药房安定门店,地址：北京市东城区安定门内大街96号,电话：010-64042149,
北京医保全新大药房松榆里店,地址：北京市朝阳区松榆西里11号楼一层,电话：010-67342578,
北京医保全新大药房会城门店,地址：北京市海淀区北蜂窝铁路东宿舍20号楼首层22-4,电话：010-63495803,
北京医保全新大药房西便门店,地址：北京市西城区西便门外大街4-3,电话：010-68031630,
北京医保全新大药房丰北路店,地址：北京市丰台区丰台北路甲79号,电话：010-63814975,
北京医保全新大药房王府井店,地址：北京市东城区王府井大街153号,电话：010-65225085,
北京宝瑞堂特价药房世纪星城分店,地址：北京市通州区通朝大街世纪星城小区向东100米,电话：010-52106592,
北京宝瑞堂特价药房刘家窑分店,地址：北京市丰台区蒲黄榆路东铁营一中向西100米,电话：010-67611389,
北京宝瑞堂特价药房横六条分店,地址：北京丰台区南三环外顺二条筑梦园小区天外天烤鸭店向南200米,电话：010-51227613,
北京宝瑞堂特价药房大红门分店,地址：北京市丰台区大红门西里大红门鞋城向北200米,电话：010-67214391,
北京宝瑞堂特价药房知春里分店,地址：北京市海淀区中关村中学向南100米,电话：010-52408329,
北京宝瑞堂特价药房牡丹园分店,地址：北京市海淀区牡丹园中街小关西后街第二聋哑学校旁边,电话：010-62384599,
北京福瑞宏达大药房黄村分店,地址：北京市大兴区黄村镇清源西里秋扩1号店,电话：400-6809-890,
北京福瑞宏达大药房马驹桥分店,地址：北京市通州区马驹桥环科中路6号,电话：400-6809-890,
北京福瑞宏达大药房新源里分店,地址：北京市朝阳区新源里16号世方豪庭A座0102号,电话：400-6809-890,
北京福瑞宏达大药房远大路分店,地址：北京市海淀区远大园四区甲一号楼一层4号,电话：400-6809-890,
北京福瑞宏达大药房小稿村分店,地址：北京市通州区万盛北街28号,电话：400-6809-890,
北京福瑞宏达大药房广顺分店,地址：北京市朝阳区望京广顺南大街嘉润花园19号会所105号,电话：400-6809-890,
北京福瑞宏达大药房团结湖分店,地址：北京市朝阳区白家庄东里42号11号楼,电话：400-6809-890,
北京福瑞宏达大药房卢沟桥分店,地址：北京市丰台区卢沟桥南里10号院5号楼底商06,电话：400-6809-890,
北京福瑞宏达大药房万盛街分店,地址：北京市通州区万盛北街38号小稿村一期底商,电话：400-6809-890,
北京福瑞宏达大药房管庄分店,地址：北京市朝阳区管庄西里74号楼7单元102号,电话：400-6809-890,
北京福瑞宏达大药房大钟寺分店,地址：北京市海淀区金五星批发市场2厅内,电话：400-6809-890,
北京福瑞宏达大药房芍药居分店,地址：北京市朝阳区芍药居小区310号楼一层,电话：400-6809-890,
北京福瑞宏达大药房三间房分店,地址：北京市通州区玉桥西里72号院21号楼底商4号,电话：400-6809-890,
北京福瑞宏达大药房运河分店,地址：北京市通州区运河东大街柳岸景园1号楼,电话：400-6809-890,
北京福瑞宏达大药房熊猫环岛分店,地址：北京市朝阳区鼓楼外大街1号楼一层,电话：400-6809-890,
北京福瑞宏达大药房学院路分店,地址：北京市海淀区学院路6号院1-13,电话：400-6809-890,
北京福瑞宏达大药房延静里分店,地址：北京市朝阳区延静西里10号楼一层,电话：400-6809-890,
北京福瑞宏达大药房南磨房分店,地址：北京市朝阳区农光南路20号楼一层,电话：400-6809-890,
北京福瑞宏达大药房安贞店,地址：北京市朝阳区外馆东街51号,电话：400-6809-890,
北京福瑞宏达大药房玉桥分店,地址：北京市通州区玉桥北里小区41号楼,电话：400-6809-890,
北京福瑞宏达大药房鼓楼分店,地址：北京市东城区鼓楼东大街73号,电话：400-6809-890,
北京福瑞宏达大药房前门分店,地址：北京市东城区珠市口东大街346号东侧109号,电话：400-6809-890,
北京福瑞宏达大药房全海丰分店,地址：北京市朝阳区水碓子北里3号楼一层,电话：400-6809-890,
北京福瑞宏达大药房梨园分店,地址：北京市通州区梨园镇杨家洼255号,电话：400-6809-890,
北京福瑞宏达大药房青年路分店,地址：北京市朝阳区青年路雅城一里10号楼一层,电话：400-6809-890,
北京福瑞宏达大药房西北旺分店,地址：北京市海淀区西北旺傅家窑桥南平房,电话：400-6809-890,
北京福瑞宏达大药房丰管路分店,地址：北京市丰台区丰管路西国贸大厦科技孵化广场一层,电话：400-6809-890,
北京福瑞宏达大药房白家庄分店,地址：北京市朝阳区白家庄东里42号院2号楼一层,电话：400-6809-890,
北京福瑞宏达大药房双井分店,地址：北京市朝阳区广渠路66号院19号楼一层A1,电话：400-6809-890,
北京天保堂医药有限公司回立汤店,地址：北京市昌平区东小口镇中滩村南3号,电话：010-53321279,
北京隆元康药房有限公司,地址：北京市丰台区蒲黄榆路28号芳群1区3号B\/C综合楼一层北侧1-A3,电话：010-67683160,
北京京卫元华医药科技有限公司大药房药房网五棵松配送店,地址：北京市海淀区复兴路30-4号,电话：010-68133347,
北京京卫元华医药科技有限公司大药房大药房第十八店,地址：北京市朝阳区东三环中路,电话：010-87783387,
北京京卫元华医药科技有限公司大药房通州新华联南区店,地址：北京市通州区新华联家园小区8号楼312及412,电话：010-81557998,
北京京卫元华医药科技有限公司大药房大药房春秀路店,地址：北京市朝阳区春秀路甲24号,电话：010-88518899,
北京京卫元华医药科技有限公司大药房大药房22店,地址：北京市昌平区育知西路三合商业大厦内,电话：010-88820236,
北京京卫元华医药科技有限公司大药房大药房定福庄北街店,地址：北京市朝阳区定福庄北街家家乐超市内,电话：010-65408579 ,
北京京卫元华医药科技有限公司大药房大药房石景山八角店,地址：北京市石景山区石景山路24号,电话：010-68860949,
北京京卫元华医药科技有限公司大药房第四十六药店,地址：北京市大兴区东渠路1号,电话：010-87396040,
北京德安康泰大药房,地址：北京市东城区安德里北街甲18号,电话：010-84137918,
北京京卫元华医药科技有限公司大药房第三十五药店,地址：北京市大兴区天宝南街4号上海沙龙商业中心B16号,电话：010-67804797,
北京京卫元华医药科技有限公司大药房第四十二药店,地址：北京市门头沟区滨河路125号,电话：010-69821080,
北京京卫元华医药科技有限公司大药房第二十五药店,地址：北京市通州区杨庄路22号院7号楼,电话：010-60539521,
北京京卫元华医药科技有限公司大药房第三十四药店,地址：北京市朝阳区定福庄西街16号楼底商 ,电话：010-65476511,
北京京卫元华医药科技有限公司大药房第三十一药店,地址：北京市通州区杨庄南里5号,电话：010-81557998,
北京京卫元华医药科技有限公司大药房第十六药店,地址：北京市宣武区马连道80号2号楼底商104号 ,电话：010-63355499,
北京京卫元华医药科技有限公司大药房第二十一药店,地址：北京市丰台区大灰厂村464号,电话：010-52227330,
北京京卫元华医药科技有限公司大药房第三十九药店,地址：北京市海淀区物资学院路5号商业楼,电话：010-51600766,
北京京卫元华医药科技有限公司大药房第二十九药店,地址：北京市海淀区上地佳园2号裙房一段,电话：010-62982027,
北京京卫元华医药科技有限公司大药房第二十药店,地址：北京市朝阳区双井桥西北侧富力城B1层 ,电话：010-58621784,
北京京卫元华医药科技有限公司大药房第二十七药店,地址：北京市朝阳区百子湾16号百子园B区会所117,电话：010-87766959,
北京京卫元华医药科技有限公司大药房第二十六药店,地址：北京市海淀区复兴路79号-1 ,电话：010-68133347,
北京京卫元华医药科技有限公司大药房第十九药店,地址：北京市大兴区郁花园商业街一里四区底商5号 ,电话：010-60260359,
北京京卫元华医药科技有限公司大药房第十五药店,地址：北京市海淀区万泉庄万柳中路新纪元家园第2幢 ,电话：010-82573646,
北京京卫元华医药科技有限公司大药房第八药店,地址：北京市丰台区东大街8-21号,电话：010-63893002,
北京京卫元华医药科技有限公司大药房第十三药店,地址：北京市通州区通朝大街２０３号永湖商业广场1层 ,电话：010-81558405,
北京京卫元华医药科技有限公司大药房第七药店,地址：北京市西城区西便门西里15号,电话：010-83113115,
北京京卫元华医药科技有限公司大药房第十一药店,地址：北京市朝阳区西大望路甲23号,电话：010-58632346,
北京京卫元华医药科技有限公司大药房第五药店,地址：北京市海淀区稻香园小区20号楼,电话：010-82672695,
北京京卫元华医药科技有限公司大药房第十二药店,地址：北京市东城区东直门外小街10号院2号,电话：010-64620626,
北京京卫元华医药科技有限公司大药房第六药店,地址：北京市石景山区石景山路79号,电话：无,
北京京卫元华医药科技有限公司大药房第四药店,地址：北京市海淀区西三环中路3-6号,电话：010-88511305,
北京京卫元华医药科技有限公司大药房第二药店,地址：北京市海淀区人民大学北路1号院,电话：010-62519358,
北京京卫元华医药科技有限公司大药房第一药店,地址：北京市丰台区右安门外大街2号迦南公寓1楼 ,电话：010-83538040,
北京世纪本草大药房连锁有限责任公司青塔店,地址：北京市丰台区青塔东里社区卫生服务站,电话：010-68150591,
北京五洲全新万芳长春堂药店,地址：北京市丰台区南三环西路6号底商,电话：010-67548242,
北京五洲全新木樨园长春堂药店,地址：北京市丰台区西木栖园5号楼1层,电话：010-67256961,
北京五洲全新万柳园长春堂药店,地址：北京市丰台区万柳园小区34号楼,电话：010-63300743,
北京五洲全新骏景长春堂药店,地址：北京市丰台区永外果园43号珠江骏景中区1-123、1-124商铺,电话：010-87873863,
北京五洲全新农光里长春堂药店,地址：北京市朝阳区农光里22号,电话：010-67320401,
北京五洲全新弘善长春堂药店,地址：北京市朝阳区弘善家园302号楼4号,电话：010-87823445,
北京五洲全新左安门长春堂药店,地址：北京市东城区左安门内大街甲1号,电话：010-67123090,
北京五洲全新金鱼池长春堂药店,地址：北京市东城区金鱼池中街6号楼1层,电话：010-67016816,
北京五洲全新沙子口长春堂药店,地址：北京市东城区沙子口路8号,电话：010-67256025,
北京五洲全新光明楼长春堂药店,地址：北京市东城区光明楼27楼,电话：010-67157820,
北京五洲全新法华寺长春堂药店,地址：北京市东城区法华南里26号楼,电话：010-67123910,
北京五洲全新琉璃井长春堂药店,地址：北京市东城区永外琉璃井路19号,电话：010-87276697,
北京五洲全新国瑞千芝堂药店,地址：北京市东城区国瑞北路36号,电话：010-67170627,
北京五洲全新天坛万全堂药店,地址：北京市东城区天坛东路64号,电话：010-67125808,
北京五洲全新前门长春堂药店,地址：北京市东城区前门大街135号,电话：010-63029895,
北京五洲全新医药连锁花市南庆仁堂药店,地址：北京市东城区西花市大街53号,电话：010-67191602,
北京恒安百姓大药房,地址：北京市门头沟区增产路43号2、3室,电话：010-69839535,
北京嘉信普康医药有限公司第一分公司,地址：北京市大兴区黄村镇龙河路103号,电话：010-69239012,
北京德福同康大药房第四分店,地址：北京市房山区窦店镇沁园春景商业楼A号楼A—7,电话：010-53618328,
北京达济轩药店,地址：北京市房山区长阳镇葫芦垡村昌顺路24号,电话：010-60351941,
北京东方盈欣医药有限责任公司,地址：北京市丰台区南苑北里三区17号楼前底商房18号,电话：010-56220210,
北京诚泰堂药店,地址：北京市海淀区展春园小区19号一层,电话：010-62319148,
北京永和堂药店,地址：北京市房山区良乡北秀街2号,电话：010-69371288,
北京露润堂大药房有限公司泽川堂药店,地址：北京市丰台区吴家村2号1幢平房,电话：010-68650631,
北京露润堂大药房有限公司,地址：北京市丰台区小屯西路66号院3号楼1层01商业03,电话：010-83839656,
北京保泰堂医药有限公司,地址：北京市海淀区西土城路10号,电话：010-62283927,
北京金旭仁和医药有限公司,地址：北京丰台区角门北路甲8号,电话：010-67543424,
北京天保堂医药有限公司学院路店,地址：北京市海淀区学院路17号1幢,电话：010-62311978,
北京天保堂医药有限公司安德路药店,地址：北京市西城区安德路118号美廉美超市内,电话：010-82258840,
北京天保堂医药有限公司紫竹桥店,地址：北京市海淀区甘家口街道潘庄101号,电话：010-68469639,
北京天保堂医药有限公司佳益药房,地址：北京市宣武区老墙根街107号院3号楼底商,电话：010-63181126,
北京天保堂医药有限公司平乐园店,地址：北京市朝阳区磨房北里129号楼底商,电话：010-67355958,
北京天保堂医药有限公司永定路店,地址：北京市海淀区采石路口11号48号院对过107号院3号楼,电话：010-88278662,
北京天保堂医药有限公司金林药店,地址：北京市海淀区林大北路18号文成杰座首层B-18号,电话：010-82367043,
北京天保堂医药有限公司丰益药店,地址：北京市丰台区东大街6号院底商北二间,电话：010-63835705 ,
北京天保堂医药有限公司弘燕药店,地址：北京市朝阳区周庄嘉园东里1号楼1号底商,电话：010-67493886,
北京天保堂医药有限公司兴益药店,地址：北京市大兴区黄村镇京开公路碱河桥北,电话：010-69290252,
北京天保堂医药有限公司高碑店店,地址：北京市朝阳区高碑店北路5-2,电话：010-85768223,
北京天保堂医药有限公司公益药店,地址：北京市丰台区右安门外马家堡西路四项3村甲4号,电话：010-67585132,
北京天保堂医药有限公司芍药居店,地址：北京市朝阳区太阳宫乡芍药居村甲3号院内第三幢楼一层102-105门,电话：010-57620028,
北京天保堂医药有限公司康益药店,地址：北京市大兴区黄村镇观音寺小区双河南巷26号,电话：010-69251276,
北京天保堂医药有限公司思益药店,地址：北京市丰台区金家村1号院8号楼底商,电话：010-52858308,
北京天保堂医药有限公司恒德康大药房,地址：北京市大兴区西红门月苑小区,电话：010-80259960,
北京市利君堂大药房连锁有限公司和平里分店,地址：北京市东城区花园东区7号楼1层,电话：010-84250504,
北京天保堂医药有限公司车公庄店,地址：北京市海淀区车公庄大街2号,电话：010-68367155,
北京天保堂医药有限公司陶然亭店,地址：北京市西城区陶然亭路16号1层102室,电话：010-63550749,
北京天保堂医药有限公司西坝河店,地址：北京市朝阳区西坝河东里3号楼底商,电话：010-64666951,
北京市利君堂大药房连锁有限公司蒋宅口分店,地址：北京市东城区安外甘水桥16-2号底商,电话：010-64264212,
北京天保堂医药有限公司联想桥店,地址：北京市海淀区皂君庙14号院1号楼1层105室,电话：010-62114086,
北京天保堂医药有限公司房芳群园店,地址：北京市丰台区方庄芳群园4区19号楼3号（平房）,电话：010-67690788,
北京市利君堂大药房连锁有限公司北河沿分店,地址：北京市东城区北河沿大街81-2号,电话：010-64036331,
北京鼎好恒康大药房,地址：北京市丰台区王佐镇南宫综合市场南街1、2号,电话：010-83319246,
北京鼎好康盛大药房,地址：北京市丰台区长辛店镇太子峪村紫峪嘉园一号楼一层,电话：010-83848497,
北京市利君堂大药房连锁有限公司太平街分店,地址：北京市西城区太平街5号,电话：010-63533049,
北京鼎好平安大药房,地址：北京市丰台区王佐镇东王佐村东大灰场路北,电话：010- 83391805,
北京益景康泰药店,地址：北京市石景山区古城西路甲8号-3,电话：010-68863817,
北京天通苑润竹药店有限公司第七分店,地址：北京市朝阳区朝新嘉园东里五区18号楼1至2层106,电话：010-53368301,
北京天保堂医药有限公司立昌药店,地址：北京市昌平区东小口镇立汤路北方明珠大厦一层,电话：010-58608303,
北京瑞福康华大药房有限责任公司,地址：北京市丰台区南宫迎宾路33号院10号,电话：010-83634785,
北京天天好大药房有限公司远大路店,地址：北京市海淀区蓝靛厂金夕园甲一号2段 一层西侧第一间,电话：010-88456782,
北京天保堂医药有限公司回龙观店,地址：北京市昌平区回龙观回龙园东北门,电话：010-81715590,
北京天通苑润竹药店第八分店,地址：北京市朝阳区崔各庄乡奶西村887号A1-01、02、03,电话：010-53368301,
北京天保堂医药有限公司房角门店,地址：北京市丰台区角门路14号院15号楼,电话：010-67509817,
北京朱家坟医圣堂大药房,地址：北京市丰台区长辛店朱家坟第二粮店,电话：010- 83841412,
北京天通苑润竹药店有限公司虹桥分店,地址：北京市昌平区东小口镇白坊村东北京利康玉苑珠宝市场有限公司西北排001、002号,电话：010-53368301,
北京养生堂药店有限公司霍营店,地址：北京市昌平区8号线地铁霍营E出口20米,电话：无,
北京市利君堂大药房连锁有限公司宽街分店,地址：北京市东城区张自忠路10号,电话：010-64046689,
北京养生堂药店有限公司北京站店,地址：北京市东城区建国门内大街18号,电话：无,
北京天通苑润竹药店有限公司南七家二分店,地址：北京市昌平区北七家镇南七家庄村606号,电话：010-53368301,
北京市利君堂大药房连锁有限公司新街口分店,地址：北京市西城区新街口北大街55号,电话：010-62237903,
北京养生堂药店有限公司新店公益西桥店,地址：北京市丰台区地铁四号线公益西桥站,电话：无,
北京天通苑润竹药店有限公司南七家一分店,地址：北京市昌平区北七家镇南七家庄村306号,电话：010-53368301,
北京市利君堂大药房连锁有限公司,地址：北京市丰台区刘家村甲1号,电话：010-64036331,
北京城关华福药店,地址：北京市房山区城关镇南斜街永乐园三里城关小学南100米,电话：无,
北京大地阳光医药经营有限公司,地址：北京市朝阳区延静里中街甲18号5号楼商铺19,电话：无,
北京养天和科贸有限公司养天和北苑大药房分公司,地址：北京市朝阳区水岸庄园1010号楼201-2 ,电话：010-84203668,
北京天通苑润竹药店白坊分店,地址：北京市昌平区东小口镇白坊村东侧门面房D排3、4、5号,电话：010-53368301,
北京鼎好百年大药房有限责任公司,地址：北京市丰台区王佐镇长青路87号院2号商业楼一层西侧一号,电话：010-83634695,
北京市天天祥瑞大药房有限公司,地址：北京市通州区宋庄镇北刘村委会东北50米,电话：010-53359918,
北京养生堂药店有限公司酒仙桥店,地址：北京市朝阳区京密路广顺南大街万红西街,电话：无,
北京养生堂药店有限公司清河店,地址：北京市朝阳区清河永泰庄北路惠邻超市,电话：无,
北京世纪本草大药房连锁有限责任公司回龙观西大街店,地址：北京市昌平区回龙观西大街19号,电话：400-6621-398,
北京世纪本草大药房连锁有限责任公司光彩店,地址：北京市丰台区光彩路贾家花园3号院19号楼01层,电话：400-6621-398,
北京世纪本草大药房连锁有限责任公司西什库店,地址：北京市西城区西什库大街31号顺天府综合超市 ,电话：400-6621-398,
北京世纪本草大药房连锁有限责任公司万芝堂店,地址：北京市石景山区鲁谷大街东侧永辉超市二层B010,电话：400-6621-398,
北京世纪本草大药房（连锁）有限责任公司玉林南路店,地址：北京市丰台区右安门外花园170号,电话：400-6621398,
北京世纪本草大药房连锁有限责任公司西安门店,地址：北京市西城区西安门大街197号1号 ,电话：400-6621-398,
北京世纪本草大药房连锁有限责任公司立水桥店,地址：北京市昌平区东小口镇东辰小区,电话：400-6621-398,
北京棘津堂医药有限责任公司北京翠微路药店,地址：北京市海淀区翠微路26号 3号平房,电话：010-68256621,
北京世纪本草大药房连锁有限责任公司金宝街店,地址：北京市东城区朝阳门南小街16-1-1 ,电话：400-6621-398,
北京世纪本草大药房连锁有限责任公司北兴路店,地址：北京市大兴区西红门镇北兴路光辉伟业市场西50米物美超市,电话：无,
北京世纪本草大药房连锁有限责任公司右安门店,地址：北京市丰台区右安门外东二条53号 ,电话：400-6621-398,
北京养生堂药店有限公司半壁店店,地址：北京市海淀区田村路天下城市场二层,电话：无,
北京养生堂药店有限公司南沙滩店,地址：北京市朝阳区京藏高速辅路西侧万家灯火灯具城,电话：无,
北京世纪本草大药房连锁有限责任公司百荣店,地址：北京市东城区永定门外大街101-1号楼负一层,电话：400-6621-398,
北京世纪本草大药房连锁有限责任公司石门店,地址：北京是顺义区顺西北路乙22号1幢物美超市内1006号,电话：400-6621-398,
北京世纪本草大药房连锁有限责任公司左家庄店,地址：北京市朝阳区静安里19号丙楼1层19丙-2内04,电话：400-6621-398,
北京养生堂药店有限公司慈云寺店,地址：北京市朝阳区东四环慈云寺桥西北角家乐福超市地下一层,电话：无,
北京养生堂药店有限公司采石路,地址：北京市海淀区北太平路玉泉东市场南门铁印宾馆一层,电话：无,
北京世纪本草大药房连锁有限责任公司亦庄店,地址：北京市大兴区亦庄镇泰河园一里一区14号楼（2F-A01）,电话：400-6621-398,
北京世纪本草大药房连锁有限责任公司大屯店,地址：北京市朝阳区安慧北里逸园甲11号楼102号,电话：400-6621-398,
北京养生堂药店有限公司管庄店,地址：北京市朝阳区管庄路京客隆超市二层,电话：无,
北京养生堂药店有限公司大钟寺店,地址：北京市海淀区北三环大钟寺家乐福超市地下二层,电话：无,
北京美信康年大药房有限责任公司,地址：北京市大兴区经济技术开发区西环北路23号1层,电话：010-67888761,
北京世纪本草大药房连锁有限责任公司大成路店,地址：北京市丰台区大成路6号院1号楼2层2-01,电话：400-6621-398,
北京世纪本草大药房连锁有限责任公司天秀店,地址：北京市海淀区肖家河正黄旗8号 ,电话：400-6621-398,
北京养生堂药店有限公司北辰店,地址：北京市朝阳区安贞西里二区甲5号,电话：无,
北京养生堂药店有限公司呼家楼店,地址：北京市朝阳区朝阳北路京龙大厦一层,电话：无,
北京同仁堂博塔医药有限责任公司,地址：北京市海淀区太阳园小区13号楼1层1-7 ,电话：010-82121966,
北京世纪本草大药房连锁有限责任公司金利康店,地址：北京市丰台区五里店南里17号楼,电话：400-6621-398,
北京世纪本草大药房连锁有限责任公司百旺店,地址：北京市海淀区圆明园西路2号农大商场一层 ,电话：400-6621-398,
北京养生堂药店有限公司东花市店,地址：北京市东城区广渠门内大街家乐福超市,电话：无,
北京养生堂药店有限公司北沙滩店,地址：北京市海淀区北沙滩6号院,电话：无,
北京同仁堂博塔医药有限责任公司王府井药店,地址： 北京市东城区王府井大街255号王府井百货大楼地下一层,电话：010-85115191,
北京世纪本草大药房连锁有限责任公司望园店,地址：北京市丰台区望园西里17号楼,电话：400-6621-398,
北京世纪本草大药房连锁有限责任公司白纸坊店,地址：北京市西城区鸭子桥南里45号B03-06号,电话：无,
北京养生堂药店有限公司二里庄店,地址：北京市海淀区志新西路14号,电话：无,
北京养生堂药店有限公司马家堡店,地址：北京市丰台区南三环右安南桥东南角马家堡家乐福超市地下一层,电话：无,
北京世纪本草大药房连锁有限责任公司京施康店,地址：北京市西城区广安门外红居街朗琴园2座底商2-3号 ,电话：无,
北京沐林润竹药店,地址：北京市昌平区东小口镇天通东苑二区4号楼6单元1-1号,电话：010-53368301 ,
北京养生堂药店有限公司马家堡东路店,地址：北京市丰台区马家堡东路106号2号楼永辉超市三层,电话：无,
北京养生堂药店有限公司学院路店,地址：北京市海淀区学清路甲8号,电话：无,
北京谢安堂大药房,地址：北京市海淀区西钓鱼台嘉园9号楼104室,电话：010-68249086,
北京养生堂药店有限公司魏公村店,地址：北京市海淀区魏公村韦伯豪家园,电话：无,
北京养生堂药店有限公司马连道店,地址：北京市西城区马连道家乐福超市二层,电话：无,
北京养生堂药店有限公司民族园店,地址：北京市朝阳区民族园路一号,电话：无,
北京养生堂药店有限公司石景山店,地址：北京市石景山区万达广场家乐福超市B1层,电话：无,
北京养生堂药店有限公司万寿路店,地址：北京市海淀区万寿路地铁口,电话：无,
北京养生堂药店有限公司五孔桥店,地址：北京市海淀区西四环定慧北桥家乐福,电话：010-52963519,
北京养生堂药店有限公司小西天店,地址：北京市海淀区小西天牌楼往西150米路南志强园8号楼一层,电话：无,
北京养生堂药店有限公司蓟门桥店,地址：北京市海淀区蓟门里社区,电话：无,
北京养生堂药店有限公司紫竹店,地址：北京市海淀区西三环紫竹桥东南,电话：无,
北京养生堂药店有限公司联想桥店,地址：北京市海淀区北三环联想桥东北角金五星服装市场,电话：无,
康佰馨二十九分公司店,地址：北京市海淀区民族大学西路66号院1号楼1层A04,电话：010-68937566,
康佰馨二十七分公司店,地址：北京市海淀区北洼路,电话：010-68404939,
康佰馨十八分公司店,地址：北京市朝阳区东大桥路8号SOHO尚都1101号 ,电话：010-59009487,
北京养生堂药店有限公司北土城店,地址：北京市海淀区北土城西路塔院小区南门西侧,电话：无,
北京养生堂药店有限公司黄土店店,地址：北京市昌平区回龙观黄平路龙旗广场永辉超市一层,电话：无,
康佰馨十七分公司店,地址：北京市朝阳区永安西里10号16号平房,电话：010-65663020,
北京养生堂药店有限公司中关村店,地址：北京市海淀区中关村南路21号,电话：无,
康佰馨二十六分公司店,地址：北京市朝阳区定福庄西街6号楼一层,电话：010-65722377,
北京养生堂药店有限公司北苑店,地址：北京市朝阳区立汤路龙德广场家乐福三层,电话：无,
康佰馨十五分公司店,地址：北京市西城区西四南大街76号,电话：010-66069786,
北京养生堂药店有限公司香槟路店,地址：北京市朝阳区北五环广顺桥西北角欧尚超市地下一层特力屋对面,电话：无,
北京养生堂药店有限公司广渠路店,地址：北京市朝阳区东三环中路22号楼地下二层SJB2-12A号场地,电话：无,
康佰馨二十五分公司店,地址：北京市海淀区大慧寺12号,电话：010-62136623,
北京养生堂药店有限公司府学路店,地址：北京市昌平区府学路16号金五星服装百货城一层东侧,电话：无,
北京养生堂药店有限公司十里河店,地址：北京市朝阳区十里河桥东弘燕南一路山水文园御景园南侧永辉超市一层,电话：无,
北京德泰康好药师大药房,地址：北京市西城区德外新风街3号天秀市场1号厅,电话：010-62027199,
北京京海康佰馨医药有限责任公司二十四分公司,地址：北京市通州区张家湾镇里二泗村186号,电话：无,
康佰馨十四分公司店,地址：北京市通州区张家湾镇上店村511号,电话：无,
北京好药师大药房马连道店,地址：北京市西城区马连道路2号,电话：010-63468994,
北京养生堂药店有限公司文华东路店,地址：北京市海淀区回龙观镇文华东路32号,电话：无,
北京养生堂药店有限公司垡头店,地址：北京市朝阳区垡头翠城馨园甲401号楼永辉超市一层,电话：无,
康佰馨二十三分公司店,地址：北京市朝阳区北苑路186号4号楼6号,电话：010-64304713,
康佰馨十三分公司店,地址：北京市东城区南河沿大街103号-4,电话：010-65123975,
北京昊民好药师大药房,地址：北京市顺义区顺通路平各庄段东侧(粮库),电话：13126853423 ,
北京养生堂药店有限公司回龙观西大街店,地址：北京市昌平区八达岭高速回龙观北郊农场桥东南角永辉超市二层,电话：无,
北京养生堂药店有限公司双井店,地址：北京市朝阳区广渠路31号,电话：无,
康佰馨二十二分公司店,地址：北京市东城区隆福寺前街1号一层,电话：010-84038855,
康佰馨七分公司店,地址：北京市朝阳区高家园小区311号中部,电话：010-64372259,
康佰馨十二分公司店,地址：北京市朝阳区建外大街18号1号楼一层105,电话：010-65157226,
北京养生堂,地址：北京市,电话：400-000-0000,
北京养生堂药店有限公司回龙观华联店,地址：北京市昌平区回龙观北京华联同成街购物中心三层,电话：无,
康佰馨二十一分公司店,地址：北京市朝阳区慈云寺北里207号楼1层125号、126号、127号,电话：010-85790929,
康佰馨六分公司店,地址：北京市朝阳区麦子店西路九号,电话：010-64689649,
康佰馨十一分公司店,地址：北京市海淀区紫金数码园4号楼1层0110,电话：010-62415002,
康佰馨三十分公司店,地址：北京市朝阳区青年路29号院23号楼1层23-5 ,电话：010-58777499,
康佰馨二十分公司店,地址：北京市朝阳区光华路北3号楼1层3-2,电话：010-65000110,
北京市福源好药师大药房,地址：北京市顺义区后沙峪镇铁匠营村铁十字街1号,电话：无,
康佰馨十分公司店,地址：北京市朝阳区建国门外光华里1号楼一层,电话：010-65923661,
北京京海康佰馨医药有限责任公司九分公司,地址：北京市朝阳区东八里庄38号,电话：010-59630615,
康佰馨五分公司店,地址：北京市朝阳区大屯里小区115号楼103室,电话：010-84806906,
北京京海康佰馨医药有限责任公司八分公司,地址：北京市朝阳区安苑北里14号楼,电话：010-64812273,
康佰馨四分公司店,地址：北京市朝阳区南湖西里小区北侧A1、A2、A3、A4号,电话：010-64753702,
