四川好仁堂惠民药店 ,地址：四川省攀枝花市米易县桥东街45,电话：0812-8175469,
福星药房中山东路店,地址：四川省宜宾市兴文县古宋镇建国大道,电话：0831-8861838,
福星药房竹海路店,地址：四川省宜宾市长宁县光明街165号 ,电话：0831-4631882,
福星药房大麦坝连锁店,地址：四川省宜宾市大麦坝街45 ,电话：0831-6025191,
福星药房兴明连锁店,地址：四川省宜宾市长宁县安宁路一段41号,电话：0831-4625158,
福星药房女学街店,地址：四川省宜宾市女学街83号 ,电话：无,
福星药房前进路店,地址：四川省宜宾市前进路341号附近,电话：无,
福星药房珙县上罗店,地址：四川省宜宾市珙县上罗乡附近,电话：0831-4350255,
福星药房君山大道店,地址：四川省宜宾市屏山县君山大道西段28,电话：0831-5721478,
福星药房下场街店,地址：四川省宜宾市宜宾县下场街51号附近 ,电话：0831-6206269,
福星药房光明街连锁店,地址：四川省宜宾市长宁县光明街21号 ,电话：0831-4623868,
福星药房红丰西路三味堂连锁店,地址：四川省宜宾市红峰西路34号附4号,电话：0831-3550806,
福星药房高场店,地址：四川省宜宾市中学街99号(宜宾县高场国土资源所西),电话：0831-6410240,
福星药房桂花街店,地址：四川省宜宾市桂花街83,电话：无,
福星药房中元路店,地址：四川省宜宾市中元路21号附近,电话：0831-3601746,
福星药房长宁大桥店,地址：四川省宜宾市长宁县田坝街民主街路口附近,电话：0831-4630203,
福星药房南井街店,地址：四川省宜宾市珙县商业街128号,电话：0831-7898822,
福星药房喜捷桥头连锁店,地址：四川省宜宾市宜宾县喜捷镇中医院,电话：0831-6470283,
福星药房地中海蓝湾连锁店,地址：四川省宜宾市学堂路116 ,电话：0831-3056736,
福星药房南岸西区宜都天成苑连锁店,地址：四川省宜宾市诚信路74号,电话：0831-2375848,
福星药房象鼻红坝连锁店,地址：四川省宜宾市G85渝昆高速出口鱼塘村附近,电话：0831-3760282,
福星药房中山街连锁店,地址：四川省宜宾市中山街,电话：0831-8229611,
福星药房菜利连锁店,地址：四川省宜宾市翠屏区宜港休闲庄,电话：0831-8100386,
福星药店鼎业兴城连锁店,地址：四川省宜宾市翠屏区航天路,电话：0831-2069261,
福星药房新村济康连锁店,地址：四川省宜宾市新村,电话：0831-8271842,
福星药房珙县便民连锁店,地址：四川省宜宾市珙县新桥街191,电话：0831-4314293,
福星药房长宁竹海路店,地址：四川省宜宾市长宁县光明街119号,电话：0831-4631385,
福星药房南岸叙府路连锁店,地址：四川省宜宾市叙府路西段10附1 ,电话：0831-2324065,
福星药房咸熙街连锁店,地址：四川省宜宾市翠屏区咸熙街22,电话：0831-8205058,
福星药房珙县三江店,地址：四川省宜宾市珙县309省道,电话：0831-8046902,
福星药房黄桷树店,地址：四川省宜宾市宜宾县人民医院附近,电话：0831-7826995,
福星药房金鱼井街店,地址：四川省宜宾市翠屏区金鱼井街1附7,电话：0831-2326017,
福星药房北操场连锁店,地址：四川省宜宾市北大街北操场,电话：0831-8231689,
福星药房科贸街连锁店,地址：四川省宜宾市翠柏大道锦丝路,电话：0831-5181117,
福星药房珙县宏兴连锁店,地址：四川省宜宾市珙县新桥街185号-257号,电话：0831-4315159,
福星药房翠柏大道店,地址：四川省宜宾市宜宾县翠柏大道368号-402号,电话：0831-7825404,
福星药房屏山中都连锁店,地址：四川省宜宾市150县道新感觉旅店附近,电话：0831-5600301,
福星药房龙湾小区连锁店,地址：四川省宜宾市永兴街33 ,电话：0831-5192516,
福星药房五粮液大道金江连锁店,地址：四川省宜宾市翠屏区四川省岷江西路96号,电话：0831-3510582,
福星药房乐药房,地址：四川省宜宾市南溪县水池街,电话：0831-5523259,
福星药房顺祥连锁店,地址：四川省宜宾市翠屏区月耳池街8,电话：0831-3542898,
福星药房五粮液大道连锁店,地址：四川省宜宾市五粮液大道旧州路24号附1,电话：0831-3559477,
福星药房金芽菜街连琐店,地址：四川省宜宾市金芽菜街18-24附近,电话：0831-5103687,
福星药房江北华强连锁店,地址：四川省宜宾市翠屏区江北,电话：0831-3553343,
福星药房南岸连锁店,地址：四川省宜宾市柑子园街68号,电话：0831-2331717,
福星药房滨江路连锁店,地址：四川省宜宾市滨江路,电话：0831-7826349,
福星药房江北致富路店,地址：四川省宜宾市翠屏区致富路142,电话：0831-3548269,
福星药房济生连锁店,地址：四川省宜宾市商贸路东段2附9号,电话：无,
福星大药房纸业路店,地址：四川省宜宾市纸业路,电话：0831-4630203,
福星药房衣服街连锁店,地址：四川省宜宾市鼓楼街30-1,电话：0831-5166854,
福星药房长江大道店,地址：四川省宜宾市长江大道西段6号附10号,电话：0831-2102043,
福星药房祥和路连锁店,地址：四川省宜宾市安阜消费品综合市场,电话：0831-2071950,
福星药房筠连民乙连锁店,地址：四川省宜宾市筠州中路10,电话：0831-7727241,
福星药房南广路店,地址：四川省宜宾市南广路,电话：0831-6183020,
福星药房屏山东正街店,地址：四川省宜宾市屏山县东正街,电话：0831-5721448,
福星药房外江路连锁店,地址：四川省宜宾市翠屏区南岸西区外江路1号,电话：0831-2169608,
福星药房南岸济生连锁店,地址：四川省宜宾市商贸路东段2附9,电话：0831-5177943,
福星药房鼎业兴城店,地址：四川省宜宾市翠屏区航天路中段3号,电话：0831-2331072,
福星药房盐坪店,地址：四川省宜宾市翠屏区307省道,电话：0831-2402030,
福星药房铁肩街连锁店,地址：四川省宜宾市宜宾市翠屏区上江北铁肩街39号（葡萄园小区旁）,电话：0831-8205306,
福星药房大药房,地址：四川省宜宾市宜宾翠屏区,电话：0831-6610922,
福星药房江北红峰东路连锁店,地址：四川省宜宾市红丰东路2号附19,电话：0831-3558064,
福星药房江北店,地址：四川省宜宾市206省道,电话：0831-7819303,
福星药房屏山连锁店,地址：四川省宜宾市新屏山县城19地块民主街23号,电话：0831-5721831,
福星药房崇文路连锁店,地址：四川省宜宾市翠屏区崇文路,电话：0831-2321488,
福星药房长宁竹海路连锁店,地址：四川省宜宾市长宁县竹海路二段155号,电话：0831-4631382,
福星药房科贸路二连锁店,地址：四川省宜宾市柏溪镇科贸路14-15-16号,电话：0831-6258853,
福星药房天原连锁店,地址：四川省宜宾市翠屏区下江北化工厂搬运站楼6号,电话：0831-3601766,
福星药房叙府路店,地址：四川省宜宾市叙府路西段10号,电话：0831-2324069,
福星药房长江国际青年城连锁店,地址：四川省宜宾市临港经济开发区长江国际青年城一幢18号,电话：0831-3889200,
福星药房屏山二连锁店,地址：四川省宜宾市新屏山县城17地块5栋（新屏山中学后门）,电话：0831-5601083,
福星药房抗建路连锁店中药房,地址：四川省宜宾市翠屏区抗建42号,电话：0831-8237671,
福星药房书香府第小区连锁店,地址：四川省宜宾市翠屏书香府第3幢第1层10号、11号、12号,电话：0831-3667683,
福星药房岷江北路连锁店,地址：四川省宜宾市岷江北路三江厂车站旁边,电话：0831-3521507,
福星药房长江大道连锁店,地址：四川省宜宾市翠屏区南岸长江大道西段6号附6号,电话：0831-2102579,
福星药房南溪文化广场连锁店,地址：四川省宜宾市南溪县南溪镇文化路东段221、223号,电话：0831-3330893,
福星药房抗建路连锁店,地址：四川省宜宾市翠屏区抗建32号,电话：0831-8216183,
福星药房巡场连锁店,地址：四川省宜宾市珙县巡场镇商业街184号、186号,电话：0831-7898820,
福星药房田坝街连锁店,地址：四川省宜宾市翠屏区田坝街,电话：无,
福星药房七幢楼连锁店,地址：四川省宜宾市柏溪镇七幢楼（邮政大楼对面）,电话：0831-6202765,
福星药房新村二连锁店,地址：四川省宜宾市新村信用合作社对面,电话：0831-8271358,
福星药房南岸西区财富中心连锁店,地址：四川省宜宾市翠屏区南岸街道西区财富中心3-1-1-25号,电话：0831-8272325,
福星药房敬业路连锁店,地址：四川省宜宾市敬业路原绿源超市大楼,电话：0831-3548685,
福星药房屏山四连锁店,地址：四川省宜宾市屏山县新县城24块地A24-03号,电话：0831-5880912,
福星药房金河连锁店,地址：四川省宜宾市翠屏区西郊街道办事处天池村金河组29 号,电话：0831-8282728,
福星药房南岸龙湾花园连锁店,地址：四川省宜宾市翠屏区南岸街道西区龙湾(武警兵站对面）,电话：0831-2102219,
福星药房高县三连锁店,地址：四川省宜宾市高县文江镇县医院旁,电话：0831-5391213,
福星药房高县连锁店,地址：四川省宜宾市高县文江镇民主街55号,电话：0831-5427958,
福星药房北正街一连锁店,地址：四川省宜宾市翠屏区北正街44号1层附1号、附2号,电话：0831-8231043,
福星药房北大街连锁店,地址：四川省宜宾市翠屏区北大街145号,电话：0831-8238851,
福星药房高场连锁店,地址：四川省宜宾县高场镇中学街85号,电话：0831-6343639,
福星药房二二四农贸市场连锁店,地址：四川省宜宾市宜宾县二二四农贸市场口,电话：0831-6257609,
福星药房柏溪长江路连锁店,地址：四川省宜宾市宜宾县柏溪镇长江路（柏溪花园）,电话：0831-7820591,
福星药房柏溪连锁店,地址：四川省宜宾市宜宾县柏溪镇桂圆路（宜宾柏溪客运站）,电话：0831-7826327,
福星药房二二四连锁店,地址：四川省宜宾市宜宾县二二四军械所门口,电话：0831-6253186,
福星药房柏溪桂花路连锁店,地址：四川省宜宾市宜宾县柏溪镇桂花路中段48号,电话：0831-6252201,
福星药房柏溪老农贸市场连锁店,地址：四川省宜宾市宜宾县柏溪镇英烈巷万安花园老农贸市场A幛底层3号门面,电话：0831-6611507,
福星药房东街连锁店,地址：四川省宜宾市翠屏区东街11号,电话：0831-8238087,
福星药房鼎业兴城连锁店,地址：四川省宜宾市翠屏区航天路中段1号附9号,电话：0831-3662772,
福星药房打金街连锁店,地址：四川省宜宾市翠屏区打金街82号1层3号、4号,电话：0831-8237429,
福星药房白花和平街连锁店,地址：四川省宜宾市宜宾县白花镇和平街160-162号,电话：0831-6640639,
福星药房翠柏大道连锁店,地址：四川省宜宾市宜宾县柏溪镇保龄街3号、5号（翠柏大道锦丝路交汇口）,电话：0831-6255543,
福星药房成中路连锁店,地址：四川省宜宾市宜宾县柏溪镇成中路1号,电话：0831-6880379,
康贝大药房零售连锁有限公司骨伤药店,地址：四川省乐山市马边县民建镇南门,电话：028-83919006,
四川康贝大药房连锁有限公司金莲大药房,地址：四川省攀枝花市东区瓜子坪隆庆路320-322号,电话：028-83919006,
四川康贝大药房连锁有限公司杏林春分店,地址：四川省成都市新都区新都街道东街224、226号,电话：028-83919006,
四川康贝大药房连锁有限公司济民分店,地址：四川省成都市新都区斑竹园镇忠义社区竹园大道72、74号,电话：028-83919006,
四川康贝大药房连锁有限公司健康分店,地址：四川省成都市新都区斑竹园镇竹友场北街15号,电话：028-83919006,
四川康贝大药房连锁有限公司顺达分店,地址：四川省成都市新都区龙桥镇普文村2社,电话：028-83919006,
四川康贝大药房连锁有限公司向阳分店,地址：四川省成都市龙泉驿区龙泉镇界牌村十一组向阳桥9号10号,电话：028-83919006,
四川康贝大药房连锁有限公司康华堂分店,地址：四川省成都市武侯区机投镇半边街村1组,电话：028-83919006,
四川康贝大药房连锁有限公司万顺分店,地址：四川省成都市新都区斑竹园镇鸦雀口村六组96号,电话：028-83919006,
四川康贝大药房连锁有限公司天源大药房分店,地址：四川省成都市锦江区菱窠路68号,电话：028-83919006,
四川康贝大药房连锁有限公司鸿康分店,地址：四川省成都市武侯区机投镇半边街村2组66号,电话：028-83919006,
四川康贝大药房连锁有限公司泰康分店,地址：四川省成都市青白江区怡湖东路8、10号,电话：028-83919006,
四川康贝大药房连锁有限公司泰安堂分店,地址：四川省成都市新都区新都街道天缘路一段146、148号,电话：028-83919006,
四川康贝大药房连锁有限公司锦春大药房分店,地址：四川省成都市锦江区武成大街99号,电话：028-83919006,
四川康贝大药房连锁有限公司康福分店,地址：四川省德阳市龙泉山北路108号,电话：028-83919006,
四川康贝大药房连锁有限公司麒麟分店,地址：四川省成都市龙泉驿区龙泉街道董郎路396号,电话：028-83919006,
四川康贝大药房连锁有限公司利康大药房分店,地址：四川省成都市成华区华康路1号附25号,电话：028-83919006,
四川康贝大药房连锁有限公司康福堂分店,地址：四川省成都市新都区新都街道湖滨路191、193号,电话：028-83919006,
四川康贝大药房连锁有限公司永康一分店,地址：四川省德阳市区泰山北路一段186号,电话：028-83919006,
四川康贝大药房连锁有限公司顺康分店,地址：四川省成都市龙泉驿区大面街道车城停车场第9、10、11号,电话：028-83919006,
四川康贝大药房连锁有限公司旭康分店,地址：四川省成都市新都区龙桥镇南街7、9号,电话：028-83919006,
四川康贝大药房连锁有限公司安康大药房分店,地址：四川省成都市成华区槐树店路18号,电话：028-83919006,
四川康贝大药房连锁有限公司德福堂分店,地址：四川省成都市武侯区二环路南一段17号附1号,电话：028-83919006,
四川康贝大药房连锁有限公司民康分店,地址：四川省成都市龙泉驿区洛带镇八角井街371、373号,电话：028-83919006,
四川康贝大药房连锁有限公司福安堂分店,地址：四川省成都市新都区新都街道东街7号,电话：028-83919006,
四川康贝大药房连锁有限公司健民药分店,地址：四川省德阳绵竹市孝德镇万源路122号124号,电话：028-83919006,
四川康贝大药房连锁有限公司德顺堂分店,地址：四川省成都市青羊区文家街道马长社区福庆路5、7号,电话：028-83919006,
四川康贝大药房连锁有限公司茂县惠民药房分店,地址：四川省阿坝州茂县凤仪镇前进街,电话：028-83919006,
四川康贝大药房连锁有限公司吉祥分店,地址：四川省成都市新都区新都街道外南街9号,电话：028-83919006,
四川康贝大药房连锁有限公司清源分店,地址：四川省成都市新都区新繁镇安全村三组100号,电话：028-83919006,
四川康贝大药房连锁有限公司南街分店,地址：四川省成都市青羊区文家大道200号附88、89、90号,电话：028-83919006,
四川康贝大药房连锁有限公司福寿分店,地址：四川省成都市龙泉驿区龙泉街道龙平路397号,电话：028-83919006,
四川康贝大药房连锁有限公司益生堂分店,地址：四川省成都市新都区新繁镇金龙街56号,电话：028-83919006,
四川康贝大药房连锁有限公司盛兴分店,地址：四川省德阳市广汉市和兴镇镇江路3号,电话：028-83919006,
四川康贝大药房连锁有限公司百姓分店,地址：四川省成都市青白江区弥牟镇八阵图商业场2幢17号,电话：028-83919006,
四川康贝大药房连锁有限公司惠康分房,地址：四川省成都市龙泉驿区龙泉街道天生路170号,电话：028-83919006,
四川康贝大药房连锁有限公司利民分店,地址：四川省德阳市广汉市新丰镇台中路东段30号、32号,电话：028-83919006,
四川康贝大药房连锁有限公司为民分店,地址：四川省攀枝花市盐边县国胜乡新坪街82号,电话：028-83919006,
四川康贝大药房连锁有限公司永康分店,地址：四川省成都市龙泉驿区洛带镇玉带街248、250号,电话：028-83919006,
四川康贝大药房连锁有限公司平安分店,地址：四川省成都市青白江区清泉镇平安路二段29、31号,电话：028-83919006,
四川康贝大药房连锁有限公司复康分店,地址：四川省成都市龙泉驿区洛带镇双兴中街40、42号,电话：028-83919006,
四川康贝大药房连锁有限公司洪扬药店,地址：四川省成都市龙泉驿区大面惠王陵东路90、92号,电话：028-83919006,
四川康贝大药房连锁有限公司德胜药房,地址：四川省成都市龙泉驿区柏合镇鲸龙路179号,电话：028-83919006,
四川康贝大药房连锁有限公司海伦大药房,地址：四川省成都市金牛区二环路北一段85号附15、16号一层,电话：028-83919006,
四川康贝大药房连锁有限公司十陵大药房,地址：四川省成都市龙泉驿区十陵街道灵龙路211号,电话：028-83919006,
四川康贝大药房连锁有限公司金仁堂大药房,地址：四川省成都市金牛区洞子口路333号附37号1层,电话：028-83919006,
四川康贝大药房连锁有限公司同仁药店,地址：四川省成都市龙泉驿区龙泉街道万源路335、337号,电话：028-83919006,
四川康贝大药房连锁有限公司天回镇天裕药店,地址：四川省成都市金牛区天回镇天龙桥街121号,电话：028-83919006,
四川康贝大药房连锁有限公司康心药店,地址：四川省成都市龙泉驿区龙泉街道北泉路115、117号,电话：028-83919006,
四川康贝大药房连锁有限公司鸿翔大药房,地址：四川省成都市金牛区天回镇天龙桥西街60、62号,电话：028-83919006,
四川康贝大药房连锁有限公司得福堂药房,地址：四川省成都市金牛区同和路98号附5、6、7号,电话：028-83919006,
四川康贝大药房连锁有限公司新超大药房,地址：四川省成都市金牛区天回乡向海村四组41号（集体商铺）,电话：028-83919006,
四川康贝大药房连锁有限公司一心堂药房,地址：四川省成都市金牛区营康西路66号附11号,电话：028-83919006,
四川康贝大药房连锁有限公司明俊药店,地址：四川省成都市金牛区金牛乡郎家小区近郊民居西北侧13、14号,电话：028-83919006,
四川康贝大药房连锁有限公司科贝药店,地址：四川省成都市金牛区马鞍西路7号附1、2号,电话：028-83919006,
四川康贝大药房连锁有限公司健尔美药房,地址：四川省成都市金牛区北站西一路125号附6号,电话：028-83919006,
四川康贝大药房连锁有限公司回康大药房,地址：四川省成都市金牛区银沙南街28号7栋1层1号,电话：028-83919006,
四川康贝大药房连锁有限公司东盛堂药房,地址：四川省成都市金牛区文华路1号,电话：028-83919006,
四川康贝大药房连锁有限公司桥悦大药房,地址：四川省成都市金牛区圃园路5号一栋3、4、5号,电话：028-83919006,
四川康贝大药房连锁有限公司加劲药店,地址：四川省成都市金牛区金周路,电话：028-83919006,
四川康贝大药房连锁有限公司润新大药房,地址：四川省成都市金牛区九里堤中路138号,电话：028-83919006,
四川康贝大药房连锁有限公司思源大药房,地址：四川省成都市金牛区营康西路43号,电话：028-83919006,
四川康贝大药房连锁有限公司凌江药房,地址：四川省成都市金牛区沙河源街道旺泉街10号附34号,电话：028-83919006,
四川康贝大药房连锁有限公司育德岁岁康大药房,地址：四川省成都市金牛区育德路8号附65号、66号,电话：028-83919006,
四川康贝大药房连锁有限公司静宜药店,地址：四川省成都市金牛区天回镇街道太华社区杜太路,电话：028-83919006,
四川康贝大药房连锁有限公司萍锦大药房,地址：四川省成都市金牛区金牛乡付家碾村二组,电话：028-83919006,
四川康贝大药房连锁有限公司药正堂药房,地址：四川省成都市金牛区沙河源古柏社区2组,电话：028-83919006,
四川康贝大药房连锁有限公司礼源堂大药房,地址：四川省成都市金牛区洞子口乡陆家村9组,电话：028-83919006,
四川康贝大药房连锁有限公司蓉旭大药房,地址：四川省成都市金牛区踏水村二组,电话：028-83919006,
四川康贝大药房连锁有限公司华娇堂大药房,地址：四川省成都市金牛区天裕街16、18号,电话：028-83919006,
四川康贝大药房连锁有限公司安仁堂大药房,地址：四川省成都市金牛区茶店子正街81、83、85、87号,电话：028-83919006,
四川康贝大药房连锁有限公司天益堂药店,地址：四川省成都市金牛区天新路258号,电话：028-83919006,
四川康贝大药房连锁有限公司达康药房,地址：四川省成都市成华区青龙乡将军碑村一组,电话：028-83919006,
四川康贝大药房连锁有限公司东芝堂药店,地址：四川省成都市锦江区琉三路9、11、13号,电话：028-83919006,
四川康贝大药房连锁有限公司熙熙药房,地址：四川省成都市金牛区天回乡土门新村,电话：028-83919006,
四川康贝大药房连锁有限公司愈乐药店,地址：四川省成都市金牛区高家小区农贸市场外单3、4、5号,电话：028-83919006,
四川康贝大药房连锁有限公司诚信药店,地址：四川省成都市金牛区沙河源古柏路54号商1-5#-9#,电话：028-83919006,
四川康贝大药房连锁有限公司一生药房,地址：四川省成都市锦江区莲桂西路28、30号,电话：028-83919006,
四川康贝大药房连锁有限公司水韵大药房,地址：四川省成都市金牛区王贾路19号三幢附45号A、B、C号,电话：028-83919006,
四川康贝大药房连锁有限公司科龙药店,地址：四川省成都市锦江区琉璃路1196、1198、1200号,电话：028-83919006,
四川康贝大药房连锁有限公司平阳大药房,地址：四川省成都市成华区花径路115号附64号,电话：028-83919006,
四川康贝大药房连锁有限公司康升大药房,地址：四川省成都市金牛区金牛乡跃进村8组84号附13、15号,电话：028-83919006,
四川康贝大药房连锁有限公司兴树蓓药房,地址：四川省成都市金牛区树蓓街128、130、132号,电话：028-83919006,
四川康贝大药房连锁有限公司光明瑞安堂药房,地址：四川省成都市锦江区大观里3号附51、52、53号,电话：028-83919006,
四川康贝大药房连锁有限公司菁欢大药房,地址：四川省成都市成华区致力西街9、11号,电话：028-83919006,
四川康贝大药房连锁有限公司康苹大药房,地址：四川省成都市成华区赤虎桥东路22号,电话：028-83919006,
四川康贝大药房连锁有限公司康晖药房,地址：四川省成都市金牛区洞子口乡陆家村,电话：028-83919006,
四川康贝大药房连锁有限公司齐顺堂大药房,地址：四川省成都市金牛区古柏路54号附35、36、37、38号,电话：028-83919006,
四川康贝大药房连锁有限公司德瑞堂大药房,地址：四川省成都市锦江区莲花南路76、78号,电话：028-83919006,
四川康贝大药房连锁有限公司安泰和药店,地址：四川省成都市成华区龙潭街道同乐社区北湖印象3期18、19号,电话：028-83919006,
四川康贝大药房连锁有限公司劲松大药房,地址：四川省成都市成华区荆翠中路28、30号,电话：028-83919006,
四川康贝大药房连锁有限公司长庆药店,地址：四川省成都市金牛区长庆路1号18栋1单元1层18、19号,电话：028-83919006,
四川康贝大药房连锁有限公司顺康堂药房,地址：四川省成都市金牛区赛云台东二路95号,电话：028-83919006,
四川康贝大药房连锁有限公司倍健大药房,地址：四川省成都市锦江区经天路4号附136、137号,电话：028-83919006,
四川康贝大药房连锁有限公司康乐堂大药房,地址：四川省成都市成华区建设北路三段1号附10号,电话：028-83919006,
康贝大药房零售连锁有限公司健康药房,地址：四川省乐山市马边县东光一组,电话：028-83919006,
四川康贝大药房连锁有限公司天回如意药店,地址：四川省成都市金牛区天回乡太华村10组64号,电话：028-83919006,
四川康贝大药房连锁有限公司方便药房,地址：四川省成都市金牛区站东南一路90号附11、12号,电话：028-83919006,
四川康贝大药房连锁有限公司天际药房,地址：四川省成都市锦江区净居寺南街99号附37、38号15栋1层121、122号,电话：028-83919006,
四川康贝大药房连锁有限公司惠民堂大药房,地址：四川省成都市成华区东紫路476号,电话：028-83919006,
康贝大药房零售连锁有限公司平价药房,地址：四川省乐山市马边县建设街,电话：028-83919006,
四川康贝大药房连锁有限公司蜀玺大药房,地址：四川省成都市金牛区洞子口乡陆家村一组,电话：028-83919006,
四川康贝大药房连锁有限公司美乐康药店,地址：四川省成都市锦江区锦华路三段281、283号,电话：028-83919006,
四川康贝大药房连锁有限公司同乐康大药房,地址：四川省成都市成华区龙潭街道“北湖印象”广场商铺A组团16号,电话：028-83919006,
康贝大药房零售连锁有限公司华康药房,地址：四川省乐山市马边县劳动乡街口,电话：028-83919006,
四川康贝大药房连锁有限公司济明药房,地址：四川省成都市锦江区洪柏路94、96号,电话：028-83919006,
四川康贝大药房连锁有限公司涌泉堂大药房,地址：四川省成都市成华区新鸿南路77号38栋8号,电话：028-83919006,
康贝大药房零售连锁有限公司东康药房,地址：四川省乐山市马边县建设乡东光村内,电话：028-83919006,
四川康贝大药房连锁有限公司常青药店,地址：四川省成都市成华区致顺路486号,电话：028-83919006,
康贝大药房零售连锁有限公司新生街顺康药店,地址：四川省乐山市马边民建镇新生街66号,电话：028-83919006,
康贝大药房零售连锁有限公司光明村光明药店,地址：四川省乐山市马边县建设乡光明村,电话：028-83919006,
康贝大药房零售连锁有限公司劳动药店,地址：四川省乐山市马边县劳动乡场镇,电话：028-83919006,
康贝大药房零售连锁有限公司东升药店,地址：四川省乐山市马边县荣丁滨河路,电话：028-83919006,
康贝大药房零售连锁有限公司雪口山药店,地址：四川省乐山市马边县雪口山场镇,电话：028-83919006,
康贝大药房零售连锁有限公司松柏堂药店,地址：四川省乐山市马边县民建镇建设街106号,电话：028-83919006,
康贝大药房零售连锁有限公司鹤祥药店,地址：四川省乐山市马边县民建镇建设街79号,电话：028-83919006,
康贝大药房零售连锁有限公司城北药店,地址：四川省乐山市马边县民建镇建设街城北处,电话：028-83919006,
康贝大药房零售连锁有限公司星火村利民药店,地址：四川省乐山市马边县劳动乡星火村,电话：028-83919006,
康贝大药房零售连锁有限公司玉堂春药店,地址：四川省乐山市马边县建设乡场镇,电话：028-83919006,
康贝大药房零售连锁有限公司光玉药店,地址：四川省乐山市马边县建设乡光明3组,电话：028-83919006,
康贝大药房零售连锁有限公司德康药店,地址：四川省乐山市马边县下溪乡共和街里,电话：028-83919006,
康贝大药房零售连锁有限公司中正堂药店,地址：四川省乐山市马边县建设乡光明3组,电话：028-83919006,
康贝大药房零售连锁有限公司黄乔药店,地址：四川省乐山市马边县靛兰乡,电话：028-83919006,
康贝大药房零售连锁有限公司济世堂药店,地址：四川省乐山市马边县建设乡光明一组,电话：028-83919006,
康贝大药房零售连锁有限公司西城药店,地址：四川省乐山市马边县水碾坝西城村,电话：028-83919006,
康贝大药房零售连锁有限公司民安药店,地址：四川省乐山市马边县民建镇建设街民安药店,电话：028-83919006,
康贝大药房零售连锁有限公司乾金药店,地址：四川省乐山市马边县靛兰坝乡场镇,电话：028-83919006,
康贝大药房零售连锁有限公司杨洪亮药店,地址：四川省乐山市金口河区金口河镇铜河村一组,电话：028-83919006,
康贝大药房零售连锁有限公司国伟药店,地址：四川省乐山市马边县下溪乡共和街,电话：028-83919006,
康贝大药房零售连锁有限公司福祥药店,地址：四川省乐山市马边县民建镇建设街南侧,电话：028-83919006,
康贝大药房零售连锁有限公司佳琼药店,地址：四川省乐山市金口河区永胜乡,电话：028-83919006,
康贝大药房零售连锁有限公司阿依药店,地址：四川省乐山市马边县水碾坝乡西城村,电话：028-83919006,
康贝大药房零售连锁有限公司张卡药店,地址：四川省乐山市马边县荣丁乡场镇,电话：028-83919006,
康贝大药房零售连锁有限公司敬仁药店,地址：四川省乐山市金口河区和平乡逻回村2组,电话：028-83919006,
康贝大药房零售连锁有限公司张坝药店,地址：四川省乐山市马边县民建镇建设街246号,电话：028-83919006,
康贝大药房零售连锁有限公司东光药店,地址：四川省乐山市马边县建设乡东光村,电话：028-83919006,
康贝大药房零售连锁有限公司勇军药店,地址：四川省乐山市金口河区梧桐街,电话：028-83919006,
康贝大药房零售连锁有限公司民建镇北门药店,地址：四川省乐山市马边县民建镇民政街4号,电话：028-83919006,
康贝大药房零售连锁有限公司渝新药店,地址：四川省乐山市马边县劳动乡星火9组,电话：028-83919006,
康贝大药房零售连锁有限公司利康药店,地址：四川省乐山市金口河区金河镇黎明村,电话：028-83919006,
康贝大药房零售连锁有限公司杏林春药店,地址：四川省乐山市马边县荣丁镇东,电话：028-83919006,
康贝大药房零售连锁有限公司苏坝药店,地址：四川省乐山市马边县苏坝乡场镇,电话：028-83919006,
康贝大药房零售连锁有限公司文清药店,地址：四川省乐山市马边民建镇新建街28号,电话：028-83919006,
康贝大药房零售连锁有限公司三八药店,地址：四川省乐山市金口河区关村,电话：028-83919006,
康贝大药房零售连锁有限公司赵清海药店,地址：四川省乐山市马边县荣丁镇,电话：028-83919006,
康贝大药房零售连锁有限公司民建镇奥康药店,地址：四川省乐山市马边县民建镇东光小区,电话：028-83919006,
康贝大药房零售连锁有限公司冠宇药店,地址：四川省乐山市马边县下溪乡共和街内,电话：028-83919006,
康贝大药房零售连锁有限公司红宁药店,地址：四川省乐山市金口河区和平街,电话：028-83919006,
康贝大药房零售连锁有限公司济生堂药店,地址：四川省乐山市马边县下溪乡共和街东侧,电话：028-83919006,
康贝大药房零售连锁有限公司南门药店,地址：四川省乐山市马边县民建镇,电话：028-83919006,
康贝大药房零售连锁有限公司永和堂药店,地址：四川省乐山市金口河区和平乡逻回村内,电话：028-83919006,
康贝大药房零售连锁有限公司康德药店,地址：四川省乐山市马边县民建镇建设街,电话：028-83919006,
康贝大药房零售连锁有限公司利来药店,地址：四川省乐山市金口河区和平乡逻回村三组,电话：028-83919006,
康贝大药房零售连锁有限公司同仁药店,地址：四川省乐山市金口河区金河镇,电话：028-83919006,
康贝大药房零售连锁有限公司超宇药行,地址：四川省乐山市金口河区和平乡迎新村,电话：028-83919006,
康贝大药房零售连锁有限公司小贻药店,地址：四川省乐山市金口河区吉星乡,电话：028-83919006,
康贝大药房零售连锁有限公司芳芳药店,地址：四川省乐山市峨眉山市峨边县毛坪镇中心村,电话：028-83919006,
康贝大药房零售连锁有限公司伯章药店,地址：四川省乐山市金口河区和平乡逻回村,电话：028-83919006,
康贝大药房零售连锁有限公司沙坪健康药店,地址：四川省乐山市峨边县沙坪镇休闲广场A区第二层24号,电话：028-83919006,
