宣城市言午氏药店桃州路店,地址：安徽省宣城市广德县桃州镇桃州南路东B1-2号,电话：0563-6026508,
安徽省宣城康宁医药宁国大道店,地址：安徽省宣城市宁国市大道绿宝嘉园1017-1018号门面,电话：0563-4037880,
安徽省宣城康宁医药宁阳中路店,地址：安徽省宣城市宁国市南门桥威卡姆超市旁,电话：0563-4031979,
安徽省宣城康宁医药山门中路店,地址：安徽省宣城市宁国市山门中路汇丰花苑对面,电话：0563-4012505,
安徽省宣城康宁医药惠民店,地址：安徽省宣城市宁国市公安局大门南侧,电话：0563-4015047,
合肥为民大药房桐城路店,地址：安徽省合肥市包河区桐城路22号—1香港街A座2层,电话：0551-62878669,
合肥为民大药房莲花路店,地址：安徽省合肥市莲花路与丹霞路交叉口名筑花园14号B,电话：0551-63548868,
合肥为民大药房南湖春城店,地址：安徽省合肥市经济技术开发区烟墩路东、轩辕路南南湖春城19幢106、商106上,电话：0551-63484668,
合肥为民大药房绿都花园店,地址：安徽省合肥市阜阳北路银建大厦21号楼102室,电话：0551-65858178,
合肥为民大药房莲丹店,地址：安徽省合肥经济技术开发区莲花新村14栋105室,电话：0551-63810700,
合肥为民大药房南七店,地址：安徽省合肥市望江路综合楼104-204,电话：0551-63648188,
合肥为民大药房金寨路店,地址：安徽省合肥市蜀山区金寨路161号新瑞祺大厦一层J区03号,电话：0551-63360353,
合肥为民大药房漕冲店,地址：安徽省合肥市瑶海区长江东路260号3号楼一层7—9轴,电话：0551-64412169,
合肥为民大药房贵池路店,地址：安徽省合肥市蜀山区贵池路长江花园9幢6#门面,电话：0551-65115218,
合肥为民大药房颍上路店,地址：安徽省合肥市庐阳区颖上路615号北美印象雅苑9幢101室,电话：0551-65544696,
合肥为民大药房阜阳路店,地址：安徽省合肥市庐阳区荣事达大道223号,电话：0551-65544868,
合肥为民大药房太湖路店,地址：安徽省合肥市包河区太湖路18号田逸苑A幢101号,电话：0551-63447128,
合肥为民大药房阳光花园店,地址：安徽省合肥市包河区马鞍山南路世纪阳光花园青阳苑D1-3幢113室,电话：0551-63435818,
合肥为民大药房无为路店,地址：安徽省合肥市庐阳区无为路28号雍景苑1幢102室,电话：0551-62674668,
合肥为民大药房北都花园店,地址：安徽省合肥市庐阳区荣事达大道631号北都花园1幢107、108室,电话：0551-65526906,
合肥为民大药房农大店,地址：安徽省合肥市长江西路130号安农大科技长廊,电话：0551-62828995,
合肥为民大药房桐城南路店,地址：安徽省合肥新里程花园7幢-8幢楼间商业用房106、107商铺,电话：0551-63618099,
合肥为民大药房五河路店,地址：安徽省合肥市五河路229号4号楼,电话：0551-65585657,
合肥为民大药房泗洲路店,地址：安徽省合肥市瑶海区临泉路与泗洲路交口芳邻家园5幢2-商104号,电话：0551-67186037,
合肥为民大药房定远路点,地址：安徽省合肥市瑶海区定远路橘郡万绿园四期门面房商101室,电话：0551-64251500,
合肥为民大药房淮河路店,地址：安徽省合肥市淮河路340号,电话：0551-62675186,
合肥为民大药房青阳路店,地址：安徽省合肥市蜀山区青阳路与高刘路交口东南龙居山庄天龙居5﹟商105,电话：0551-65165669,
合肥为民大药房王大郢店,地址：安徽省合肥市淝河路王大郢村阳光上南1#A-3（满天星超市内）,电话：0551-64674849,
合肥为民大药房百花井店,地址：安徽省合肥市荣事达大道38号,电话：0551-62610746,
合肥格宁大药房连锁有限公司三十六店,地址：安徽省合肥市蜀山区南七街道洪刚社区红鑫新村10幢107室,电话：0551-65503250,
合肥格宁大药房连锁有限公司连锁十四店,地址：安徽省合肥市包河区桐城路桐城绿苑8-102,电话：0551-63629208,
合肥格宁大药房连锁有限公司连锁二店,地址：安徽省合肥市亳州路299号福星嘉苑1幢3号4号门面,电话：0551-65535488,
合肥格宁大药房连锁有限公司连锁二十八店,地址：安徽省合肥市经开区习友路御景前城25幢118、120、122号,电话：0551-63363510,
合肥格宁大药房连锁有限公司连锁五十八店,地址：安徽省合肥市蜀山区西七里塘十里庙路9幢东门面,电话：0551-65635011,
合肥格宁大药房连锁有限公司连锁一店,地址：安徽省合肥市铜陵北路与长江路交汇处西北角,电话：0551-64221130,
合肥格宁大药房连锁有限公司大学城店,地址：安徽省合肥市合经区繁华大道南、九龙路东、环湖路北磬苑40幢101商,电话：0551-63873680,
合肥格宁大药房连锁有限公司连锁二十六店,地址：安徽省合肥市包河区桐城路桐城绿苑,电话：0551-62939660,
合肥格宁大药房连锁有限公司连锁五十一店,地址：安徽省合肥市瑶海区龙岗开发临泉路南侧阳光棕榈园9幢19-20,电话：0551-67880685,
合肥格宁大药房连锁有限公司连锁二十店,地址：安徽省合肥市高新区科学大道与海棠路交口科学大道9号,电话：0551-65845049,
合肥格宁大药房连锁有限公司连锁六店,地址：安徽省合肥市政务区潜山路与绿怡南路交叉口国际花都天香苑5栋9号商铺,电话：0551-63532790,
合肥格宁大药房连锁有限公司三十八店,地址：安徽省合肥市经开区轩辕路以北、烟墩路以东海恒社区146号楼,电话：0551-62872798,
合肥格宁大药房连锁有限公司金寨路店,地址：安徽省合肥市金寨路与东流路交叉口北6-7,电话：0551-63525541,
合肥格宁大药房连锁有限公司望江西路店,地址：安徽省合肥市望江西路102号新西南华庭B幢111号,电话：0551-65119360,
合肥格宁大药房连锁有限公司连锁三店,地址：安徽省合肥市濉溪路9号,电话：0551-64698610,
安徽元初药房镜湖区绿元大药房,地址：安徽省芜湖市绿影新村文化中心1号门面房,电话：0553-5013709,
安徽元初药房新时代商业街二分店,地址：安徽省芜湖市金玺商业广场B-110号门面,电话：0553-5876390,
安徽元初药房芜湖二街新宇花苑小区分店,地址：安徽省芜湖市镜湖区新宇花苑4#楼101-1、2号,电话：0553-2872918,
安徽元初药房芜湖白金湾小区分店,地址：安徽省芜湖市镜湖区文化路白金星天地15号楼1-111号,电话：0553-3851501,
安徽元初药房繁昌荻港大药房,地址：安徽省芜湖市繁昌县荻港镇渡江路,电话：0553-7351532,
安徽元初药房芜湖瑞丰商博城分店,地址：安徽省芜湖市弋江区中国芜湖商品交易博览城F02楼110、111、130、131,电话：0553-3021575,
安徽元初药房芜湖利民西路二分店,地址：安徽省芜湖市弋江区楚江府第1#楼103室,电话：0553-3711156,
安徽元初药房芜湖砻坊路分店,地址：安徽省芜湖市百蕊山庄3021号,电话：0553-2833773,
安徽元初药房芜湖东郊路分店,地址：安徽省芜湖市东郊路122号,电话：0553-3111973,
安徽元初药房安元大药房,地址：安徽省芜湖市镜湖区冰冻街2-3号门面房,电话：0553-3884558,
安徽元初药房芜湖东郊路二分店,地址：安徽省芜湖市镜湖区左岸生活社区B14#02,电话：0553-5809713,
安徽元初药房华康大药房,地址：安徽省芜湖市弋江区利民西路凤凰新村9-10号门面房,电话：0553-4811331,
安徽元初药房安徽省芜湖市天祥大药房,地址：安徽省芜湖市天香苑13号门面,电话：0553-5875763,
安徽元初药房芜湖三潭路分店,地址：安徽省芜湖市长江长33#12-13号门面,电话：0553-4223515,
安徽元初药房繁昌平铺大药房,地址：安徽省芜湖市繁昌县平铺镇平溪路25号,电话：0553-7116090,
安徽元初药房繁昌春谷大药房,地址：安徽省芜湖市繁昌县繁阳镇春谷商市,电话：0553-7865212,
安徽元初药房安徽省芜湖市新安大药房,地址：安徽省芜湖市九华山路80号,电话：0553-3850792,
安徽元初药房芜湖东方龙城分店,地址：安徽省芜湖市镜湖区东方龙城雅乐苑1#楼06,电话：0553-4813762,
安徽元初药房芜湖花园路分店,地址：安徽省芜湖市花园路泰华家园6号门面房,电话：0553-5851957,
安徽元初药房芜湖三山大药房,地址：安徽省芜湖市三山区三华路,电话：0553-7471629,
安徽元初药房繁昌渡江大药房,地址：安徽省芜湖市繁昌县狄港镇渡江路37号,电话：0553-7351672,
安徽元初药房芜湖赤铸山西路二分店,地址：安徽省芜湖市赤铸山路杏园小区1号商住楼东九号门面,电话：0553-3867216,
安徽元初药房芜湖江城国际小区分店,地址：安徽省芜湖市弋江区江城国际瑞虹苑20#楼101室,电话：0553-4117527,
安徽元初药房芜湖赭山西路分店,地址：安徽省芜湖市赭山西路中达新村1-1号,电话：0553-5736458,
安徽元初药房芜湖越秀路分店,地址：安徽省芜湖市经济技术开发区越秀路波尔卡大街2#楼19、2#楼21,电话：0553-5841095,
安徽元初药房芜湖利民西路分店,地址：安徽省芜湖市利民路427号,电话：0553-4810572,
安徽元初药房芜湖香苑小区一分店,地址：安徽省芜湖市香苑公建综合楼118-119号门面,电话：0553-5770265,
安徽元初药房繁昌老药房,地址：安徽省芜湖市繁昌县繁阳镇峨溪路,电话：0553-7875751,
安徽元初药房芜湖华山路分店,地址：安徽省芜湖市芜湖经济开发区龙山街道向阳小区沿街配套门面房8号,电话：0553-5316226,
安徽元初药房芜湖新芜路二分店,地址：安徽省芜湖市新芜路广玉兰花园1幢8号,电话：0553-3852203,
安徽元初药房芜湖环城北路分店,地址：安徽省芜湖市黄山园一弄5号,电话：0553-3853659,
安徽元初药房繁昌孙村大药房,地址：安徽省芜湖市繁昌县孙村镇政通路,电话：0553-7253902,
安徽元初药房芜湖长江北路分店,地址：安徽省芜湖经济技术开发区银湖波尔卡国际花园50#楼S19-20号,电话：0553-5846527,
安徽元初药房芜湖南阳新街分店,地址：安徽省芜湖市鸠江区官陡镇南阳新街12号,电话：0553-5813080,
安徽元初药房芜湖赭山中路分店,地址：安徽省芜湖市赭山中路立交桥旁芜湖新建大楼门面房,电话：0553-3119637,
安徽元初药房芜湖银湖中路二分店,地址：安徽省芜湖市镜湖区梅苑新村1号楼03、04号,电话：0553-5860926,
安徽元初药房芜湖花津北路分店,地址：安徽省芜湖市花津北路58号8-9门面房,电话：0553-3830992,
安徽元初药房芜湖新时代商业街分店,地址：安徽省芜湖市万豪白领广场1区3幢01号,电话：0553-4810869,
安徽元初药房芜湖天门山西路分店,地址：安徽省芜湖市天门山西路49号华芳综合楼,电话：0553-5777067,
安徽元初药房芜湖赤铸山西路一分店,地址：安徽省芜湖市镜湖区桃园新村101幢第1-2间门面,电话：0553-5860119,
安徽元初药房繁昌同康药房,地址：安徽省芜湖市繁昌县繁阳镇龙华路,电话：0553-7864265,
安徽元初药房芜湖利民东路分店,地址：安徽省芜湖市利民东路南苑小区2号楼,电话：0553-4118262,
安徽元初药房芜湖九华南路分店,地址：安徽省芜湖市九华山南路8号中江新村西1幢16号,电话：0553-4820001,
安徽元初药房安徽省芜湖市渡春路分店,地址：安徽省芜湖市渡春路27号19#办公楼,电话：0553-3873450,
安徽元初药房芜湖四褐山分店,地址：安徽省芜湖市四褐山小学门面房6-7号,电话：0553-5807897,
安徽元初药房芜湖银湖北路分店,地址：安徽省芜湖市银湖北路云龙阳光门面房10-6号,电话：0553-5850761,
安徽元初药房芜湖狮子山路分店,地址：安徽省芜湖市裕中新村1幢03号门面,电话：0553-3867082,
安徽元初药房繁昌大药房,地址：安徽省芜湖市繁昌县繁阳镇迎春路88号,电话：0553-7865457,
安徽元初药房芜湖银湖中路一分店,地址：安徽省芜湖市银湖中路25-4#、5#商铺,电话：0553-5017833,
安徽元初药房芜湖褐山路一分店,地址：安徽省芜湖市鸠江区褐山路118号,电话：0553-5801609,
安徽元初药房芜湖新芜路一分店,地址：安徽省芜湖市新芜路新利商厦8号楼,电话：0553-3832689,
安徽元初药房芜湖长江中路分店,地址：安徽省芜湖市长江路公交三号楼6-7号门面,电话：0553-5726506,
安徽元初药房芜湖渡春路二分店,地址：安徽省芜湖市渡春路16-3、4、5号门面,电话：0553-3868865,
安徽元初药房芜湖九华中路二分店,地址：安徽省芜湖市九华中路盛峰大厦262-6号,电话：0553-3857117,
安徽元初药房芜湖九华中路一分店,地址：安徽省芜湖市九华山路166号盛峰大厦,电话：0553-3881055,
海王星辰健康药房连锁有限公司JSU013淮北二店,地址：安徽省淮北市淮海中路66号（乐天玛特三楼）,电话：0561-63801759,
海王星辰健康药房连锁有限公司JSU014淮北三店,地址：安徽省淮北市相山路与南黎路交口大润发超市一楼,电话：0561-3239939,
海王星辰健康药房连锁有限公司淮北大润发店,地址：安徽省淮北市相山区淮海路南相山路西大润发超市内一层5号,电话：0561-3035531,
海王星辰健康药房连锁有限公司黄山大润发店,地址：安徽省黄山市屯溪区跃进路新黄山商业步行街大润发超市二楼,电话：0559-2166511,
海王星辰健康药房连锁有限公司蚌埠解放路店,地址：安徽省蚌埠市解放路与凤阳路交口西北角大润发超市二楼,电话：0552-3019665,
海王星辰健康药房连锁有限公司合肥翡翠路店,地址：安徽省合肥市经济技术开发区翡翠路与繁华大道交叉口西南角大润发超市二楼26号铺,电话：0551-3837855,
海王星辰健康药房连锁有限公司JSU012蚌埠胜利路店,地址：安徽省蚌埠市胜利路与中山街交口商之都地下一层永辉超市内D0198014号铺位,电话：0552-3726025,
海王星辰健康药房连锁有限公司合肥霍山路店,地址：安徽省合肥市合作化路与霍山路交口大润发超市一楼,电话：0551-5152870,
海王星辰健康药房连锁有限公司JSU015蚌埠文化广场店,地址：安徽省蚌埠市兴业街555号宝龙城市广场二号楼,电话：0552-2076610,
海王星辰健康药房连锁有限公司合肥濉溪路店,地址：安徽省合肥市濉溪路168号,电话：0551-5856885,
海王星辰健康药房连锁有限公司广德大润发店,地址：安徽省宣城广德县城万桂山路与纬二路西南角大润发超市一楼,电话：0563-6029295,
海王星辰健康药房连锁有限公司定远黎明路店,地址：安徽省滁州市定远县合蚌公路与黎明路交汇处东南角大润发超市一楼,电话：0550-2160965,
海王星辰健康药房连锁有限公司宿州东昌路店,地址：安徽省宿州市东昌路与顺河路交汇处西南角大润发超市二楼,电话：0557-3033786,
海王星辰健康药房连锁有限公司合肥潜山路店,地址：安徽省合肥市望江西路与潜山路交口乐购超市一楼（铺位号：S05+S06）,电话：0551-5576933,
海王星辰健康药房连锁有限公司蚌埠万达广场店,地址：安徽省蚌埠市东海大道4399号万达广场二层2006号商铺,电话：0552-3821283,
海王星辰健康药房连锁有限公司合肥阜阳路店,地址：安徽省合肥庐阳区阜阳北路与凤台路西北角大润发超市一楼,电话：0551-5544247,
安徽康健百年医药连锁有限公司小刘庄店,地址：安徽省亳州市文帝路364号,电话：0558-5988128,
安徽康健百年医药连锁有限公司三曹路店,地址：安徽省亳州市三曹路139号,电话：0558-5571226,
安徽康健百年医药连锁有限公司灵津店,地址：安徽省亳州市新华北路河南段1号楼1-2号门面,电话：0558-5988028,
安徽康健百年医药连锁有限公司建安路店,地址：安徽省亳州市建安路中段五区３号,电话：0558-5999099,
安徽康健百年医药连锁有限公司三角花园店,地址：安徽省亳州市文帝路296号,电话：0558-5987222,
安徽康健百年医药连锁有限公司十九里店,地址：安徽省亳州市交通街路北盖盛祥西侧,电话：0558-5988009,
安徽康健百年医药连锁有限公司信誉店,地址：安徽省亳州市利辛路176号,电话：0558-3035672,
安徽康健百年医药连锁有限公司薛家巷店,地址：安徽省亳州市薛家巷40号 ,电话：0558-5688666,
安徽康健百年医药连锁有限公司康惠店,地址：安徽省亳州市汤王大道帝景华庭东门,电话：0558-5791555,
安徽康健百年医药连锁有限公司城北店,地址：安徽省亳州市谯陵北路 1718号,电话：0558-5988078,
安徽康健百年医药连锁有限公司和平西路店,地址：安徽省亳州市和平西路119号,电话：0558-5552526,
安徽康健百年医药连锁有限公司魏园路店,地址：安徽省亳州市魏园路18号,电话：0558-5988003,
安徽康健百年医药连锁有限公司文帝西路店,地址：安徽省亳州市文帝西路468号,电话：0558-5518205,
安徽康健百年医药连锁有限公司和平路店,地址：安徽省亳州市和平路东段南侧,电话：0558-5552626,
安徽康健百年医药连锁有限公司新华北路店,地址：安徽省亳州市新华北路18号,电话：0558-5575222,
宣城四叶大药房有限责任公司陵西路店,地址：安徽省宣城市宣州区陵西路嘉名景苑5-6室,电话：0563-2021369,
合肥市普济药房,地址：安徽省合肥市庐阳区绿都商城负一层,电话：0551-62618863 ,
淮北市益群药店,地址：安徽淮北市杜集区中心村,电话：400-0008-146,
安徽国胜大药房观澜华庭店,地址：安徽省合肥市蜀山区紫云路与清潭路店交口华联超市负一楼 ,电话：0551-66188877 ,
安徽国胜大药房紫桐新村店,地址：安徽省合肥市庐阳区森景大道与紫薇街交叉口 ,电话：0551-63520296 ,
安徽国胜大药房珠光南苑店,地址：安徽省合肥市包河区皖江路与当涂支路交口向南100米 ,电话：0551-65371123 ,
安徽国胜大药房长江东路店,地址：安徽省合肥市蜀山区长江东路与铜陵路交口义乌商城东200米(环宇家居对面) ,电话：0551-64466705 ,
安徽国胜大药房元一名城店,地址：安徽省合肥市瑶海区嘉山路与临泉路交口北200米 ,电话：0551-64262120 ,
安徽国胜大药房习友路店,地址：安徽省合肥市蜀山区习友路九重锦园10幢 ,电话：0551-64498813 ,
安徽国胜大药房禹州天境店,地址：安徽省合肥市蜀山区石笋路与棋石路交口禹洲华侨城幼儿园1商04室 ,电话：0551-63820130 ,
安徽国胜大药房巢湖路店,地址：安徽省合肥市包河区巢湖南路与东二环路交口向东500米 ,电话：0551-63465626 ,
安徽国胜大药房颖河路店,地址：安徽省合肥市瑶海区当涂路与颖河路交口向西100米 ,电话：0551-64381055 ,
安徽国胜大药房望江西路店,地址：安徽省合肥市蜀山区望江西路与合作化路交口向西200米 ,电话：0551-65139779 ,
安徽国胜大药房史城店,地址：安徽省合肥市瑶海区临泉东路与通达路交叉口向西200米 ,电话：0551-67686676 ,
安徽国胜大药房十里庙店,地址：安徽省合肥市十里庙蜀山阳光菜市旁（众帮路联发小区022号） ,电话：0551-63745907 ,
安徽国胜大药房潜山路店,地址：安徽省合肥市潜山路与贵池路交口西200米 ,电话：0551-65635231 ,
安徽国胜大药房望湖南苑店,地址：安徽省合肥市包河区望湖北路望湖南苑13号101门面 ,电话：0551-63356639 ,
安徽国胜大药房瑶东社区店,地址：安徽省合肥市新站区龙门领路与颖河路交口 ,电话：0551-68991273 ,
安徽国胜大药房三里庵店,地址：安徽省合肥市蜀山区长江西路与淠河路交口北50米 ,电话：0551-65132109 ,
安徽国胜大药房藕塘路店,地址：安徽省合肥市庐阳区藕塘路与固镇路交口 ,电话：0551-65552395 ,
安徽国胜大药房临泉东路店,地址：安徽省合肥市临泉路与王岗路交叉口 ,电话：0551-64320267 ,
安徽国胜大药房学林雅苑店,地址：安徽省合肥市经开区翡翠大道与紫云路交口向东500米学林雅苑108号 ,电话：0551-63750715 ,
安徽国胜大药房田埠西路店,地址：安徽省合肥市蜀山区田埠西路中海原山2区113号 ,电话：18256027251 ,
安徽国胜大药房瑞锦苑店,地址：安徽省合肥市瑶海区新蚌埠路与凤台路交叉口鸭林冲站台 ,电话：0551-62815927 ,
安徽国胜大药房南七店,地址：安徽省合肥市庐阳区金寨路1110号南七北京华联北 ,电话：0551-63660709 ,
安徽国胜大药房临湖店,地址：安徽省合肥市经济开发区临湖小区23#109 ,电话：0551-63892677 ,
安徽国胜大药房许郢店,地址：安徽省合肥市包河区葛大店菜市场旁边 ,电话：0551-63421197 ,
安徽国胜大药房濉溪路店,地址：安徽省合肥市庐阳区濉溪路与颖上路交口向北200米南国花园门面 ,电话：0551-65546755 ,
安徽国胜大药房融侨天骏店,地址：安徽省合肥市蜀山区习友路与铭传路交叉口 ,电话：0551-68992465 ,
安徽国胜大药房明珠路店,地址：安徽省合肥市高新区香樟大道与明珠路交口向东200米 ,电话：0551-65362118 ,
安徽国胜大药房连锁总店,地址：安徽省合肥市望江路与合巢路交叉口西南角 ,电话：0551-63475202 ,
安徽国胜大药房兴园小区店,地址：安徽省合肥市高新区科学大道与海棠路交口向北500米 ,电话：0551-65844686 ,
安徽国胜大药房水阳江路店,地址：安徽省合肥市包河区水阳江路与徽州大道交叉口向东50米 ,电话：0551-63444028 ,
安徽国胜大药房荣城花园店,地址：安徽省合肥市庐阳区荣城花园南苑16号（煤气制气厂旁） ,电话：0551-65196628 ,
安徽国胜大药房米兰花园店,地址：安徽省合肥市经开区紫云路与桃源路交口米兰阳光小区门面 ,电话：0551-68996772 ,
安徽国胜大药房琅琊山路店,地址：安徽省合肥市瑶海区长江东路与琅琊山路交口北50米 ,电话：0551-64212397 ,
安徽国胜大药房新华学府店,地址：安徽省合肥市蜀山区石台路新华学府（国大药房隔壁） ,电话：0551-63353083 ,
安徽国胜大药房蜀新苑店,地址：安徽省合肥市蜀山区井岗路蜀新苑东区25幢103 ,电话：0551-62879605 ,
安徽国胜大药房荣城北苑店,地址：安徽省合肥市庐阳区丽水路与时雨路交口东200米 ,电话：0551-63845063 ,
安徽国胜大药房梦园小区店,地址：安徽省合肥市高新区新天柱路与天达路交口 ,电话：0551-65325152 ,
安徽国胜大药房金寨路店,地址：安徽省合肥市蜀山区金寨路与绩溪路交叉口北50米 ,电话：0551-63657011 ,
安徽国胜大药房新安江路店,地址：安徽省合肥市瑶海区新安江路与郎溪路交口向西200米 ,电话：0551-62770217 ,
安徽国胜大药房蜀南庭苑店,地址：安徽省合肥市高新区望江西路619号蜀南庭苑商业街 ,电话：0551-65303403 ,
安徽国胜大药房泉北公寓店,地址：安徽省合肥市新站区临泉路与新蚌埠路交口向东200米 ,电话：0551-64252215 ,
安徽国胜大药房美和路店,地址：安徽省合肥市包河区望湖中路与美圣路交口向南200米 ,电话：0551-63367053 ,
安徽国胜大药房史河路店,地址：安徽省合肥市蜀山区史河路与金牛路交口向西100米 ,电话：0551-65635481 ,
安徽国胜大药房青阳北路店,地址：安徽省合肥市蜀山区淠河路与青阳路交叉口向东50米 ,电话：0551-65181787 ,
安徽国胜大药房绿怡居店,地址：安徽省合肥市蜀山区东至南路与休宁路交叉口往北 ,电话：0551-63514626 ,
安徽国胜大药房勤居苑店,地址：安徽省合肥市瑶海区文忠路与物流大道交叉口东南角 ,电话：0551-64386685 ,
安徽国胜大药房龙岗店,地址：安徽省合肥市新安江支路马钢菜市旁 ,电话：0551-67680613 ,
安徽国胜大药房龙川路店,地址：安徽省合肥市龙川路与葛大路交叉口菜市场旁 ,电话：0551-62670633 ,
安徽国胜大药房绩溪路店,地址：安徽省合肥市蜀山区绩溪路金寨路交口向西500米（安医脑专家门诊部斜对面） ,电话：0551-63667130 ,
安徽国胜大药房黄山路店,地址：安徽省合肥市黄山路与徽州大道交叉口向西100米 ,电话：0551-63647018 ,
安徽国胜大药房海州景秀世家店,地址：安徽省合肥市瑶海区临泉东路与广德路交口永辉超市对面 ,电话：0551-67683661 ,
安徽国胜大药房环湖东路店,地址：安徽省合肥市高新区望江西路与西二环交口和一花园17幢114室 ,电话：0551-65884200 ,
安徽国胜大药房金鸟花园店,地址：安徽省合肥市庐阳区阜阳北路与临泉路交口向西100米 ,电话：0551-65654392 ,
安徽国胜大药房淮北路店,地址：安徽省合肥市庐阳区淮北路西侧天然轩114.115.214.215号门面 ,电话：0551-62884563 ,
安徽国胜大药房国轩新苑店,地址：安徽省合肥市定远路87号国轩新苑4栋1单元101室 ,电话：0551-64239216 ,
安徽国胜大药房华府骏苑店,地址：安徽省合肥市望江西路与潜山路交口华府骏苑商业街（华府骏苑菜场北侧） ,电话：0551-65562203 ,
安徽国胜大药房金都华庭店,地址：安徽省合肥市庐阳区砀山路与蒙城北路交口,电话：0551-65507956 ,
安徽国胜大药房琥珀名城店,地址：安徽省合肥市瑶海区临泉东路与吴敬梓路交口南500米 ,电话：0551-65415120 ,
安徽国胜大药房和平路店,地址：安徽省合肥市瑶海区铜陵路与和平路交口西50米（市二院对面） ,电话：0551-63816050 ,
安徽国胜大药房公园道1号店,地址：安徽省合肥市蜀山区长江西路与十里店路交汇处向北500米 ,电话：0551-65327260 ,
安徽国胜大药房红皖路店,地址：安徽省合肥市蜀山区湖光路与红皖路交口向西100米 ,电话：0551-65743528 ,
安徽国胜大药房恒大城店,地址：安徽省合肥市海区临泉东路与王岗路交口恒大城28.29栋130 ,电话：0551-63365175 ,
安徽国胜大药房合瓦路店,地址：安徽省合肥市庐阳区阜阳路与合瓦路交口西50米 ,电话：0551-64273306 ,
安徽国胜大药房葛淝路店,地址：安徽省合肥市包河区南淝河路与纬一路交口向东300米 ,电话：0551-64845728 ,
安徽国胜大药房港澳花园店,地址：安徽省合肥市经开区芙蓉路820号港澳花园莲花苑1幢104室 ,电话：0551-63897106 ,
安徽国胜大药房福星嘉苑店,地址：安徽省合肥市庐阳区亳州路299号福星嘉苑1幢6室 ,电话：0551-65634463,
安徽国胜大药房芙蓉苑店,地址：安徽省合肥市庐阳区临泉路与蒙城路交叉口向西200米 ,电话：0551-65691102 ,
安徽国胜大药房蜀峰路店,地址：安徽省合肥市蜀山区蜀峰路与稻香路交口连家超市,电话：0551-65260508 ,
安徽国胜大药房大溪地店,地址：安徽省合肥市黄山路与岳西路交口永辉超市内负一层D0278021号商铺 ,电话：0551-63365272 ,
安徽国胜大药房滨湖新区三店,地址：安徽省合肥市滨湖新区广西路振徽苑23幢106号门面 ,电话：0551-62914914 ,
安徽国胜大药房大铺头店,地址：安徽省合肥市蜀山区荷花路与科学岛路交叉口处 ,电话：0551-68998725 ,
安徽国胜大药房翠庭园店,地址：安徽省合肥市政务区茂荫路与龙图路交口国建香榭水都25栋105室门面 ,电话：0551-63753427 ,
安徽国胜大药房柏雅苑店,地址：安徽省合肥市高新区明珠大道与樱花路交口向东100米 ,电话：0551-65361908 ,
安徽国胜大药房芙蓉社区店,地址：安徽省合肥市经开区翠微路与石鼓路交口向西200米 ,电话：0551-63822652 ,
安徽国胜大药房滨湖新区七店,地址：安徽省合肥市滨湖新区万国农贸菜场旁 ,电话：0551-63351135 ,
安徽国胜大药房滨湖新区六店,地址：安徽省合肥市滨湖新区中山路与惠园西路交口 ,电话：0551-63365190 ,
安徽国胜大药房肥东路店,地址：安徽省合肥市瑶海区长江东大街与肥东路交口向北100米 ,电话：0551-64465971 ,
安徽国胜大药房滨湖新区八店,地址：安徽省合肥市包河区滨湖世纪城振徽苑24幢121室 ,电话：0551-63351350 ,
安徽国胜大药房东湖山庄店,地址：安徽省合肥市瑶海区北二环与武里山路交口向北500米 ,电话：0551-64289225 ,
安徽国胜大药房滨湖新区五店,地址：安徽省合肥市滨湖万泉河路康园农贸市场东侧（62路公交车底站） ,电话：0551-62930873 ,
安徽国胜大药房滨湖前城店,地址：安徽省合肥市经开区清潭路与紫蓬路交口南艳碧湖花园A17幢108室 ,电话：0551-68791806 ,
安徽国胜大药房滨湖新区二店,地址：安徽省合肥市滨湖新区福州路徽昌苑26幢104号门面 ,电话：0551-64322069 ,
安徽国胜大药房滨湖新区一店,地址：安徽省合肥市滨湖新区长沙路观湖苑110号门面 ,电话：0551-65370860 ,
安徽国胜大药房安粮双景店,地址：安徽省合肥市瑶海区龙门岭路与颖河路交叉口向东50米处 ,电话：0551-62878091 ,
安徽国胜大药房安居苑店,地址：安徽省合肥市蜀山区陈村路安居苑西村门面 ,电话：0551-65570739 ,
黄山市新安医药零售连锁有限公司德仁堂药店,地址：安徽省黄山市屯溪区延安路50-1号（二马路路口，实验小学对面） ,电话：0559-2511085 ,
黄山市新安医药零售连锁有限公司黎民大药房,地址：安徽省黄山市屯溪区戴震路柏景雅居A5号 ,电话：0559-2581088 ,
黄山市新安医药零售连锁有限公司百草堂大药房,地址：安徽省黄山市屯溪区长干东路117号 ,电话：0559-2546778 ,
黄山市新安医药零售连锁有限公司健民大药房,地址：安徽省黄山市屯溪区长干西路28号 ,电话：0559-2524294 ,
黄山市新安医药零售连锁有限公司康源大药房,地址：安徽省黄山市屯溪区栗园路15号 ,电话：0559-2542228 ,
黄山市新安医药零售连锁有限公司丰华大药房,地址：安徽省黄山市屯溪区长干西路（丰华菜市场旁） ,电话：0559-2531069 ,
黄山市新安医药零售连锁有限公司平安大药房,地址：安徽省黄山市屯溪区前园南路9号 ,电话：0559-2310787 ,
黄山市新安医药零售连锁有限公司广源大药房,地址：安徽省黄山市屯溪区前园南路12号 ,电话：0559-2542278 ,
