重庆全兴药房金龙路分店,地址：重庆市渝北区龙溪镇金龙路242号,电话：023-67607175,
桐君阁大药房凤翔路店,地址：重庆市开县凤翔路240号,电话：023-52538166,
桐君阁大药房安陶路店,地址：重庆市荣昌县安陶路84号,电话：023-46792681,
桐君阁大药房万家井街店,地址：重庆市开县万家井街,电话：023-52538166,
桐君阁大药房城黔路店,地址：重庆市开县城黔路,电话：023-52538166,
桐君阁大药房后西二街店,地址：重庆市荣昌县后西二街,电话：023-46792681,
桐君阁大药房双元大道店,地址：重庆市北碚区双元大道1号附25号,电话：023-60306691,
桐君阁大药房拔山镇店,地址：重庆市大渡口区拔山镇农产品综合批零中心附近,电话：023-86663368,
桐君阁大药房莲花路店,地址：重庆市荣昌县莲花路,电话：023-46792681,
桐君阁大药房钢花路店,地址：重庆市大渡口区钢花路2号附4号,电话：023-61564780,
桐君阁大药房圣兴路店,地址：重庆市北碚区圣兴路,电话：023-63226339,
桐君阁大药房商贸街店,地址：重庆市开县商贸街30号,电话：023-52538166,
桐君阁大药房北碚解放路店,地址：重庆市北碚区解放路175附6号,电话：023-86038277,
桐君阁大药房公园街店,地址：重庆市荣昌县公园街,电话：023-46735671,
桐君阁大药房后西街店,地址：重庆市荣昌县后西街147号,电话：023-46735671,
桐君阁大药房蔡家横街店,地址：重庆市北碚区蔡家横街40号,电话：023-68220682,
桐君阁大药房金贸路店,地址：重庆市开县金贸路,电话：023-52538166,
桐君阁大药房桂花园街店,地址：重庆市荣昌县桂花园街,电话：023-46735671,
桐君阁大药房松表路店,地址：重庆市大渡口区松表路1029号附近,电话：023-68838241,
桐君阁大药房中科路店,地址：重庆市荣昌县中科路,电话：023-46792681,
桐君阁大药房全兴南街店,地址：重庆市北碚区全兴南街223号,电话：023-68226120,
桐君阁大药房卢作孚路店,地址：重庆市北碚区卢作孚路174号,电话：023-86086197,
桐君阁大药房兴龙路龙泉村店,地址：重庆市大渡口区兴龙路龙泉村41-14号,电话：023-63749818,
桐君阁大药房九龙镇店,地址：重庆市大渡口区九龙镇马王社区南侧共建二支路路口处,电话：023-63749818,
桐君阁大药房丝乡路店,地址：重庆市荣昌县丝乡路,电话：023-46792681,
桐君阁大药房千禧路店,地址：重庆市荣昌县千禧路87号,电话：023-46735671,
桐君阁大药房永荣路店,地址：重庆市荣昌县永荣路19号,电话：023-46792681,
桐君阁大药房清流街店,地址：重庆市荣昌县清流街,电话：023-46792681,
桐君阁大药房荣滨南路西段店,地址：重庆市荣昌县荣滨南路西段41号,电话：023-46735671,
桐君阁大药房白象街店,地址：重庆市荣昌县白象街90号,电话：023-46792681,
桐君阁大药房永昌街店,地址：重庆市铜梁县永昌街,电话：无,
桐君阁大药房大兴街店,地址：重庆市荣昌县大兴街,电话：023-46735671,
桐君阁大药房茄子溪正街店,地址：重庆市大渡口区茄子溪正街227号,电话：023-61564780,
桐君阁大药房万年街店,地址：重庆市荣昌县万年街,电话：023-46792681,
桐君阁大药房塔山西街店,地址：重庆市铜梁县塔山西街66号,电话：无,
桐君阁大药房成渝东路店,地址：重庆市荣昌县成渝东路115号,电话：023-46735671,
桐君阁大药房青年北街店,地址：重庆市荣昌县青年北街87号,电话：023-46792681,
桐君阁大药房马王六村店,地址：重庆市大渡口区马王六村8号附近,电话：023-63749818,
桐君阁大药房黄桷坪正街店,地址：重庆市九龙坡区黄桷坪正街桐君阁大药房2楼,电话：023-65732820,
桐君阁大药房光明路店,地址：重庆市荣昌县光明路,电话：023-46735671,
桐君阁大药房杨家坪步行街店,地址：重庆市九龙坡区杨家坪步行街,电话：023-89080856,
桐君阁大药房凉班路店,地址：重庆市铜梁县凉班路,电话：无,
桐君阁大药房白龙大道店,地址：重庆市铜梁县白龙大道166号,电话：无,
桐君阁大药房宝城路店,地址：重庆市荣昌县宝城路,电话：023-46792681,
桐君阁大药房金羊街店,地址：重庆市铜梁县金羊街,电话：无,
桐君阁大药房迎龙路店,地址：重庆市铜梁县迎龙路15号,电话：无,
桐君阁大药房电视塔村店,地址：重庆市九龙坡区电视塔村2号附2号,电话：023-86182826,
桐君阁大药房医学院路店,地址：重庆市九龙坡区医学院路,电话：023-65816233,
桐君阁大药房茶亭北路店,地址：重庆市九龙坡区茶亭北路133号对面,电话：023-68835098,
桐君阁大药房万寿街店,地址：重庆市铜梁县万寿街127号,电话：无,
桐君阁大药房盘合街店,地址：重庆市荣昌县盘合街72号,电话：023-46735671,
桐君阁大药房兴龙路店,地址：重庆市大渡口区兴龙路,电话：023-86328166,
桐君阁大药房虎天街店,地址：重庆市铜梁县虎天街5,电话：无,
桐君阁大药房铜梁解放路店,地址：重庆市铜梁县解放路35号,电话：无,
桐君阁大药房九龙明珠店,地址：重庆市九龙坡区西郊路九龙明珠附近,电话：023-68620194,
桐君阁大药房昌元镇东大街店,地址：重庆市荣昌县昌元镇东大街278号,电话：023-46792681,
桐君阁大药房跃进村店,地址：重庆市大渡口区跃进村,电话：023-86663368,
桐君阁大药房枫丹路店,地址：重庆市九龙坡区枫丹路,电话：023-86517380,
桐君阁大药房铜梁县龙都路店,地址：重庆市铜梁县龙都路285-441号,电话：无,
桐君阁大药房仁义镇丝乡路店,地址：重庆市荣昌县仁义镇丝乡路144号,电话：023-68402393,
桐君阁大药房建设路店,地址：重庆市铜梁县建设路2号,电话：无,
桐君阁大药房新店街店,地址：重庆市铜梁县新店街34号,电话：无,
桐君阁大药房海棠路店,地址：重庆市铜梁县海棠路22,电话：无,
桐君阁大药房共和新村店,地址：重庆市九龙坡区共和新村11号附1号往东200米,电话：023-68445020,
桐君阁大药房铜梁营盘路店,地址：重庆市铜梁县营盘路130号,电话：无,
桐君阁大药房白龙二支路店,地址：重庆市铜梁县白龙二支路,电话：无,
桐君阁大药房红狮大道店,地址：重庆市九龙坡区红狮大道8号巴国城内,电话：023-86220298,
桐君阁大药房经纬大道店,地址：重庆市九龙坡区经纬大道,电话：023-86220298,
桐君阁大药房鱼嘴镇店,地址：重庆市江北区 鱼嘴镇鱼嘴东路与鱼嘴北路西行20米,电话：023-86162167,
桐君阁大药房赤英街店,地址：重庆市大足区赤英街,电话：023-43524163,
桐君阁大药房铜梁县中南路店,地址：重庆市铜梁县中南路546号,电话：无,
桐君阁大药房渝州支路店,地址：重庆市九龙坡区渝州支路,电话：023-86215277,
桐君阁大药房庆新街店,地址：重庆市铜梁县庆新街18号,电话：无,
桐君阁大药房花市街店,地址：重庆市大足区花市街87号,电话：023-43524163,
桐君阁大药房袁家岗车站旁店,地址：重庆市九龙坡区袁家岗车站旁,电话：023-65901136,
桐君阁大药房华玉路店,地址：重庆市九龙坡区华玉路半山二村,电话：023-68493332,
桐君阁大药房车城大道店,地址：重庆市大足区车城大道,电话：023-49864316,
桐君阁大药房金贸街店,地址：重庆市九龙坡区金贸街,电话：023-68617679,
桐君阁大药房石香街店,地址：重庆市大足区石香街,电话：023-49864316,
桐君阁大药房双路街店,地址：重庆市大足区双路街2号-附18号,电话：023-43524163,
桐君阁大药房白盛路店,地址：重庆市九龙坡区白市驿白盛路3号,电话：023-68535156,
桐君阁大药房双北中路店,地址：重庆市大足区双北中路90号附33号,电话：023-49864316,
桐君阁大药房龙岗镇樘香街店,地址：重庆市大足区大足县龙岗镇樘香街15-17号,电话：023-49864316,
桐君阁大药房龙中街店,地址：重庆市大足区龙中街,电话：023-49864316,
桐君阁大药房南方香榭里小区店,地址：重庆市九龙坡区南方香榭里小区36号附3号,电话：023-62782092,
桐君阁大药房上升街店,地址：重庆市綦江区上升街3号,电话：023-48015978,
桐君阁大药房龙北路店,地址：重庆市大足区龙北路,电话：023-43524163,
桐君阁大药房华龙苑店,地址：重庆市九龙坡区华龙苑小区北门附近,电话：023-65826629,
桐君阁大药房黄杨路店,地址：重庆市九龙坡区黄杨路71号附4-2号,电话：023-68714464,
桐君阁大药房龙水镇金都广场店,地址：重庆市大足区龙水镇金都广场F1栋1楼,电话：023-49864316,
桐君阁大药房江西庙巷店,地址：重庆市大足区江西庙巷,电话：023-49864316,
桐君阁大药房沙溪路店,地址：重庆市綦江区沙溪路22号,电话：023-48015978,
桐君阁大药房龙角路店,地址：重庆市綦江区龙角路16号,电话：023-48015978,
桐君阁大药房杨家坪水井湾店,地址：重庆市九龙坡区杨家坪兴胜路水井湾3-3工业管理学院对面,电话：023-68821858,
桐君阁大药房朝阳路店,地址：重庆市九龙坡区朝阳路106号,电话：023-86517380,
桐君阁大药房陶怡路店,地址：重庆市九龙坡区陶怡路45,电话：023-68677723,
桐君阁大药房南门路店,地址：重庆市綦江区南门路,电话：023-48015978,
桐君阁大药房交通路店,地址：重庆市綦江区交通路90号,电话：023-48015978,
桐君阁大药房绿韵康城店,地址：重庆市九龙坡区绿韵康城18幢附1号,电话：023-68821858,
桐君阁大药房渝城街店,地址：重庆市九龙坡区渝城街,电话：023-86220298,
桐君阁大药房奥体路店,地址：重庆市九龙坡区奥体路4号附3号,电话：023-86161338,
桐君阁大药房珠溪镇正龙街店,地址：重庆市大足区珠溪镇正龙街255号,电话：023-49864316,
桐君阁大药房田坝新村店,地址：重庆市九龙坡区中梁山田坝新村39号2栋1、2号门面,电话：023-88669925,
桐君阁大药房南华街店,地址：重庆市九龙坡区南华街603号,电话：023-86173138,
桐君阁大药房谷西街店,地址：重庆市九龙坡区谷西街,电话：023-65826248,
桐君阁大药房九龙大道店,地址：重庆市綦江区九龙大道23号,电话：023-48015978,
桐君阁大药房万金路店,地址：重庆市綦江区万金路,电话：023-48015978,
桐君阁大药房南桐东路店,地址：重庆市綦江区南桐东路,电话：023-48015978,
桐君阁大药房火炬大道店,地址：重庆市九龙坡区火炬大道13号,电话：023-68655723,
桐君阁大药房怡心路店,地址：重庆市九龙坡区怡心路,电话：023-65901136,
桐君阁大药房北环路店,地址：重庆市大足区北环路,电话：023-43524163,
桐君阁大药房华龙大道店,地址：重庆市九龙坡区华龙大道北段319号4幢附13号,电话：023-68644710,
桐君阁大药房龙吟路店,地址：重庆市九龙坡区龙吟路,电话：023-65258922,
桐君阁大药房盘龙路店,地址：重庆市九龙坡区盘龙路,电话：023-65267190,
桐君阁大药房万东北路店,地址：重庆市綦江区万东北路43号,电话：023-48015978,
桐君阁大药房西城绿锦榕尚居店,地址：重庆市九龙坡区西城绿锦榕尚居22幢附1号1-5号,电话：023-86220021,
桐君阁大药房万盛区店,地址：重庆市綦江区万盛区,电话：023-48015978,
桐君阁大药房翼龙路店,地址：重庆市九龙坡区翼龙路1号,电话：023-86902548,
桐君阁大药房篆南街店,地址：重庆市綦江区篆南街14号,电话：023-48015978,
桐君阁大药房中心街店,地址：重庆市九龙坡区中心街2号,电话：023-89080856,
桐君阁大药房白欣路店,地址：重庆市九龙坡区白欣路,电话：023-86220021,
桐君阁大药房铜罐驿工商所附近店,地址：重庆市九龙坡区铜罐驿工商所附近,电话：023-86215056,
桐君阁大药房石坪桥店,地址：重庆市九龙坡区石坪桥(高架桥后),电话：023-65732820,
桐君阁大药房万新路店,地址：重庆市綦江区万新路83号,电话：023-48015978,
桐君阁大药房滩子口店,地址：重庆市九龙坡区滩子口108号,电话：023-65262442,
桐君阁大药房石杨路二店,地址：重庆市九龙坡区石杨路84号,电话：023-65816233,
桐君阁大药房石新路店,地址：重庆市九龙坡区石新路29号,电话：023-86182879,
桐君阁大药房万东南路店,地址：重庆市綦江区万东南路,电话：023-48015978,
桐君阁大药房南涪路店,地址：重庆市南川区南涪路,电话：023-71426520,
桐君阁大药房渝中花园店,地址：重庆市九龙坡区渝中花园5幢23室,电话：023-86182826,
桐君阁大药房新平街店,地址：重庆市南川区新平街,电话：023-49876237,
桐君阁大药房华轩路店,地址：重庆市九龙坡区华轩路24号,电话：023-68835098,
桐君阁大药房金光大道店,地址：重庆市南川区金光大道,电话：023-71426520,
桐君阁大药房聚龙街店,地址：重庆市南川区聚龙街54号,电话：023-71426520,
桐君阁大药房江石路店,地址：重庆市南川区江石路39号,电话：023-71426520,
桐君阁大药房光电路店,地址：重庆市南岸区光电路龙湖观山水26-18号,电话：023-62952015,
桐君阁大药房谢家湾正街店,地址：重庆市九龙坡区谢家湾正街3号4栋附10号,电话：023-68620194,
桐君阁大药房桂花新村店,地址：重庆市南岸区桂花新村9附107号,电话：023-88513053,
桐君阁大药房盛丰源步行街店,地址：重庆市南川区盛丰源步行街,电话：023-49876237,
桐君阁大药房国际新城店,地址：重庆市南岸区阳光100国际新城内,电话：023-88513053,
桐君阁大药房石杨路一店,地址：重庆市九龙坡区石杨路2号,电话：023-68402393,
桐君阁大药房河滨北路店,地址：重庆市南川区河滨北路4号,电话：023-49876237,
桐君阁大药房步行街店,地址：重庆市南岸区南坪步行街,电话：023-62891330,
桐君阁大药房南家园店,地址：重庆市南岸区中国重庆市南岸区城南家园,电话：023-62917673,
桐君阁大药房河街店,地址：重庆市南岸区河街45附1号,电话：023-88510543,
桐君阁大药房南陵路店,地址：重庆市南川区南陵路,电话：023-49876237,
桐君阁大药房上南街店,地址：重庆市南川区上南街,电话：023-71426520,
桐君阁大药房崇文路店,地址：重庆市南岸区崇文路111号附10号,电话：023-62917673,
桐君阁大药房双福大道店,地址：重庆市江津区双福大道,电话：023-61080372,
桐君阁大药房金港尚城店,地址：重庆市南岸区腾龙大道金港尚城旁,电话：023-62617393,
桐君阁大药房歇虎路总部城店,地址：重庆市九龙坡区歇虎路总部城,电话：023-68445020,
桐君阁大药房金山路店,地址：重庆市南岸区金山路,电话：023-62791981,
桐君阁大药房建设中路店,地址：重庆市武隆县建设中路,电话：023-47601550,
桐君阁大药房香江大道店,地址：重庆市江津区香江大道,电话：023-47601550,
桐君阁大药房龙华路店,地址：重庆市南岸区龙华路87号,电话：023-62925674,
桐君阁大药房鱼泉街店,地址：重庆市南川区鱼泉街,电话：023-71426520,
桐君阁大药房东环路店,地址：重庆市南川区东环路195号,电话：023-49876237,
桐君阁大药房银河路店,地址：重庆市南岸区银河路14号附14号,电话：023-62952015,
桐君阁大药房禅瑞大道店,地址：重庆市江津区禅瑞大道商业步行街,电话：023-47603508,
桐君阁大药房富力现代广场店,地址：重庆市南岸区富力现代广场东门旁裙楼,电话：023-62787180,
桐君阁大药房西郊路店,地址：重庆市九龙坡区西郊路17号附5号,电话：023-86162167,
桐君阁大药房柏林路店,地址：重庆市南岸区南岸区柏林路6号附14号,电话：023-62912409,
桐君阁大药房近郊江州大道店,地址：重庆市江津区近郊江州大道,电话：023-47691427,
桐君阁大药房李家坝街店,地址：重庆市江津区李家坝街,电话：023-47691427,
桐君阁大药房同景国际店,地址：重庆市南岸区同景国际1-14号,电话：023-62458290,
桐君阁大药房银杉路店,地址：重庆市南川区银杉路,电话：023-49876237,
桐君阁大药房龙凤东路店,地址：重庆市南川区龙凤东路,电话：023-71426520,
桐君阁大药房学府大道店,地址：重庆市南岸区学府大道16号附24号,电话：023-62891330,
桐君阁大药房米兰路店,地址：重庆市南岸区茶园新区米兰路,电话：023-62834719,
桐君阁大药房四公里店,地址：重庆市南岸区第五人民医院急诊部斜对面,电话：023-62501764,
桐君阁大药房荣华路店,地址：重庆市南川区荣华路,电话：023-49876237,
桐君阁大药房珊瑚水岸店,地址：重庆市南岸区珊瑚水岸附近,电话：023-62791981,
桐君阁大药房西江街店,地址：重庆市江津区西江街,电话：023-61080372,
桐君阁大药房文峰正街店,地址：重庆市南岸区文峰正街88号附9号,电话：023-86319134,
桐君阁大药房腾龙大道店,地址：重庆市南岸区弹子石腾龙大道新四村国际社区附近,电话：023-62912409,
桐君阁大药房回龙路店,地址：重庆市南岸区回龙路86号附85号,电话：023-62316452,
桐君阁大药房渝合公路店,地址：重庆市江津区渝合公路,电话：023-47603508,
桐君阁大药房光华路店,地址：重庆市江津区光华路,电话：023-47601550,
桐君阁大药房辅仁路店,地址： 重庆市南岸区辅仁路8号附68号,电话：023-62386902,
桐君阁大药房万寿路店,地址：重庆市南岸区万寿路1号,电话：023-86630040,
桐君阁大药房湖滨路店,地址：重庆市南岸区湖滨路4号重庆市大码头老火锅龙港店附近,电话：023-86396887,
桐君阁大药房永石路店,地址：重庆市江津区永石路,电话：023-47691427,
桐君阁大药房辅仁大道店,地址：重庆市南岸区辅仁大道海棠晓月农贸市场对面,电话：023-62481891,
桐君桐君阁大药房南坪东路店,地址：重庆市南岸区南坪东路33号3楼,电话：023-86370699,
桐君阁大药房海棠溪新街店,地址：重庆市南岸区海棠溪新街59号,电话：023-86351533,
桐君阁大药房南山镇南山店,地址：重庆市南岸区南山镇南山72号,电话：023-89870726,
桐君阁大药房科技学院虎溪校区店,地址：重庆市沙坪坝区科技学院虎溪校区内,电话：023-65160190,
桐君阁大药房宏声路店,地址：重庆市南岸区宏声路18-34号,电话：023-86117709,
桐君阁大药房风临路附近店,地址：重庆市南岸区南坪风临路附近,电话：023-86373100,
桐君阁大药房北新街店,地址：重庆市江津区北新街,电话：023-47603508,
桐君阁大药房六店小区店,地址：重庆市沙坪坝区六店小区5幢附4号,电话：023-86254100,
桐君阁大药房青龙路店,地址：重庆市南岸区青龙路109号,电话：023-62903511,
桐君阁大药房天星桥晒光坪店,地址：重庆市沙坪坝区天星桥晒光坪88-6号,电话：023-86254100,
桐君阁大药房文菁路店,地址：重庆市江津区文菁路,电话：023-61080372,
桐君阁大药房阳鹊街店,地址：重庆市江津区阳鹊街,电话：023-47691427,
桐君阁大药房南坪正街店,地址：重庆市南岸区南坪正街45号,电话：023-86054661,
桐君阁大药房金杜洋光店,地址：重庆市沙坪坝区双碑南溪经济园金杜洋光旁边,电话：023-86250508,
桐君阁大药房通江街店,地址：重庆市江津区通江街,电话：023-61080372,
桐君阁大药房江津区老街店,地址：重庆市江津区江津区老街,电话：023-47601550,
桐君阁大药房天马路店,地址：重庆市沙坪坝区天星桥天马路,电话：023-65160190,
桐君阁大药房南溪经济园店,地址： 重庆市沙坪坝区南溪经济园10附近,电话：023-86237066,
桐君阁大药房朝天门店,地址：重庆市南岸区朝天门长江大桥,电话：023-86335991,
桐君阁大药房青江路店,地址：重庆市江津区青江路,电话：023-47601550,
桐君阁大药房汉渝路店,地址：重庆市沙坪坝区汉渝路一巷2号,电话：023-65019814,
桐君阁大药房龙华街店,地址：重庆市江津区龙华街,电话：023-47601550,
桐君阁大药房桃源路店,地址：重庆市南岸区桃源路89号,电话：023-86054660,
桐君阁大药房明瑜南桥丽景店,地址：重庆市沙坪坝区盘溪二支路10号明瑜南桥丽景附近,电话：023-86250508,
桐君阁大药房丰三线店,地址：重庆市江津区丰三线,电话：023-47603508,
桐君阁大药房德感正街店,地址：重庆市江津区德感正街168号,电话：023-47603508,
桐君阁大药房回龙湾南湖路店,地址：重庆市南岸区南湖路34附17号,电话：023-86386869,
桐君阁大药房双碑街店,地址：重庆市沙坪坝区双碑街34附1号,电话：023-86237066,
桐君阁大药房凤鸣山店,地址：重庆市沙坪坝区凤鸣山40号附近,电话：023-65745515,
桐君阁大药房长城路二店,地址：重庆市江津区长城路3号楼103号,电话：023-47691427,
桐君阁大药房南坪惠工路店,地址：重庆市南岸南坪惠工路219-13号,电话：023-86383010,
桐君阁大药房下后街店,地址：重庆市江津区下后街28号,电话：023-47691427,
桐君阁大药房长城路一店,地址：重庆市江津区长城路316号,电话：023-47603508,
桐君阁大药房双碑中心湾店,地址：重庆市沙坪坝区双碑中心湾118号附近,电话：023-86257066,
桐君阁大药房八字桥街店,地址：重庆市江津区八字桥街,电话：023-61080372,
桐君阁大药房南亚宾馆店,地址：重庆市沙坪坝区南亚宾馆东侧马路对面,电话：023-86288303,
桐君阁大药房龙腾丰文店,地址：重庆市沙坪坝区中国重庆市沙坪坝区龙腾丰文B区,电话：023-65019814,
桐君阁大药房二塘中学店,地址：重庆市沙坪坝区二塘中学北100米,电话：023-86268380,
桐君阁大药房山水丽都店,地址：重庆市沙坪坝区山水丽都3号附17号,电话：023-65318085,
桐君阁大药房歌乐山街店,地址：重庆市沙坪坝区歌乐山街100号,电话：023-86268380,
桐君阁大药房和睦街店,地址：重庆市沙坪坝区和睦街特星连锁土主店附近,电话：023-65318085,
桐君阁大药房顺河街店,地址：重庆市江津区顺河街,电话：023-47601550,
桐君阁大药房广场街店,地址：重庆市江津区广场街35号,电话：023-61080372,
桐君阁大药房陈家桥店,地址：重庆市沙坪坝区陈家桥中心医院附近,电话：023-86288303,
桐君阁大药房凤凰电镀厂店,地址：重庆市沙坪坝区凤凰电镀厂附近,电话：023-65160190,
桐君阁大药房歌乐山北街店,地址：重庆市沙坪坝区歌乐山北街3,电话：023-65028250,
桐君阁大药房振兴街店,地址：重庆市江津区振兴街,电话：023-47691427,
桐君阁大药房西永路店,地址：重庆市沙坪坝区西永路201号,电话：023-86281575,
桐君阁大药房山峰路店,地址：重庆市沙坪坝区山峰路44号,电话：023-65227762,
桐君阁大药房沙坪坝站西路店,地址：重庆市沙坪坝区沙坪坝站西路88号附52号,电话：023-65007868,
桐君阁大药房吴朱路店,地址：重庆市江津区吴朱路,电话：无,
桐君阁大药房清溪路店,地址：重庆市沙坪坝区清溪路,电话：023-65308990,
桐君阁大药房边城路店,地址：重庆市秀山边城路,电话：无,
桐君阁大药房西和路店,地址：重庆市江津区西和路,电话：023-61080372,
桐君阁大药房西园二路店,地址：重庆市沙坪坝区西园二路9号附83号,电话：023-65832019,
桐君阁大药房长洪公路店,地址：重庆市长寿区长洪公路,电话：023-40464245,
桐君阁大药房杨家沟店,地址：重庆市沙坪坝区杨家沟12号对面,电话：023-86272021,
桐君阁大药房至德路店,地址：重庆市沙坪坝区至德路10号,电话：023-65745515,
桐君阁大药房焦家正街店,地址：重庆市长寿区焦家正街,电话：023-40464245,
桐君阁大药房迎宾路店,地址：重庆市长寿区迎宾路1号-附6号,电话：023-40464245,
桐君阁大药房美丽熙街店,地址：重庆市沙坪坝区美丽熙街1层-41号,电话：023-86275080,
桐君阁大药房文苑北路店,地址：重庆市长寿区文苑北路2号23幢负1-13号,电话：023-40464245,
桐君阁大药房农贸北街店,地址：重庆市江津区农贸北街,电话：023-47601550,
桐君阁大药房团歇路店,地址：重庆市沙坪坝区团歇路,电话：023-65620120,
桐君阁大药房双岔村店,地址：重庆市开县九龙山镇双岔村,电话：023-40664230,
桐君阁大药房凤城平湖路店,地址：重庆市长寿区凤城平湖路8号2幢1-10、1-11号,电话：023-40664230,
桐君阁大药房劳动路店,地址：重庆市沙坪坝区劳动路73附17号,电话：023-86257066,
桐君阁大药房陈西路店,地址：重庆市沙坪坝区陈西路24号,电话：023-65608735,
桐君阁大药房三圣宫村店,地址：重庆市沙坪坝区土主镇三圣宫村,电话：023-65166173,
桐君阁大药房龙溪西路店,地址：重庆市长寿区龙溪西路,电话：023-40664227,
桐君阁大药房龙海路店,地址：重庆市沙坪坝区龙海路87-2号,电话：023-86260908,
桐君阁大药房三堡石街店,地址：重庆市长寿区三堡石街,电话：023-40664230,
桐君阁大药房大同路店,地址：重庆市江津区大同路335号,电话：023-47603508,
桐君阁大药房民心路店,地址：重庆市沙坪坝区民心路,电话：023-86662322,
桐君阁大药房八德场店,地址：重庆市忠县八德村八德场,电话：023-40664227,
桐君阁大药房美食街店,地址：重庆市长寿区美食街44号,电话：023-40664227,
桐君阁大药房石小路店,地址：重庆市沙坪坝区石小路210-20号附近,电话：023-86268380,
桐君阁大药房歌乐山店,地址：重庆市沙坪坝区歌乐山玉皇观工业加工区附近,电话：023-65263411,
桐君阁大药房桃源北路店,地址：重庆市长寿区桃源北路,电话：023-40664227,
桐君阁大药房华宇金沙港湾店,地址：重庆市沙坪坝区华宇金沙港湾5号附3号,电话：023-86237058,
桐君阁大药房陶颜路店,地址：重庆市长寿区陶颜路,电话：023-40464245,
桐君阁大药房小龙坎正街店,地址：重庆市沙坪坝区小龙坎正街4号,电话：023-65160190,
桐君阁大药房下洞街店,地址：重庆市长寿区下洞街,电话：无,
桐君阁大药房新青路店,地址：重庆市沙坪坝区新青路,电话：023-86252086,
桐君阁大药房黄龙村店,地址：重庆市石柱黄龙村,电话：无,
桐君阁大药房中兴街店,地址：重庆市沙坪坝区中兴街16号,电话：023-86254100,
桐君阁大药房晏兴街店,地址：重庆市长寿区晏兴街8,电话：023-40664230,
桐君阁大药房晏中路店,地址：重庆市长寿区晏中路14号,电话：无,
桐君阁大药房磁童路店,地址：重庆市沙坪坝区磁童路15号,电话：023-86250535,
桐君阁大药房渡舟正街店,地址：重庆市长寿区渡舟正街403号,电话：023-40664227,
桐君阁大药房天梨路店,地址：重庆市沙坪坝区天梨路,电话：023-86250508,
桐君阁大药房黄桷路店,地址：重庆市长寿区黄桷湾黄桷路3号,电话：无,
桐君阁大药房称沱街店,地址：重庆市长寿区称沱街,电话：无,
桐君阁大药房向阳路店,地址：重庆市长寿区向阳路33号,电话：023-40664227,
桐君阁大药房长狮路店,地址：重庆市长寿区长狮路,电话：无,
桐君阁大药房凤回路店,地址：重庆市沙坪坝区凤回路,电话：023-86237066,
桐君阁大药房学林雅园店,地址：重庆市沙坪坝区学林雅园3号附4号,电话：023-65019814,
桐君阁大药房凤天大道店,地址：重庆市沙坪坝区凤天大道17-33号,电话：023-65318085,
桐君阁大药房丰乐镇迎仙村店,地址：重庆市开县丰乐镇迎仙村,电话：023-86526277,
桐君阁大药房巴都大厦店,地址：重庆市涪陵区兴华中路巴都大厦,电话：023-72300869,
桐君阁大药房半月路店,地址：重庆市渝中区半月路77号,电话：023-63878434,
桐君阁大药房天陈路店,地址：重庆市沙坪坝区天陈路1号,电话：023-86288303,
桐君阁大药房渝南大道店,地址：重庆市巴南区渝南大道58附20号,电话：023-68267089,
桐君阁大药房鹤凤大道店,地址：重庆市涪陵区鹤凤大道,电话：023-72863261,
桐君阁大药房正街店,地址：重庆市沙坪坝区正街76-1号,电话：023-65028250,
桐君阁大药房特钢家属区店,地址：重庆市沙坪坝区特钢家属区,电话：023-63220952,
桐君阁大药房杉涪路店,地址：重庆市涪陵区杉涪路,电话：023-72200451,
桐君阁大药房歌乐山广场店,地址：重庆市沙坪坝区歌乐山广场,电话：023-86281575,
桐君阁大药房上曾家岩店,地址：重庆市渝中区上曾家岩24号重庆市政府附近,电话：023-68220985,
桐君阁大药房香山路店,地址：重庆市渝中区香山路41号,电话：无,
桐君阁大药房富城大厦店,地址：重庆市渝中区富城大厦商务楼斜对面,电话：023-86038505,
桐君阁大药房涪丰路店,地址：重庆市涪陵区涪丰路,电话：023-72260137,
桐君阁大药房黎明南路店,地址：重庆市涪陵区黎明南路与兴华中路交口东北角（人民银行涪陵中心支行附近）,电话：023-72224973,
桐君阁大药房礼仁街店,地址：重庆市渝北区礼仁街,电话：023-68226126,
桐君阁大药房中南路店,地址：重庆市渝中区中南路84号,电话：023-63103108,
桐君阁大药房816厂店,地址：重庆市涪陵区816厂21号路,电话：023-72801029,
桐君阁大药房八一路店,地址：重庆市渝中区八一路263号,电话：023-63522480,
桐君阁大药房融汇大道店,地址：重庆市渝中区融汇大道62号,电话：023-86088014,
桐君阁大药房马家湾店,地址：重庆市渝中区马家湾34号,电话：023-89883072,
桐君阁大药房上桥新街店,地址：重庆市沙坪坝区上桥新街39号附34号,电话：023-68207217,
桐君阁大药房茶亭南路店,地址：重庆市渝中区大坪茶亭南路1号,电话：023-60306691,
桐君阁大药房界南街店,地址：重庆市渝中区界南街,电话：023-86038507,
桐君阁大药房营盘路店,地址：重庆市铜梁县营盘路47号,电话：023-63856763,
桐君阁大药房彭家花园店,地址：重庆市渝中区大坪彭家花园,电话：023-86523511,
桐君阁大药房边贸路店,地址：重庆市涪陵区边贸路129号,电话：023-72870273,
桐君阁大药房碚峡西路店,地址：重庆市北碚区碚峡西路14号附5号,电话：023-63226339,
桐君阁大药房新苑路店,地址：重庆市涪陵区新苑路,电话：023-72240851,
