齐齐哈尔齐泰医药红星分店,地址：黑龙江省齐齐哈尔市龙沙区民意路63号,电话：0452-2831117,
鹤岗百年一辰医药七分店,地址：黑龙江省鹤岗市南山区74委16组麓林山富力一校1号楼108室,电话：无,
哈尔滨百年一辰黄河店,地址：黑龙江省哈尔滨市南岗区信恒现代城豪园F栋1.2层3号门市,电话：0451-82425811,
鹤岗百年一辰医药十五分店,地址：黑龙江省鹤岗市东山百货沿河北二期商服，21号,电话：无,
鹤岗百年一辰医药六分店,地址：黑龙江省鹤岗市向阳一副食楼西侧,电话：无,
哈尔滨百年一辰长春街,地址：黑龙江省哈尔滨市道外区长春街169号,电话：0451-88309981,
鹤岗百年一辰医药五分店,地址：黑龙江省鹤岗市工农区禧龙宾馆楼下,电话：无,
哈尔滨百年一辰顺水店,地址：黑龙江省哈尔滨市香坊区顺水街61-2号,电话：0451-55150176,
哈尔滨百年一辰人和店,地址：黑龙江省哈尔滨市南岗区人和街38-6号,电话：0451-82712885,
哈尔滨百年一辰河山店,地址：黑龙江省哈尔滨市道里区河松街河松小区502栋1层5号,电话：0451-84860029,
哈尔滨百年一辰旭升店,地址：黑龙江省哈尔滨市动力区旭升街501栋1-2号,电话：0451-87954977,
哈尔滨百年一辰革新店,地址：黑龙江省哈尔滨市南岗区革新街224号,电话：0451-82606881,
哈尔滨百年一辰宏图店,地址：黑龙江省哈尔滨市道外区宏图街41号2栋1层1S01号,电话：0451-57680795,
哈尔滨百年一辰金山店,地址：黑龙江省哈尔滨市道里区群力乡金山堡,电话：无,
齐齐哈尔一辰医药六分店,地址：黑龙江齐齐哈尔铁锋区景新街1-4层,电话：0452-5990461,
哈尔滨百年一辰新江桥店,地址：黑龙江省哈尔滨市道外区新江桥街35-1、35-2号,电话：0451-57603511,
哈尔滨百年一辰民益店,地址：黑龙江省哈尔滨市南岗区民益街163号,电话：0451-87221826,
齐齐哈尔一辰医药四分店,地址：黑龙江齐齐哈尔铁锋区和平小区7号楼1层14号,电话：0452-8077141,
哈尔滨百年一辰共乐店,地址：黑龙江省哈尔滨市道里区哈药路33号,电话：0451-84553511,
哈尔滨百年一辰汉水店,地址：黑龙江省哈尔滨市开发区汉水路440号,电话：0451-87221831,
齐齐哈尔一辰医药三分店,地址：黑龙江齐齐哈尔龙沙区安智小区21号楼网点109号,电话：0452-8070131,
哈尔滨百年一辰复华店,地址：黑龙江省哈尔滨市南岗区复华四道街27号,电话：无,
齐齐哈尔一辰医药十二分店,地址：黑龙江齐齐哈尔龙沙区新化小区16号楼00单元01层01号,电话：0452-5990461,
齐齐哈尔一辰医药二分店,地址：黑龙江齐齐哈尔龙沙区永青市场西市口底层,电话：0452-8097567,
哈尔滨百年一辰东直店,地址：黑龙江省哈尔滨市道外区东直路99-101号,电话：0451-87850711,
齐齐哈尔一辰医药十一分店,地址：黑龙江齐齐哈尔富拉尔基区红岸办事处橡胶厂住宅1号楼00单元01层01号,电话：0452-2991011,
齐齐哈尔一辰医药一分店,地址：黑龙江齐齐哈尔市铁锋区龙华小区18号楼东侧00单元01层01号,电话：0452-2910001,
哈尔滨百年一辰建国店,地址：黑龙江省哈尔滨市道里区建国北二道街47号,电话：0451-87602662,
齐齐哈尔一辰医药十分店,地址：黑龙江齐齐哈尔铁锋区车辆厂光荣二区209号楼7号商服,电话：0452-8080101,
哈尔滨百年一辰文林店,地址：黑龙江省哈尔滨市南岗区文林街25号,电话：无,
齐齐哈尔一辰医药九分店,地址：黑龙江省齐齐哈尔市富拉尔基区和平大街46号门市齐钢8号楼,电话：0452-8930691,
哈尔滨百年一辰宣庆店,地址：黑龙江省哈尔滨市南岗区宣庆街81号,电话：0451-82352598,
齐齐哈尔一辰医药八分店,地址：黑龙江齐齐哈尔建华区东路小区22号1-2层9-1号,电话：0452-5980281,
齐齐哈尔一辰医药七分店,地址：黑龙江齐齐哈尔建华区光明小区1号楼00单元01层26号,电话：0452-2949271,
大庆世一大药房连锁有限公司育芝堂医药分店,地址：黑龙江省大庆市让葫芦区丰泽园小区庆客隆超市内,电话：0459-6334488,
大庆世一大药房连锁有限公司银亿医药分店,地址：黑龙江省大庆市萨尔图区大医院门诊对面,电话：0459-5367069,
大庆世一大药房连锁有限公司银浪新城医药分店,地址：黑龙江省大庆市胡路区银河广场建行北侧,电话：0459-4815225,
大庆世一大药房连锁有限公司亿德利医药分店,地址：黑龙江省大庆市红岗区八百垧金昆仑内,电话：0459-4891717,
大庆世一大药房连锁有限公司沿湖城医药分店,地址：黑龙江省大庆市萨尔图区靓湖花园建行东侧,电话：0459-4336548,
大庆世一大药房连锁有限公司刘高手医药分店,地址：黑龙江省大庆市萨尔图区格林小镇二期商服,电话：0459-8185120,
大庆世一大药房连锁有限公司鑫康医药分店,地址：黑龙江省大庆市胡路区丽水华城水明园门口,电话：0459-6137239,
大庆世一大药房连锁有限公司西宾医药分店,地址：黑龙江省大庆市萨尔图区新村银座尚品西门,电话：0459-4319060,
大庆世一大药房连锁有限公司惠民大药房,地址：黑龙江省大庆市萨尔图区毅腾商都商服1-15（新村沃尔玛国美电器旁）,电话：0459-6192011,
大庆世一大药房连锁有限公司利宏医药分店,地址：黑龙江省大庆市龙凤区东城领袖锦绣园A区,电话：0459-6403823,
大庆世一大药房连锁有限公司泰和医药分店,地址：黑龙江省大庆市萨尔图区萨大中路北28号,电话：0459-4192096,
大庆世一大药房连锁有限公司惠康堂大药房,地址：黑龙江省大庆市胡路区让区阳光佳苑4期北门,电话：0459-5086356,
大庆世一大药房连锁有限公司庆新大药房,地址：黑龙江省大庆市开发区六厂保龄球馆楼下,电话：0459-5836777,
大庆世一大药房连锁有限公司惠佳医药分店,地址：黑龙江省大庆市胡路区东湖商贸城商服内,电话：0459-5732239,
大庆世一大药房连锁有限公司集康医药分店,地址：黑龙江省大庆市萨尔图区69中对面齐酱骨旁,电话：0459-6182093,
大庆世一大药房连锁有限公司府中医药分店,地址：黑龙江省大庆市龙凤区大家乐超市对面,电话：0459-6230846,
大庆世一大药房连锁有限公司惠安堂医药分店,地址：黑龙江省大庆市萨尔图区万达广场底层外铺156.199.200,电话：0459-6079418,
大庆世一大药房连锁有限公司新光医药分店,地址：黑龙江省大庆市胡路区银亿转盘道医院东,电话：0459-5922530,
大庆世一大药房连锁有限公司府城医药分店,地址：黑龙江省大庆市龙凤区商场对面,电话：0459-6241911,
大庆世一大药房连锁有限公司华府医药分店,地址：黑龙江省大庆市萨尔图区万城华府小区商服,电话：0459-8179955,
大庆世一大药房连锁有限公司千芝堂医药分店,地址：黑龙江省大庆市胡路区乘风鸿运楼后身商服,电话：0459-5689899,
大庆世一大药房连锁有限公司惠泽医药分店,地址：黑龙江省大庆市五湖新区中医院对面,电话：0459-8178662,
大庆世一大药房连锁有限公司西寨丽水医药分店,地址：黑龙江省大庆市胡路区让区鑫运城商场后身,电话：0459-5085733,
大庆世一大药房连锁有限公司湖滨医药分店,地址：黑龙江省大庆市胡路区北方市场对面商服,电话：0459-5166167,
大庆世一大药房连锁有限公司福泽医药分店,地址：黑龙江省大庆市萨尔图区新玛特对面7-28号楼下底层商店2门,电话：0459-6386775,
大庆世一大药房连锁有限公司绿色医药分店,地址：黑龙江省大庆市萨尔图区绿色家园南门东侧,电话：0459-2678573,
大庆世一大药房连锁有限公司惠文大药房,地址：黑龙江省大庆市大同区阳光商场一楼,电话：0459-6176926,
大庆世一大药房连锁有限公司福泰国医堂,地址：黑龙江省大庆市萨尔图区人民医院门诊对对面,电话：0459-6290226,
大庆世一大药房连锁有限公司恒鑫医药分店,地址：黑龙江省大庆市萨尔图区东安阳光商城内,电话：0459-6377769,
大庆世一大药房连锁有限公司福源国医堂,地址：黑龙江省大庆市胡路区憩园小区,电话：0459-5160990,
大庆世一大药房连锁有限公司福祥医药分店,地址：黑龙江省大庆市高新区创业城17-14号底层商服,电话：0459-4546828,
大庆世一大药房连锁有限公司福熙医药分店,地址：黑龙江省大庆市胡路区乘风庄阳光乘风一楼,电话：0459-6856898,
大庆世一大药房连锁有限公司福炜医药分店,地址：黑龙江省大庆市高新区创业城20-25底层商服,电话：0459-4546858,
大庆世一大药房连锁有限公司堤香医药分店,地址：黑龙江省大庆市萨尔图区登峰福万家超市南,电话：0459-5891228,
大庆世一大药房连锁有限公司福烁医药分店,地址：黑龙江省大庆市高新区创业城A4-26、27底层商服,电话：0459-4547962,
大庆世一大药房连锁有限公司登峰医药分店,地址：黑龙江省大庆市五湖新区湖滨学校对面,电话：0459-6619480,
大庆世一大药房连锁有限公司福巧医药分店,地址：黑龙江省大庆市高新区创业城13-13号底层商服,电话：0459-4547993,
大庆世一大药房连锁有限公司大仁堂医药分店,地址：黑龙江省大庆市七厂市场西侧商服,电话：0459-4492677,
大庆世一大药房连锁有限公司福安医药分店,地址：黑龙江省大庆市大同区阳光购物广场西侧商服1单元6号门,电话：0459-6166929,
大庆世一大药房连锁有限公司奥林医药分店,地址：黑龙江省大庆市胡路区奥林商服26路站牌,电话：0459-5151457,
大庆世一大药房连锁有限公司福霖医药分店,地址：黑龙江省大庆市高新区创业城10-A商服02,电话：0459-4546818,
大庆世一大药房连锁有限公司安鑫医药分店,地址：黑龙江省大庆市萨北区721邮储北侧,电话：0459-5877897,
大庆世一大药房连锁有限公司福康医药分店,地址：黑龙江省大庆市胡路区银浪温馨家园三期银湖新苑邻里中心商服,电话：无,
大庆世一大药房连锁有限公司福佳医药分店,地址：黑龙江省大庆市让葫芦区世奥国际公寓香榭丽广场庆客隆超市内,电话：0459-5152606,
大庆世一大药房连锁有限公司福地医药分店,地址：黑龙江省大庆市胡路区创业城22-13,电话：0459-4547972,
哈尔滨人民同泰医药连锁分店密山兴亚分店,地址：黑龙江省鸡西市密山市密山镇光复路双胜综合楼,电话：0467-5296586,
哈尔滨人民同泰医药连锁分店密山分店,地址：黑龙江省哈尔滨市密山市密山镇东安街121号,电话：0467-5227811,
哈尔滨人民同泰医药连锁分店沿江分店,地址：黑龙江省哈尔滨市道外区北十九道街41号,电话：0451-88967133,
哈尔滨人民同泰医药连锁分店肇东分店,地址：黑龙江省绥化市肇东市南直路四道街劳动局楼下,电话：0455-5998901,
哈尔滨人民同泰医药连锁分店北新分店,地址：黑龙江省哈尔滨市道外区北新街148号,电话：0451-88965033,
哈尔滨人民同泰医药连锁分店南极分店,地址：黑龙江省哈尔滨市道外区南极街副61-1号,电话：0451-88360196,
哈尔滨人民同泰医药连锁店佳木斯分店,地址：黑龙江省佳木斯市向阳区中山街93号,电话：0454-8220085,
哈尔滨人民同泰医药连锁分店尚朴分店,地址：黑龙江省哈尔滨市道外区靖宇街198号,电话：0451-88948133,
哈尔滨人民同泰医药连锁分店香电分店,地址：黑龙江省哈尔滨市香坊区香电街农垦党校高层5号门市,电话：0451-88345147,
哈尔滨人民同泰医药连锁分店城乡迎宾分店,地址：黑龙江省哈尔滨市道里区城乡路251号,电话：0451-87617892,
哈尔滨人民同泰医药连锁分店公滨分店,地址：黑龙江省哈尔滨市香坊区公滨路236号,电话：0451-87981257,
哈尔滨人民同泰医药连锁分店齐滨分店,地址：黑龙江省齐齐哈尔市依安县泰安大街,电话：400-6003-777,
哈尔滨人民同泰医药连锁分店新特新分店,地址：黑龙江省哈尔滨市道外区滨江凤凰城309栋10-11号,电话：0451-88923064,
哈尔滨人民同泰医药连锁分店南和分店,地址：黑龙江省哈尔滨市道外区南平街90号,电话：0451-88345147,
哈尔滨人民同泰医药连锁分店绥棱分店,地址：黑龙江省绥化市绥棱县张家湾,电话：0451-57420062,
哈尔滨人民同泰医药连锁分店凤瑶分店,地址：黑龙江省哈尔滨市香坊区红旗大街68号,电话：0451-87977968,
哈尔滨人民同泰医药连锁分店淮河分店,地址：黑龙江省哈尔滨市南岗区嵩山路108号,电话：0451-88997736,
哈尔滨人民同泰医药连锁分店兴业分店,地址：黑龙江省哈尔滨市道外区兴业街146号,电话：0451-88901277,
哈尔滨人民同泰医药连锁分店北环分店,地址：黑龙江省哈尔滨市道外区大新街188号,电话：0451-88328314,
哈尔滨人民同泰医药连锁分店幸福家园分店,地址：黑龙江省哈尔滨市五常市幸福家园17号,电话：0451-55806430,
哈尔滨人民同泰医药连锁分店香庆分店,地址：黑龙江省哈尔滨市香坊大街202号,电话：0451-87973618,
哈尔滨人民同泰医药连锁分店华庭分店,地址：黑龙江省哈尔滨市道外区南十四道街142号,电话：0451-88997736,
哈尔滨人民同泰医药连锁分店仁里分店,地址：黑龙江省哈尔滨市道外区十八道街(滨江凤凰城405栋2门市),电话：0451-88901097,
哈尔滨人民同泰医药连锁分店丰润分店,地址：黑龙江省哈尔滨市道外区靖宇街332号,电话：0451-88309586,
哈尔滨人民同泰医药连锁分店顾乡新天地分店,地址：黑龙江省哈尔滨市道里区顾乡大街93号（新天地家园16栋3号）,电话：0451-55509315,
哈尔滨人民同泰医药连锁分店菜艺分店,地址：黑龙江省哈尔滨市香坊区菜艺街121号,电话：0451-87973003,
哈尔滨人民同泰医药连锁分店长春分店,地址：黑龙江省哈尔滨市道外区长春街160-2号,电话：0451-88990876,
哈尔滨人民同泰医药连锁分店滨江分店,地址：黑龙江省哈尔滨市道外区滨江街57号,电话：0451-88394873,
哈尔滨人民同泰医药连锁分店保康分店,地址：黑龙江省哈尔滨市道外区南马路62号,电话：0451-88308322,
哈尔滨人民同泰医药连锁店双鸭山分店,地址：黑龙江双鸭山市尖山区新兴大街58号,电话：0469-6100098,
哈尔滨人民同泰医药连锁分店哈平分店,地址：黑龙江省哈尔滨市香坊区体育街44号,电话：0451-87965896,
哈尔滨人民同泰医药连锁分店靖宇分店,地址：黑龙江省哈尔滨市道外区靖宇大街272号,电话：0451-88980715,
哈尔滨人民同泰医药连锁分店翰林分店,地址：黑龙江省哈尔滨市江北学院路翰林辰霞小区A栋32号门市,电话：0451-88122093,
哈尔滨人民同泰医药连锁分店泰华西大药房,地址：黑龙江省哈尔滨市道外区靖宇大街325号,电话：0451-88387605,
哈尔滨人民同泰医药连锁分店体育分店,地址：黑龙江省哈尔滨市香坊区体育头道街5号,电话：0451-87963722,
哈尔滨人民同泰医药连锁分店大新分店,地址：黑龙江省哈尔滨市道外区大新街66号,电话：0451-88973527,
哈尔滨人民同泰医药连锁分店景阳分店,地址：黑龙江省哈尔滨市道外区景阳街75号,电话：0451-88376422,
哈尔滨人民同泰医药连锁分店湘江路分店,地址：黑龙江省哈尔滨市香坊区湘江路1号,电话：0451-87986916,
哈尔滨人民同泰医药连锁分店旭日分店,地址：黑龙江省哈尔滨市香坊区旭升街哈锅职工村15栋1-1门市,电话：0451-87956605,
哈尔滨人民同泰医药连锁分店草市街分店,地址：黑龙江省哈尔滨市道外区草市街44-1号院内,电话：0451-88372938,
哈尔滨人民同泰医药连锁分店建北分店,地址：黑龙江省哈尔滨市香坊区建北街51号,电话：0451-87983817,
哈尔滨人民同泰医药连锁分店旭升分店,地址：黑龙江省哈尔滨市香坊区旭升街多福家园1栋,电话：0451-87950385,
哈尔滨人民同泰医药连锁分店乐东分店,地址：黑龙江省哈尔滨市香坊区电塔街乐东家园6栋4号,电话：0451-87933118,
哈尔滨人民同泰医药连锁分店香木分店,地址：黑龙江省哈尔滨市香坊区城东新居D区4号楼6号门市,电话：0451-87983017,
哈尔滨人民同泰医药连锁分店桦树分店,地址：黑龙江省哈尔滨市道外区桦树街106号,电话：0451-87855501,
哈尔滨人民同泰医药连锁分店绿园分店,地址：黑龙江省哈尔滨市道外区太平三道街绿色家园小区1栋7门,电话：0451-87851176,
哈尔滨人民同泰医药连锁分店天恒分店,地址：黑龙江省哈尔滨市道外区三棵大街129号,电话：0451-87850932,
哈尔滨人民同泰医药连锁分店福同分店,地址：黑龙江省哈尔滨市道里区福同街43号,电话：0451-87622281,
哈尔滨人民同泰医药连锁分店景兴分店,地址：黑龙江省哈尔滨市道外区北环十八道街五街区2单元4号,电话：0451-87810230,
哈尔滨人民同泰医药连锁分店城乡分店,地址：黑龙江省哈尔滨市道里区城乡路405号,电话：0451-87612013,
哈尔滨人民同泰医药连锁分店南勋分店,地址：黑龙江省哈尔滨市道外区南七道街111号,电话：0451-87810217,
哈尔滨人民同泰医药连锁分店新亭分店,地址：黑龙江省哈尔滨市哈尔滨道里区达江小区4栋6门市,电话：0451-87611907,
哈尔滨人民同泰医药连锁分店利兴分店,地址：黑龙江省哈尔滨市南岗区林兴路利兴小区8号楼2单元101门市,电话：0451-87510134,
哈尔滨人民同泰医药连锁分店东莱分店,地址：黑龙江省哈尔滨市道外区东莱街副86号,电话：0451-87805631,
哈尔滨人民同泰医药连锁分店美晨分店,地址：黑龙江省哈尔滨市道里区工农大街83号,电话：0451-87610108,
哈尔滨人民同泰医药连锁分店文成分店,地址：黑龙江省哈尔滨市南岗区文景街77号,电话：0451-87553396,
哈尔滨人民同泰医药连锁分店地段分店,地址：黑龙江省哈尔滨市道里区地段街136号,电话：0451-87650350,
哈尔滨人民同泰医药连锁分店河鼓分店,地址：黑龙江省哈尔滨市道里区公务员小区38栋2-1号门市,电话：0451-87602295,
哈尔滨人民同泰医药连锁分店工电路分店,地址：黑龙江省哈尔滨市南岗区工电路保利颐和家园A26号门市,电话：0451-87503961,
哈尔滨人民同泰医药连锁分店安发分店,地址：黑龙江省哈尔滨市道里区安国街191号,电话：0451-87633356,
哈尔滨人民同泰医药连锁分店河山分店,地址：黑龙江省哈尔滨市道里区河松小区808栋2号门市,电话：0451-87602291,
哈尔滨人民同泰医药连锁分店文明分店,地址：黑龙江省哈尔滨市南岗区文明街14-12号,电话：0451-87550147,
哈尔滨人民同泰医药连锁分店理工分店,地址：黑龙江省哈尔滨市南岗区学府路50号,电话：0451-87503285,
哈尔滨人民同泰医药连锁分店安宁分店,地址：黑龙江省哈尔滨市道里区新阳路24号,电话：0451-87626686,
哈尔滨人民同泰医药连锁分店民乐分店,地址：黑龙江省哈尔滨市道里区大民兴街211号,电话：0451-87626685,
哈尔滨人民同泰医药连锁分店南通分店,地址：黑龙江省哈尔滨市南岗区南通大街119号,电话：0451-87521568,
哈尔滨人民同泰医药连锁分店宜居分店,地址：黑龙江省哈尔滨市道里区哈双北路宜居家园A栋104-6门市,电话：0451-87385019,
哈尔滨人民同泰医药连锁分店民众分店,地址：黑龙江省哈尔滨市道里区通达街277号,电话：0451-87625909,
哈尔滨人民同泰医药连锁分店美罗湾分店,地址：黑龙江省哈尔滨市香坊区军民街24号立汇美罗湾一期6栋6门市,电话：0451-87317234,
哈尔滨人民同泰医药连锁分店一匡街分店,地址：黑龙江省哈尔滨市南岗区一匡街38号,电话：0451-87510653,
哈尔滨人民同泰医药连锁分店南新分店,地址：黑龙江省哈尔滨市松北区前进家园26号楼松北购物中心,电话：0451-87190174,
哈尔滨人民同泰医药连锁分店世纪分店,地址：黑龙江省哈尔滨市松北区纪贸大道227号,电话：0451-87161864,
哈尔滨人民同泰医药连锁分店星城分店,地址：黑龙江省哈尔滨市南岗区学府路311号,电话：0451-86660713,
哈尔滨人民同泰医药连锁分店平房分店,地址：黑龙江省哈尔滨市平房区新疆大街280号,电话：0451-87102066,
哈尔滨人民同泰医药连锁分店五满意分店,地址：黑龙江省哈尔滨市南岗区西大直街404号,电话：0451-86302615,
哈尔滨人民同泰医药连锁分店亚麻分店,地址：黑龙江省哈尔滨市香坊区亚麻街19-2号,电话：0451-87010410,
哈尔滨人民同泰医药连锁分店香滨分店,地址：黑龙江省哈尔滨市香坊民生三道街哈量新区36栋13门市,电话：0451-86200145,
哈尔滨人民同泰医药连锁分店绿洲分店,地址：黑龙江省哈尔滨市香坊区远大都市绿洲1栋8号门市,电话：0451-86656711,
哈尔滨人民同泰医药连锁分店达通分店,地址：黑龙江省哈尔滨市南岗区通达街133号,电话：0451-86300493,
哈尔滨人民同泰医药连锁分店南厂分店,地址：黑龙江省哈尔滨市平房区保国大街12号,电话：0451-86546545,
哈尔滨人民同泰医药连锁分店宣庆分店,地址：黑龙江省哈尔滨市南岗宣庆街61号（宣西小区4栋）,电话：0451-87002013,
哈尔滨人民同泰医药连锁分店鸿景分店,地址：黑龙江省哈尔滨市南岗区和兴三道街鸿景家园C栋4号,电话：0451-86346896,
哈尔滨人民同泰医药连锁分店民益分店,地址：黑龙江省哈尔滨市香坊民生三道街哈量新区36栋13门市,电话：0451-86200145,
哈尔滨人民同泰医药连锁分店百科分店,地址：黑龙江省哈尔滨市南岗区文瑞街41号,电话：0451-86235493,
哈尔滨人民同泰医药连锁分店河松分店,地址：黑龙江省哈尔滨市道里区河松小街185号,电话：0451-84819292,
哈尔滨人民同泰医药连锁分店保健分店,地址：黑龙江省哈尔滨市南岗区保健路大众家园3栋8号门市,电话：0451-86680469,
哈尔滨人民同泰医药连锁分店林兴分店,地址：黑龙江省哈尔滨市南岗区林兴街2号,电话：0451-86346267,
哈尔滨人民同泰医药连锁分店尚都分店,地址：黑龙江省哈尔滨市南岗区学府路1号,电话：0451-86662037,
哈尔滨人民同泰医药连锁分店卫民分店,地址：黑龙江省哈尔滨市南岗西大直街217号,电话：0451-86338184,
哈尔滨人民同泰医药连锁分店靓园分店,地址：黑龙江省哈尔滨市南岗区信恒现代城靓园F栋1层2号门市,电话：0451-85928012,
哈尔滨人民同泰医药连锁店康德分店,地址：黑龙江省哈尔滨市南岗区下夹树街1号,电话：0451-86219005,
哈尔滨人民同泰医药连锁分店文兴分店,地址：黑龙江省哈尔滨市南岗区文兴街24-1号,电话：0451-86325478,
哈尔滨人民同泰医药连锁分店和兴分店,地址：黑龙江省哈尔滨市南岗区和兴十一道街5号,电话：0451-86318448,
哈尔滨人民同泰医药连锁分店贵新分店,地址：黑龙江省哈尔滨市南岗区贵新街53号,电话：0451-86208272,
哈尔滨人民同泰医药连锁分店建国分店,地址：黑龙江省哈尔滨市道里建国街副123号,电话：0451-84840505,
哈尔滨人民同泰医药连锁分店锦江分店,地址：黑龙江省哈尔滨市道里区河松街锦江绿色家园52号门市,电话：0451-84824497,
哈尔滨人民同泰医药连锁分店钢铁分店,地址：黑龙江省哈尔滨市道里区钢铁街7号,电话：0451-84812547,
哈尔滨人民同泰医药连锁店康泰药品超市,地址：黑龙江省哈尔滨市道里区中央大街18号,电话：0451-84683188,
哈尔滨人民同泰医药连锁分店康安分店,地址：黑龙江省哈尔滨市道里区建国街-289-8号,电话：0451-84805038,
哈尔滨人民同泰医药连锁分店新宏泰分店,地址：黑龙江省哈尔滨市道里区透笼街92号,电话：0451-84677558,
哈尔滨人民同泰医药连锁店河清分店,地址：黑龙江省哈尔滨市道里区河清街12号,电话：0451-84607131,
哈尔滨人民同泰医药连锁分店光辉分店,地址：黑龙江省哈尔滨市道里区道里新阳路321号,电话：0451-84625576,
哈尔滨人民同泰医药连锁分店中泰分店,地址：黑龙江省哈尔滨市道里区石头道街10号,电话：0451-84560823,
哈尔滨人民同泰医药连锁分店大桥分店,地址：黑龙江省哈尔滨市道里区哈药路416号,电话：0451-84802121,
哈尔滨人民同泰医药连锁分店通江分店,地址：黑龙江省哈尔滨市道里区通江街155号,电话：0451-84641148,
哈尔滨人民同泰医药连锁分店哈双分店,地址：黑龙江省哈尔滨市哈双北路阳光颐养花园12栋,电话：0451-84338317,
哈尔滨人民同泰医药连锁分店江畔分店,地址：黑龙江省哈尔滨市道里区友谊路420号,电话：0451-84625427,
哈尔滨人民同泰医药连锁分店民安分店,地址：黑龙江省哈尔滨市道里区民安街82-86号,电话：0451-84550917,
哈尔滨人民同泰医药连锁分店北方分店,地址：黑龙江省哈尔滨市道里区新阳路84号,电话：0451-84524044,
哈尔滨人民同泰医药连锁分店新城分店,地址：黑龙江省哈尔滨市道里区工农大街新城小区112栋10号门市,电话：0451-84330267,
哈尔滨人民同泰医药连锁分店经纬分店,地址：黑龙江省哈尔滨市道里区经纬街131--133号,电话：0451-84688191,
哈尔滨人民同泰医药连锁分店井街分店,地址：黑龙江省哈尔滨市道里区友谊路49号,电话：0451-84616933,
哈尔滨人民同泰医药连锁分店抚新分店,地址：黑龙江省哈尔滨市道里区抚顺街48号,电话：0451-84520232,
哈尔滨人民同泰医药连锁分店贝尔分店,地址：黑龙江省哈尔滨市道里区工程街76-80号,电话：0451-84614969,
哈尔滨人民同泰医药连锁分店安吉分店,地址：黑龙江省哈尔滨市道里区安发街46号,电话：0451-84516062,
哈尔滨人民同泰医药连锁分店中西药分店,地址：黑龙江省哈尔滨市道外区顾乡大街100号,电话：0451-84324542,
哈尔滨人民同泰医药连锁分店中央大药房,地址：黑龙江省哈尔滨市道里区中央大街77号,电话：0451-84685343,
哈尔滨人民同泰医药连锁分店抚顺分店,地址：黑龙江省哈尔滨市道里区抚顺街160号,电话：0451-84509421,
哈尔滨人民同泰医药连锁分店医药商厦店,地址：黑龙江省哈尔滨市道外区靖宇街414号,电话：0451-84324542,
哈尔滨人民同泰医药连锁分店药材店,地址：黑龙江省哈尔滨市哈尔滨道里区友谊路190号,电话：0451-84613528,
哈尔滨人民同泰医药连锁分店民兴分店,地址：黑龙江省哈尔滨市道里区大民兴街23号,电话：0451-84505416,
哈尔滨人民同泰医药连锁分店友谊分店,地址：黑龙江省哈尔滨市道里区高谊街91号,电话：0451-84612419,
哈尔滨人民同泰医药连锁分店通顺分店,地址：黑龙江省哈尔滨市道里区通顺街32号,电话：0451-84344422,
哈尔滨人民同泰医药连锁分店华佗分店,地址：黑龙江省哈尔滨市道里区道里乡政街112号,电话：0451-84320344,
哈尔滨人民同泰医药连锁分店埃德蒙顿路分店,地址：黑龙江省哈尔滨市道里区埃德蒙顿路54号,电话：0451-84306557,
哈尔滨人民同泰医药连锁分店新阳分店,地址：黑龙江省哈尔滨市道里区新阳路155号,电话：0451-84290557,
哈尔滨人民同泰医药连锁分店红霞分店,地址：黑龙江省哈尔滨市道里区经纬街272号,电话：0451-84207858,
哈尔滨人民同泰医药连锁分店爱国分店,地址：黑龙江省哈尔滨市道里区道里安国街138号,电话：0451-84283568,
哈尔滨人民同泰医药连锁分店哈西分店,地址：黑龙江省哈尔滨市南岗区学府路65号雄师家园3号门市,电话：0451-83850898,
哈尔滨人民同泰医药连锁分店东安分店,地址：黑龙江省哈尔滨市道里区新城花园小区2号楼1号门市,电话：0451-83371147,
哈尔滨人民同泰医药连锁分店爱建分店,地址：黑龙江省哈尔滨市道里区上海街94号,电话：0451-84237978,
哈尔滨人民同泰医药连锁分店紫园分店,地址：黑龙江省哈尔滨市道里区安隆街49号,电话：0451-83086508,
哈尔滨人民同泰医药连锁分店永平分店,地址：黑龙江省哈尔滨市道外区永平小区201栋4-5门市,电话：0451-82826990,
哈尔滨人民同泰医药连锁分店宣西分店,地址：黑龙江省哈尔滨市南岗区马端街114号,电话：0451-82760882,
哈尔滨人民同泰医药连锁分店通乡分店,地址：黑龙江省哈尔滨市香坊区进乡街63号,电话：0451-82969934,
哈尔滨人民同泰医药连锁分店乐买分店,地址：黑龙江省哈尔滨市道里区经纬街338号,电话：0451-84226297,
哈尔滨人民同泰医药连锁分店太平庄店,地址：黑龙江省哈尔滨市道里区太平镇中心大街,电话：0451-84109559,
哈尔滨人民同泰医药连锁分店日升分店,地址：黑龙江省哈尔滨市香坊区旭升街170号,电话：0451-82939085,
哈尔滨人民同泰医药连锁分店长江路分店,地址：黑龙江省哈尔滨市南岗区长江路4-6号,电话：0451-82815182,
哈尔滨人民同泰医药连锁分店三合分店,地址：黑龙江省哈尔滨市香坊区三合路353号(生态园小区1栋14号门市),电话：0451-82929631,
哈尔滨人民同泰医药连锁分店十字分店,地址：黑龙江省哈尔滨市南岗区十字街75号,电话：0451-82733335,
哈尔滨人民同泰医药连锁店药品大卖场店,地址：黑龙江省哈尔滨市南岗区奋斗路184号,电话：0451-82805548,
哈尔滨人民同泰医药连锁分店工程分店,地址：黑龙江省哈尔滨市道里区工程街142号,电话：0451-84212373,
