云南鸿翔一心堂曲靖南门街店,地址：云南省曲靖市云南省曲靖市陆良县南门街162号,电话：0874-6220962,
云南东骏大药房楚雄北浦社区连锁店,地址：云南省楚雄市鹿城北路滨河巷42号,电话：0878-3116117,
云南东骏大药房昆明彼岸小区店,地址：云南省昆明小板桥羊甫社区彼岸小区东岸商业1层106号 ,电话：0871-7371969,
云南东骏大药房新亚洲体育城连锁店,地址：云南省昆明市星耀路新亚洲体育城小区水木清华园G-2幢G-22号商铺,电话：0871-7351304,
云南东骏大药房云南印象店,地址：云南省昆明市穿金路764号云南印象主题文化小区（一期）23幢,电话：0871-63851050,
云南东骏大药房昆明星体花园店,地址：云南省昆明星体花园北区29幢11号商铺,电话：0871-7175383,
云南东骏大药房昆明金晖路店,地址：云南省昆明市关上中心区24号大楼一楼铺面,电话：0871-7164973,
云南东骏大药房昆明红锦路店,地址：云南省昆明市北市区红锦路74号,电话：0871-6119606,
云南东骏大药房凤凰路店,地址：云南省玉溪市凤凰路26号菜园街80号4间商铺,电话：0877-2664480,
云南东骏大药房北浦路连锁店,地址：云南省楚雄市北浦路68号,电话：0878-3112818,
云南东骏大药房昆明呈贡大学城店,地址：云南省昆明市呈贡县雨花毓秀小区一区商铺东街H幢101-----103号,电话：0871-5952109,
云南东骏大药房北辰连锁店,地址：云南省昆明市金实小区697幢1单元101号,电话：0871-5706921,
云南东骏大药房富民三店,地址：云南省昆明市富民县环城西路,电话：0871-68225801,
云南东骏大药房东兴路一店,地址：云南省楚雄市东兴路果园巷100号,电话：0878-3019177,
云南东骏大药房昆明昆沙路店,地址：云南省昆明市昆沙路多尔惠购物超市,电话：0871-5389192,
云南东骏大药房玉溪凤凰路店,地址：云南省玉溪市凤凰路26号菜园街80号4间商铺 ,电话：0877-2011960,
云南东骏大药房楚雄团结路连锁店,地址：云南省楚雄市团结路342号（市交通局1楼）,电话：0878-3021997,
云南东骏大药房北仓园丁小区连锁店,地址：云南省昆明市北市区小康大道北仓园丁小区1幢2单元102商网,电话：0871-5885335,
云南东骏大药房砚山三店,地址：云南省文山州砚山县达文路1号,电话：0876-3129938,
云南东骏大药房潘家湾连锁店,地址：云南省昆明市人民西路120号,电话：0871-5332557,
云南东骏大药房金秋路连锁店,地址：云南省昆明市金实小区6107栋2单元102号商铺,电话：0871-5627923,
云南东骏大药房官南城店,地址：云南省昆明市官渡区官渡街道办事处季官社区居民委员会第三居民小组项目08号商铺,电话：0871-68072133,
云南东骏大药房文山砚山书院街店,地址：云南省文山州砚山县书院街盛禾现代城4-5商铺 ,电话：0876-3126887,
云南东骏大药房马关连锁店,地址：云南省文山州信合路上段,电话：0876-7121580,
云南东骏大药房万源连锁店,地址：云南省昆明市大观商业城江城巷8号,电话：0871-5388938,
云南东骏大药房美璟欣城连锁店,地址：云南省昆明市美璟欣城小区A25、A26、A27号商铺,电话：0871-5884727,
云南东骏大药房红锦路连锁店,地址：云南省昆明市红锦路74号（银汁园商铺1-4）,电话：0871-66119606,
云南东骏大药房新闻路连锁店,地址：云南省昆明市新闻路202,电话：0871-5330295,
云南东骏大药房雨花毓秀店,地址：云南省昆明呈贡雨花毓秀小区二期东门E区102铺7-8-9号商铺 ,电话：0876-65911820,
云南东骏大药房虹山北路连锁店,地址：云南省昆明市五华区虹山北路店长虹路51号,电话：0871-5387822,
云南东骏大药房东兴路连锁二店,地址：云南省楚雄市东兴路46号,电话：0878-3017817,
云南东骏大药房昆明万源店,地址：云南省昆明市大观街万裕苑商场1-6轴，6-19轴,电话：无,
云南东骏大药房虹山南路连锁店,地址：云南省昆明市虹山南路盛世豪庭,电话：0871-5306995,
云南东骏大药房虹山东路连锁店,地址：云南省昆明市五华区虹山东路75号1层6号、7号商铺,电话：0871-5384939,
云南东骏大药房万华路连锁店,地址：云南省昆明市金星小区金利园909幢2单元101号,电话：0871-5731305,
云南东骏大药房金喜园连锁店,地址：云南省昆明市金星小区金喜园713幢2单元底商,电话：0871-5624435,
云南东骏大药房昆明大观店,地址：云南省昆明市大观商业城F座1楼,电话：0871-65380451,
云南东骏大药房地台寺连锁店,地址：云南省昆明市建设路245号,电话：0871-5380819,
云南东骏大药房荷塘月色连锁店,地址：云南省昆明盘龙区龙泉街龙泉路岗头村荷塘月色商铺1幢7号,电话：0871-5230865,
云南东骏大药房玉溪连锁店,地址：云南省玉溪新兴社区一组菜园街综合楼一层,电话：0877-2686574,
云南东骏大药房金星连锁店,地址：云南省昆明市金星小区华富园Q幢3号商网,电话：0871-5617512,
云南东骏大药房大观连锁总店,地址：云南省昆明市大观商业城F座一楼,电话：0871-5380451,
云南东骏大药房昆机连锁店,地址：云南省昆明机床厂生活小区,电话：0871-5214631,
云南东骏大药房金庐园连锁店,地址：云南省昆明市北市区三竹营片区金庐园小区北14、15号商铺,电话：0871-5707604,
云南东骏大药房白云连锁店,地址：云南省昆明市白云路210号、8号铺面,电话：0871-5617122,
云南东骏大药房昆师路连锁店,地址：云南省昆明市五华区昆师路2号,电话：0871-5358736,
云南东骏大药房穿金路第二连锁店,地址：云南省昆明市穿金路134号一楼铺面（维康医院一楼）,电话：0871-5190062,
云南东骏大药房文山砚山二店,地址：云南省文山州砚山县文化路159号 ,电话：0876-3130782,
云南东骏大药房红星连锁店,地址：云南省昆明市虹山南路169号,电话：0871-5350852,
云南东骏大药房昆明盈江路店,地址：云南省昆明市江岸小区盈江路221号,电话：0871-5180165,
云南东骏大药房明日城市连锁店,地址：云南省昆明市明日城市小区39栋5号商铺,电话：0871-5338922,
云南东骏大药房金江小区连锁店,地址：云南省昆明市金江小区10-9商铺,电话：0871-5178803,
云南东骏大药房金江小区连锁二店,地址：云南省昆明市北京路延长线金江小区8号地块独商2幢第1-2层商铺8-6号,电话：0871-5177950,
云南东骏大药房龙泉路连锁店,地址：云南省昆明市龙泉路家乐福一楼,电话：0871-5173756,
云南东骏大药房长城小区连锁店,地址：云南省昆明市五华区教益路158号长城小区32棟一层3-1号,电话：0871-5173710,
云南东骏大药房安康园连锁店,地址：云南省昆明市北市区江东安康园9幢101号,电话：0871-5136538,
云南东骏大药房昆明理想小镇店,地址：云南省昆明市理想小镇42幢5单元6-9号商网,电话：0871-4638240,
云南东骏大药房文山外滩路店,地址：云南省文山州开化镇外滩路10号 ,电话：0876-2150997,
云南东骏大药房文山泰康连锁店,地址：云南省文山州泰康小区12组团56号,电话：0876-2813929,
云南东骏大药房汇郦境园店,地址：云南省昆明市汇郦境园45号商铺,电话：0871-4632943,
云南东骏大药房穿金路第三连锁店,地址：云南省昆明市穿金路201号,电话：0871-5130263,
云南东骏大药房商贸城连锁店,地址：云南省文山州沙坝北路与沙北七巷交叉口（开化商贸城12-13号商铺）,电话：0876-2813239,
云南东骏大药房保山施甸由旺中心店,地址：云南省保山市施甸县由旺镇由旺街(原由旺供销社),电话：0875-8881160,
云南东骏大药房圆通连锁店,地址：云南省昆明市五华区青年路89号,电话：0871-5119350,
云南东骏大药房保山昌宁右甸西路店,地址：云南省保山市昌宁右甸西路93号,电话：0875-7127528,
云南东骏大药房保山腾冲店,地址：云南省保山市腾冲县光华东路71号,电话：0875-5183104,
云南东骏大药房保山昌宁三江店,地址：云南省保山市昌宁县新成路2号,电话：0875-7122638,
云南东骏大药房北站连锁店,地址：云南省昆明市北京路808号,电话：0871-5110895,
云南东骏大药房保山施甸姚关店,地址：云南省保山市施甸县姚关镇姚关街,电话：0875-8860286,
云南东骏大药房文山开化中路连锁店,地址：云南省文山开化中路盛阳花园,电话：0876-2668878,
云南东骏大药房保山腾冲泰安路店,地址：云南省保山市腾冲腾越镇太安路太安小区52号,电话：0875-5163220,
云南东骏大药房文山休闲广场店,地址：云南省文山州文山县开化镇大景商业城甲A08号,电话：0876-2134038,
云南东骏大药房龙陵龙新连锁店,地址：云南省保山市龙陵县龙新乡正街20号,电话：0875-6800129,
云南东骏大药房文山永园小区连锁店,地址：云南省文山州七花广场与新县医院之间（永园小区E幢29号）,电话：0876-2622690,
云南东骏大药房保山施甸仁和连锁店,地址：云南省保山市施甸县仁和镇仁和街(老供销社对面),电话：0875-8825878,
云南东骏大药房保山腾冲2店,地址：云南省保山市腾越镇满邑社区华园1小区36号,电话：0875-5161878,
云南东骏大药房保山龙陵红桥店,地址：云南省保山市龙陵县龙山镇远征路,电话：0875-6123878,
云南东骏大药房穿金路店,地址：云南省昆明市穿金路753号1#2#商铺,电话：0871-5099385,
云南东骏大药房保山施甸甸阳西路店,地址：云南省保山市施甸县甸阳镇河头一期工程十三单元,电话：0875-8126808,
云南东骏大药房文山连锁店,地址：云南省文山州开化镇开化北路88号,电话：0876-2612959,
云南东骏大药房保山腾冲四店,地址：云南省保山市腾冲县腾越镇秀峰社区盈贸小区137-139号。,电话：0875-5161776,
云南东骏大药房金寿园连锁店,地址：云南省昆明市金寿园823幢2单元101.102号,电话：0871-5095221,
云南东骏大药房龙陵远征连锁店,地址：云南省保山市龙陵县远征路,电话：0875-6123768,
云南东骏大药房文山西华路店,地址：云南省文山州西华路700号 ,电话：0876-2194969,
云南东骏大药房保山施甸店,地址：云南省保山市施甸县甸阳镇文化路北侧,电话：0875-8126788,
云南东骏大药房云岭天骄连锁店,地址：云南省昆明市龙泉路上马村云岭天骄小区1号商铺,电话：0871-5090317,
云南东骏大药房腾冲簧学路连锁店,地址：云南省保山市腾冲县腾越镇秀峰社区吉昌小区160号,电话：0875-5152806,
云南东骏大药房保山龙陵龙山店,地址：云南省保山市龙陵县龙山中路凤凰城6-3,电话：0875-6123518,
云南东骏大药房桃源连锁店,地址：云南省昆明市桃源街10号,电话：0871-5131256,
云南东骏大药房保山施甸七0七店,地址：云南省保山市施甸县水长乡七O七街,电话：0875-8884769,
云南东骏大药房保山施甸甸阳店,地址：云南省保山市施甸县甸阳中路39号,电话：0875-8124629,
云南东骏大药房保山龙陵远征店,地址：云南省保山龙陵县远征路 ,电话：0875-6123057,
云南东骏大药房保山腾冲三店,地址：云南省保山市腾冲县腾越镇天成社区银河小区339号,电话：0875-5131936,
云南东骏大药房昆明华都店,地址：云南省昆明市华都花园19栋09号,电话：0871-4645542,
云南东骏大药房保山施甸交通二店,地址：云南省保山市施甸交通路与惠通路交叉口 ,电话：0875-8121719,
云南东骏大药房保山腾冲凤翅路店,地址：云南省保山市腾冲市腾越镇天成社区建华小区118号 ,电话：0875-5131923,
云南东骏大药房保山龙陵店,地址：云南省保山市龙陵县龙山镇松山路,电话：0875-6121912,
云南东骏大药房保山昌宁兴宁街店,地址：云南省保山市昌宁县兴宁街94号,电话：0875-7128558,
云南东骏大药房保山龙陵龙华店,地址：云南省保山市龙陵县龙华路95号,电话：0875-6121689,
云南东骏大药房保山九龙路二店,地址：云南省保山市隆阳区九龙路7号31幢,电话：0875-2862926,
云南东骏大药房保山腾冲界头华联店,地址：云南省保山市腾冲县界头乡界头社区下街口,电话：0875-5875179,
云南东骏大药房保山河图哀牢古镇店,地址：云南省保山市隆阳区河图镇财政所一楼 ,电话：0875-2850608,
云南东骏大药房广福商业中心二店,地址：云南省昆明市广福商业中心二区9-3商铺,电话：0871-4624996,
云南东骏大药房保山蒲缥新街子店,地址：云南省保山市隆阳区蒲缥镇新街子,电话：0875-2836769,
云南东骏大药房保山太保南路店,地址：云南省保山市太保南路69号,电话：0875-2195073,
云南东骏大药房夏意雅园连锁店,地址：云南省昆明市华晨路夏意雅园14-04号,电话：0871-4618425,
云南东骏大药房保山同仁连锁店,地址：云南省保山市隆阳区永昌镇同仁街50号,电话：0875-2169788,
云南东骏大药房保山同仁2店,地址：云南省保山市隆阳区同仁路９７号,电话：0875-2225359,
云南东骏大药房春晓花园店,地址：云南省昆明市春晓花园6幢6-7号铺面,电话：0871-4561406,
云南东骏大药房保山奥新连锁店,地址：云南省保山市隆阳区兰城路北段西侧（世纪奥新A298-299幢）,电话：0875-2168766,
云南东骏大药房福源小区店,地址：云南省昆明市福源小区2幢1-2号,电话：0871-4594107,
云南东骏大药房保山隆阳店,地址：云南省保山市隆阳路119号,电话：0875-2128136,
云南东骏大药房保山易乐上苑店,地址：云南省保山市隆阳区龙泉路易乐上苑小区门口,电话：0875-2133606,
云南东骏大药房保山同仁三店,地址：云南省保山市隆阳区同仁街经济适用房61102号,电话：0875-2168529,
云南东骏大药房保山太保北路店,地址：云南省保山市太保北路44号,电话：0875-2217012,
云南东骏大药房保山兰城二店,地址：云南省保山市隆阳区兰城路106号,电话：0875-2123550,
云南东骏大药房东路桥连锁店,地址：云南省昆明市金碧路沿长线永历西苑F幢1、2层,电话：0871-4191261,
云南东骏大药房曲靖陆良同乐连锁二店,地址：云南省曲靖市陆良县中兴南路,电话：0874-6925289,
云南东骏大药房保山城南盛世连锁店,地址：云南省保山市正阳南路城南盛世,电话：0875-2163529,
云南东骏大药房昆明桔尚连锁店,地址：云南省昆明市南华小区时代年华桔尚公寓4-5号,电话：0871-4578732,
云南东骏大药房保山升阳店,地址：云南省保山市隆阳区永昌镇保岫东路141号,电话：0875-2123176,
云南东骏大药房昆明滇池印象店,地址：云南省昆明滇池印象花园60幢037、038号商铺 ,电话：0871-4173576,
云南东骏大药房陆良梅家街连锁店,地址：云南省曲靖市陆良县梅家小街（2幢1单元1层11号12号）,电话：0874-6264219,
云南东骏大药房保山兰城三店,地址：云南省保山市隆阳区和平路与兰城路交叉口,电话：0875-2211363,
云南东骏大药房昆明广福商业中心店,地址：云南省昆明市广福路广福商业中心SY2-1#A SY2-2#A商铺,电话：0871-4575827,
云南东骏大药房保山太保南路二店,地址：云南省保山市隆阳区太保南路6号,电话：0875-2129926,
云南东骏大药房罗平振兴街连锁店,地址：云南省曲靖市罗平县振兴街14号,电话：0874-8732108,
云南东骏大药房曲靖陆良同乐大道连锁店,地址：云南省曲靖市陆良县同乐大道39号,电话：0874-6225626,
云南东骏大药房保山正阳店,地址：云南省保山市正阳北路1号,电话：0875-2149399,
云南东骏大药房昆明阳光花园店,地址：云南省昆明市滇池路阳光花园昊苑1幢1单元18、19号商铺 ,电话：0871-4578148,
云南东骏大药房西园路连锁店,地址：云南省昆明市严家地小区D栋3号,电话：0871-4172880,
云南东骏大药房罗平文笔路连锁店,地址：云南省曲靖市罗平县文笔路143号,电话：0874-8707780,
云南东骏大药房西园南路连锁店,地址：云南省昆明市新闻路卢家营东陆城商住楼A幢35-38轴商铺,电话：0871-4107091,
云南东骏大药房佳湖花园连锁店,地址：云南省昆明市佳湖花园正对面,电话：0871-4561812,
云南东骏大药房保山九龙路店,地址：云南省保山市隆阳区九龙路301号 ,电话：0875-2205598,
云南东骏大药房保山民航店,地址：云南省保山市隆阳区永昌镇太保南路82号,电话：0875-2129619,
云南东骏大药房曲靖罗平学田路店,地址：云南省曲靖市罗平学田路１号,电话：0874-8222930,
云南东骏大药房曲靖陆良广场步行街连锁店,地址：云南省曲靖市陆良县广场步行街4-1-2号,电话：0874-6221120,
云南东骏大药房保山新闻路店,地址：云南省保山市隆阳区新闻路３２号,电话：0875-2203587,
云南东骏大药房保山兰城店,地址：云南省保山市隆阳区兰城路21号,电话：0875-2142956,
云南东骏大药房中央丽城连锁店,地址：云南省昆明市中央丽城小区58-59号商铺,电话：0871-4159719,
云南东骏大药房船房小区连锁店,地址：云南省昆明市船房小区别墅组团一层7号商铺,电话：0871-4120993,
云南东骏大药房豆腐营连锁店,地址：云南省昆明市豆腐营新村2--16号,电话：0871-4102530,
云南东骏大药房保山永昌商贸园店,地址：云南省保山市隆阳区永昌商贸园一幢,电话：0875-2140538,
云南东骏大药房保山北城春天店,地址：云南省保山市兰城路北城春天彩蝶家园一期铺面D35-D36号,电话：0875-2129618,
云南东骏大药房曲靖罗平振达连锁店,地址：云南省曲靖市罗平县华联超市内,电话：0874-8217119,
云南东骏大药房曲靖陆良北门街连锁店,地址：云南省曲靖市陆良县北门街133号,电话：0874-6216486,
云南东骏大药房昆明前卫西路店,地址：云南省昆明市前卫西路安康园住宅小区1幢18号商铺 ,电话：0871-4128649,
云南东骏大药房陆良启明街店,地址：云南省曲靖市陆良县启明街中段,电话：0874-6992099,
云南东骏大药房曲靖师宗丹凤连锁店,地址：云南省曲靖市师宗丹凤路文笔2号小区,电话：0874-5769902,
云南东骏大药房气象路连锁店,地址：云南省昆明市西山区气象路109、111、113、115、117号商铺,电话：0871-4113139,
云南东骏大药房东骧神骏店,地址：云南省昆明市东风东路延长线金马山东骧神骏万泰小区望景苑13号商铺,电话：0871-3839709,
云南东骏大药房师宗丹凤连锁二店,地址：云南省曲靖市师宗县过境路“红盾苑财智领地”1栋5号商铺 ,电话：0874-5694991,
云南东骏大药房昆明百大城市理想连锁店,地址：云南省昆明市吴井路509号百大城市理想商铺,电话：0871-3366063,
云南东骏大药房昆明国防路店,地址：云南省昆明市国防路131号,电话：0871-3632425,
云南东骏大药房曙光店,地址：云南省昆明市黎明路157号商铺,电话：0871-3326386,
云南东骏大药房沾益玉龙连锁店,地址：云南省曲靖市沾益玉龙小区146号,电话：0874-3028196,
云南东骏大药房大树营店,地址：云南省昆明市人民东路573号,电话：0871-3351290,
云南东骏大药房曲靖胜境大道连锁店,地址：云南省曲靖市富源县胜境大道,电话：0874-4634037,
云南东骏大药房曲靖沾溢连锁店,地址：云南省曲靖市罗平县龙华南路华联超市内,电话：0874-3166121,
云南东骏大药房吴井路连锁店,地址：云南省昆明市吴井路237号,电话：0871-3573283,
云南东骏大药房教场中路连锁店,地址：云南省昆明市教场中路76号铺面,电话：0871-3323960,
云南东骏大药房曲靖交通路连锁店,地址：云南省曲靖市麒麟区交通路50号,电话：0874-3381326,
云南东骏大药房建水中心四店,地址：云南省红河州开远市建水福润小区t-6,电话：0873-7688098,
云南东骏大药房曲靖家佳福连锁店,地址：云南省曲靖市富源金城路176号,电话：0874-4619039,
云南东骏大药房玄坛路连锁店,地址：云南省曲靖市玄坛路军分区干休所住宿区门口,电话：0874-3132328,
云南东骏大药房建水中心店,地址：云南省红河州开远市建水县朝阳北路116号,电话：0873-7668528,
云南东骏大药房曲靖廖廓南路连锁店,地址：云南省曲靖市廖廓南路280号,电话：0874-3326081,
云南东骏大药房红河开远灵泉路连锁店,地址：云南省红河州开远市灵泉东路116号,电话：0873-7231602,
云南东骏大药房江东花园连锁店,地址：云南省昆明市江东鸣翠园20幢1单元101,电话：0871-3321801,
云南东骏大药房大树营连锁二店,地址：云南省昆明市大树营电动工具公司宿舍6-7号,电话：0871-3312785,
云南东骏大药房北京路连锁店,地址：云南省昆明市北京路336号商铺,电话：0871-3120987,
云南东骏大药房曲靖文化路连锁二店,地址：云南省曲靖市文化路延长线298号商铺 ,电话：0874-3316502,
云南东骏大药房曲靖富源连锁店,地址：云南省曲靖市富源建设路,电话：0874-4619038,
云南东骏大药房后新街连锁店,地址：云南省昆明市西山区后新街21号,电话：0871-3105781,
云南东骏大药房曲靖百源花园连锁店,地址：云南省曲靖市梅苑巷二院生活区下30米,电话：0874-3316239,
云南东骏大药房百合园店,地址：云南省昆明市广福路与昆洛路交叉口百合园D3栋-1 一层商铺9室,电话：0871-3320700,
云南东骏大药房建水中心连锁二店,地址：云南省红河州开远市建水县永祯路179号,电话：0873-7660196,
云南东骏大药房银海领域连锁店,地址：云南省昆明市福达路银海领域4-01、02铺面,电话：0871-3551557,
云南东骏大药房曲靖太和路连锁店,地址：云南省曲靖市麒麟区麒麟北路九龙苑7-8号,电话：0874-3510039,
云南东骏大药房开远店,地址：云南省红河州开远市河滨路24号,电话：0873-7227857,
云南东骏大药房麒麟商业广场连锁店,地址：云南省曲靖市麒麟北路与交通路交汇处 ,电话：0874-3295185,
云南东骏大药房人民东路连锁店,地址：云南省昆明市金地山水,电话：0871-3310890,
云南东骏大药房曲靖连锁店,地址：云南省曲靖市麒麟区麒麟南路16号（麒麟花园旁),电话：0874-3125789,
云南东骏大药房曲靖瑞和南路连锁店,地址：云南省曲靖市瑞和南路124号,电话：0874-3412827,
云南东骏大药房潇湘路连锁店,地址：云南省曲靖市潇湘路金城佳园9-10号商铺,电话：0874-3255906,
云南东骏大药房建水中心三店,地址：云南省红河州建水县广慈宫小区建行商铺,电话：0873-7623112,
云南东骏大药房开远临江北路二店,地址：云南省红河州开远市临江北路249号,电话：0873-7225926,
云南东骏大药房曲靖麒麟连锁店,地址：云南省曲靖市麒麟南路221号（珠江源广场对面）,电话：0874-3125227,
云南东骏大药房新迎小区连锁店,地址：云南省昆明市新迎路199号,电话：0871-3390201,
云南东骏大药房龙泽园连锁店,地址：云南省曲靖市麒麟区祥和路龙泽园3-2号商铺,电话：0874-3187822,
云南东骏大药房南宁北路连锁店,地址：云南省曲靖市麒麟区南宁北路90号,电话：0874-3110606,
云南东骏大药房寻甸馨苑小区连锁店,地址：云南省昆明市寻甸县仁德镇凤梧路馨苑小区AF-10号,电话：0871-2653565,
云南东骏大药房书林街连锁店,地址：云南省昆明市东寺街石桥铺一号(阿诗玛翡翠城),电话：0871-3168641,
云南东骏大药房曲靖昌和路连锁店,地址：云南省曲靖市麒麟区西苑小区6-26号,电话：0874-3411306,
云南东骏大药房东华连锁店,地址：云南省昆明市人民东路延长线277号友谊宾馆1楼,电话：0871-3329913,
云南东骏大药房祥云下庄店,地址：云南省大理市祥云县下庄镇文化路亿佳购物广场内,电话：0812-3362745,
云南东骏大药房开远临江北路店,地址：云南省红河州开远市临江北路鑫盛园小区1栋,电话：0873-7233198,
云南东骏大药房曲靖美好家园连锁店,地址：云南省曲靖市麒麟南路中天嘉园附一楼,电话：0874-3105905,
云南东骏大药房保山陇川章凤店,地址：云南省德宏州德宏州陇川县章凤镇三象北路晃相奘房新盖铺面房（机动2中队对面）,电话：0692-7998988,
云南东骏大药房中大街连锁店,地址：云南省楚雄市中大街301号,电话：0878-3128667,
云南东骏大药房保山陇川同心路店,地址：云南省德宏州陇川县章凤同心路(公安局对面) ,电话：0692-7998288,
云南东骏大药房陇川章凤连锁店,地址：云南省德宏州章凤三象北路晃相奘房新盖铺面房,电话：0692-7992988,
云南东骏大药房开远兴远北路连锁店,地址：云南省红河州开远市兴远北路42-44号,电话：0873-7214060,
云南东骏大药房泸西连锁二店,地址：云南省红河州开远市泸西县中枢镇九华路99号,电话：0873-6623929,
云南东骏大药房开远恒虹世纪连锁店,地址：云南省红河州开远市恒虹世纪广场B栋5号商铺,电话：0873-7213409,
云南东骏大药房弥勒竹园大药房,地址：云南省红河州开远市竹元中心卫生院街,电话：0873-6361221,
云南东骏大药房开远南郊连锁店,地址：云南省红河州开远市南郊农贸市场内,电话：0873-7192571,
云南东骏大药房下关泰安桥连锁店,地址：云南省大理市下关泰安桥北军干所住宿区,电话：0872-8867530,
云南东骏大药房保山梁河店,地址：云南省德宏州梁河县遮岛镇振兴路11号（地税办公厅对面）,电话：0692-6161096,
云南东骏大药房开远解化连锁店,地址：云南省红河州开远市解化厂生活二福利区新建农贸市场8幢3A-3B,电话：0873-7161006,
云南东骏大药房保山芒市2店,地址：云南省德宏州潞西市华丰商城农垦路中段（孔雀湖康体服务中心旁）,电话：0692-2214367,
云南东骏大药房保山瑞丽2店,地址：云南省德宏州瑞丽市姐岗路64号,电话：0692-4142916,
云南东骏大药房开远健民路连锁店,地址：云南省红河州开远市健民路61.63,电话：0873-7141561,
云南东骏大药房南涧店,地址：云南省大理市南涧镇振兴北路6号,电话：0872-8526269,
云南东骏大药房开远彩云路连锁店,地址：云南省红河州开远市彩云路36号,电话：0873-7128205,
云南东骏大药房弥勒温泉路连锁店,地址：云南省红河州开远市弥勒县温泉路温泉小区九号,电话：0873-6221583,
云南东骏大药房芒市宏汇小区连锁店,地址：云南省德宏州芒市白象街78号（15、16、17号）,电话：0692-2135060,
云南东骏大药房红河泸西中心三店,地址：云南省红河州开远市泸西县建设街72号,电话：0873-6631929,
云南东骏大药房南涧二店,地址：云南省大理洲南涧县步行街,电话：0872-8523648,
云南东骏大药房弥勒西山路连锁店,地址： ,电话：0873-6132189,
云南东骏大药房保山梁河南甸路店,地址：云南省德宏州梁河县遮岛镇南甸路百货大楼正对面 ,电话：0692-6163747,
云南东骏大药房保山瑞丽瑞兴店,地址：云南省德宏州德宏州瑞丽市瑞兴路7-6号,电话：0692-4140170,
云南东骏大药房保山芒市店,地址：云南省德宏州潞西市芒市镇勐焕路中段Ｓ商城１楼,电话：0692-2103169,
云南东骏大药房红河泸西中心连锁店,地址：云南省红河州开远市泸西县中枢镇九华路与环城东路交叉路口,电话：0873-6626929,
云南东骏大药房蒙自人民路连锁店,地址：云南省红河州开远市蒙自市人民东路2号,电话：0873-3642289,
云南东骏大药房红河泸西四店,地址：云南省红河州开远市泸西县中枢镇九华路70号,电话：0873-6625069,
云南东骏大药房保山芒市天富楼宾馆连锁店,地址：云南省德宏州芒市广腊亮街风情园小区天富宾馆一楼,电话：0692-2999771,
云南东骏大药房保山芒市花园店,地址：云南省德宏州潞西市潞西市文蚌路与丰华路交叉路口,电话：0692-2217600,
昆明百济新特药业有限公司,地址：云南省昆明市西山区梁源小区昆州路135号 ,电话：0871-68252737,
云南鸿翔一心堂盈江永胜路连锁二店,地址：云南省德宏州盈江县永胜路47号,电话：0692-8180518,
云南鸿翔一心堂香格里拉长征路店,地址：云南省迪庆州香格里拉县建塘镇长征路万德福超市,电话：0887-8228610,
云南鸿翔一心堂盈江振兴路连锁店,地址：云南省德宏州盈江县平原镇振兴路街农贸市场B幢1号,电话：0692-8183898,
云南鸿翔一心堂永善新华街连锁二店,地址：云南省昭通市永善县溪洛渡镇兴隆街18号 ,电话：0870-4122239 ,
云南鸿翔一心堂元江凤凰路连锁店,地址：云南省玉溪市元江县澧江镇凤凰路9号 ,电话：0877-6013876 ,
云南鸿翔一心堂盈江永胜路连锁三店,地址：云南省德宏州盈江县永胜路197-10-11号,电话：0692-8183885,
云南鸿翔一心堂维西小平街店,地址：云南省迪庆州维西县保和镇小平街43号,电话：0887-8627924,
云南鸿翔一心堂永善玉泉路店,地址：云南省昭通市永善县溪洛渡镇校园社区玉泉路205号 ,电话：0870-4540366 ,
云南鸿翔一心堂永善玉泉路连锁二店,地址：云南省昭通市永善县玉泉路94号 ,电话：0870-4540266 ,
云南鸿翔一心堂元江红河街连锁店,地址：云南省玉溪市元江县红河街13号 ,电话：0877-6012339 ,
云南鸿翔一心堂永善黄华镇连锁店,地址：云南省昭通市永善县黄华镇 ,电话：0870-4553480 ,
云南鸿翔一心堂芒市遮放农场连锁店,地址：云南省德宏州遮放镇,电话：0692-2960786,
云南鸿翔一心堂盈江商业步行街连锁店,地址：云南省德宏州盈江县平原镇建设路商业步行街后大门B24幢1-4号,电话：0692-8185738,
云南鸿翔一心堂盈江新城乡店,地址：云南省德宏州盈江县新城乡老街子路口,电话：0692-8986187,
云南鸿翔一心堂易门新建街连锁店,地址：云南省玉溪市易门县新建街141-147号 ,电话：0877-4967386 ,
云南鸿翔一心堂永善新华街连锁店,地址：云南省昭通市永善县新华街21号 ,电话：0870-4122339 ,
云南鸿翔一心堂永善振兴大街连锁二店,地址：云南省昭通市永善县溪落渡镇振兴大街 ,电话：0870-4125558 ,
云南鸿翔一心堂元江文化路连锁店,地址：云南省玉溪市元江县文化路111路 ,电话：0877-6515275 ,
云南鸿翔一心堂易门中心街连锁店,地址：云南省玉溪市易门县龙泉镇中心街16、17、18号 ,电话：0877-4967080 ,
云南鸿翔一心堂元江澧江路连锁店,地址：云南省玉溪市元江县澧江镇澧江路60号 ,电话：0877-6013203 ,
云南鸿翔一心堂易门象山路连锁店,地址：云南省玉溪市易门县龙泉镇象山路5号 ,电话：0877-4969286 ,
云南鸿翔一心堂盈江姐冒镇连锁店,地址：云南省德宏州盈江县弄璋镇姐冒街,电话：0692-8927111,
云南鸿翔一心堂易门龙泉中路连锁店,地址：云南省玉溪市易门县龙泉镇龙泉中路81-83号 ,电话：0877-4969496 ,
