大参林医药集团股份有限公司太平店,地址：广东省湛江市麻章区太平镇供销街11号 ,电话：0759-2866168 ,
佛心大药房招大分店,地址：广东省佛山市南海区狮山镇科技工业园A区科技大道28号(商铺1),电话：0757-88386313,
佛心大药房丰岗分店,地址：广东省佛山市南海区里水镇胜利村丰岗盛平大道2号商铺,电话：0757-85633859,
佛心大药房大朗分店,地址：广东省佛山市南海区里水镇大朗市场27-28号铺,电话：0757-81060500,
佛心大药房沙水分公司,地址：广东省佛山市南海区松岗沙水上沙村桃花市场A5铺,电话：0757-85213253,
佛心大药房九江分店,地址：广东省佛山市南海区九江镇太平直街2-4号商铺,电话：0757-81860845,
佛心大药房好民分店,地址：广东省佛山市南海区狮山镇官窑驿园西路67号之一铺,电话：0757-81199369,
佛心大药房民珍分店,地址：广东省佛山市南海区里水镇宏岗村里和路22-24号,电话：无,
佛心大药房绍盟分店,地址：广东省佛山市南海区里水镇大冲村委里水信用社后88号,电话：0757-85630599,
佛心大药房厚祥分店,地址：广东省佛山市南海区狮山镇小塘城区永安路12幢首层101号,电话：0757-86635767,
佛心大药房厚泽分店,地址：广东省佛山市南海区狮山镇官窑起凤西路42号首层铺,电话：0757-88775625,
佛心大药房白岗分店,地址：广东省佛山市南海区里水镇白岗南棠白路边第8至9号,电话：0757-85120068,
佛心大药房松岗分店,地址：广东省佛山市南海区狮山镇松岗松凤综合市场A13铺,电话：0757-85235357,
佛心大药房大榄分店,地址：广东省佛山市南海区狮山镇官窑大榄村第五村民小组李氏南八巷7号商铺,电话：0757-81002328,
佛心大药房甘康分店,地址：广东省佛山市南海区里水镇甘樵村和同市场16号,电话：0757-85603789,
佛心大药房联星分店,地址：广东省佛山市南海区罗村街道乐安东街14号永安楼首层,电话：0757-86403455,
佛心大药房南金分店,地址：广东省佛山市南海区九江镇沙头南金先锋大街中和里一巷2号,电话：无,
佛心大药房得心分店,地址：广东省佛山市南海区里水镇得胜市场3号铺,电话：0757-85634222,
佛心大药房沙头分店,地址：广东省佛山市南海区九江镇沙头青平新村39号,电话：0757-86902676,
佛心大药房桂城西畔分店,地址：广东省佛山市南海区桂城西约西畔村260号,电话：0757-86337537,
佛心大药房燕鼎分店,地址：广东省佛山市南海区大沥镇盐步新华街铺内A区102、103号铺,电话：无,
佛心大药房青平分店,地址：广东省佛山市南海区九江镇沙头青平路西叟路口首层铺,电话：0757-86905750,
佛心大药房黄岐分店,地址：广东省佛山市南海区黄岐镇北村二联商业街1-2号铺,电话：0757-85932297,
佛心大药房桂城中区分店,地址：广东省佛山市南海区桂城街中区西江村西边大街15巷一号首层铺位,电话：无,
佛心大药房珍丰路分店,地址：广东省佛山市南海区丹灶镇珍丰路1路荣丰置业大厦首层铺2号铺,电话：无,
佛心大药房二十六分店,地址：广东省佛山市南海区黄岐白沙三乡路东至西83号首层,电话：0757-85909307,
佛心大药房静心分店,地址：广东省佛山市南海区桂城平洲夏北聚龙北村二旧村路口2号,电话：无,
佛心大药房盐步分店,地址：广东省佛山市南海区大沥镇盐步河西桂水综合市场F4-F5号,电话：0757-81101957,
佛心大药房丹灶分店,地址：广东省佛山市南海区丹灶镇丹灶城区富民路1号铺,电话：0757-85402646,
佛心大药房香基分店,地址：广东省佛山市南海区大沥镇香基路丽景花苑3号,电话：0757-85582527,
佛心大药房二十一店,地址：广东省佛山市南海区大沥镇体育路建银大厦首层3号铺,电话：0757-85526337,
佛心大药房泽民分店,地址：广东省佛山市南海区大沥镇水头沥水南路28号,电话：0757-85582528,
佛心大药房吉岐分店,地址：广东省佛山市南海区大沥镇黄岐街道黄岐村村路东地段永盛农副产品综合市场Z7号,电话：0757-85918189,
佛心大药房江南分店,地址：广东省江门市江海区桥东新村2号101室,电话：无,
佛心大药房东方广场店,地址：广东省佛山市禅城区锦华路85号东方广场之明珠城负B1层,电话：无,
佛心大药房厚鑫分店,地址：广东省佛山市桂城街道叠南新区A093号,电话：0757-86313977,
佛心大药房东升分店,地址：广东省佛山市市区环市镇东升村委会杨家庄58号首层之一,电话：0757-86127015,
佛心大药房心和分店,地址：广东省佛山市大沥沥西敦和村新区南镇和里1号,电话：0757-81185727,
佛心大药房佛平分店,地址：广东省佛山市禅城区佛平路38号东侧1-2号铺,电话：无,
佛心大药房心慈分店,地址：广东省佛山市大沥镇沥西禅炭公路与沥雅路交汇处南侧土名（泥井塘）1号铺,电话：0757-81181937,
佛心大药房心济分店,地址：广东省佛山市南海区大沥镇沥北中心村五巷二号之一首层铺,电话：0757-85575929,
佛心大药房鄱阳分店,地址：广东省佛山市禅城区石湾镇鄱阳管理区南区一巷16号,电话：0757-83879785,
佛心大药房心诚分店,地址：广东省佛山市南海区大沥镇城南二路名汇城市花园首层48号商铺,电话：0757-85528677,
佛心大药房村尾分店,地址：广东省佛山市禅城区村尾村落始平二路南2-3号,电话：0757-88778080,
佛心大药房明顺分店,地址：广东省佛山市南海区里水镇和顺花园大道38号和顺商业广场B栋A001号铺,电话：0757-85522667,
佛心大药房二分店,地址：广东省佛山市南海区大沥镇李潘村振兴路9号之5,电话：0757-85550737,
佛心大药房心荟分店,地址：广东省佛山市南海区大沥城南一路金雅轩广场A1座G67号商铺,电话：0757-85515667,
佛心大药房心仁分店,地址：广东省佛山市南海区大沥镇黄岐怡兴二西湖路1563号首层,电话：0757-85509507,
佛心大药房良信分店,地址：广东省佛山市南海区大沥镇民安路民安楼首层西南起第一间,电话：0757-85532927,
佛心大药房官窑分店,地址：广东省佛山市南海区狮山镇官窑大道9号,电话：0757-81199537,
佛心大药房心德分店,地址：广东省佛山市南海区大沥镇沥东芦村城南铺1号,电话：0757-85524826,
佛心大药房二十七店,地址：广东省佛山市南海区里水镇和顺市场二路11号,电话：0757-85107227,
佛心大药房育英分店,地址：广东省佛山市南海区里水镇和顺花园五街13号首层铺,电话：0757-85598327,
佛心大药房凤西分店,地址：广东省佛山市南海区大沥镇凤池凤西村竹园中路2号,电话：0757-85571627,
佛心大药房荟康分店,地址：广东省佛山市南海区大沥镇凤池大道20号首层,电话：0757-85571927,
佛心大药房陆康分店,地址：广东省佛山市禅城区同华东四街1号首层商场12号铺,电话：0757-83353657,
佛心大药房三分店,地址：广东省佛山市南海区大沥园东南路A6座101号,电话：0757-85551127,
佛心大药房十七店,地址：广东省佛山市南海区大沥沥北沥雅路龙西店铺第3-4间,电话：0757-85573137,
佛心大药房汾江分店,地址：广东省佛山市禅城区汾江西路6号一座首层C号铺,电话：0757-83355717,
佛心大药房帆康分店,地址：广东省佛山市南海区大沥桂江农产品综合市场内10A号楼31、32号,电话：0757-85539937,
潮州市千禧贸易有限公司千禧大药房环城分店,地址：广东省潮州市环城西路51号首层,电话：076-82899732,
潮州市千禧贸易有限公司千禧大药房官塘分店,地址：广东省潮州市官塘镇石湖村庵顶路二横西4号,电话：076-86121305,
潮州市千禧贸易有限公司千禧大药房彩虹分店,地址：广东省潮州市枫溪区彩虹路段南国花苑商铺,电话：076-82981197,
潮州市千禧贸易有限公司千禧大药房奎元分店,地址：广东省潮州市奎元路粤海花园A区41号门市,电话：076-82399180,
潮州市千禧贸易有限公司千禧大药房沙溪药分店,地址：广东省潮州市潮安县沙溪镇中明路头,电话：076-86537776,
潮州市千禧贸易有限公司千禧大药房龙湖分店,地址：广东省潮州市龙湖镇龙鹳路新市场20—22号铺面,电话：076-86598528,
潮州市千禧贸易有限公司千禧大药房庵埠分店,地址：广东省潮州市潮汕公路华侨医院斜对面,电话：076-86617758,
潮州市千禧贸易有限公司千禧大药房亨利分店,地址：广东省潮州市庵埠镇亨利北路尾,电话：076-86611638,
潮州市千禧贸易有限公司千禧大药房绿榕分店,地址：广东省潮州市绿榕路馨乐楼（即新天地网吧对面）B懂8号,电话：076-82219948,
潮州市千禧贸易有限公司千禧大药房济阳分店,地址：广东省潮州市江东镇下水头村路段,电话：076-86121358,
潮州市千禧贸易有限公司千禧大药房江东分店,地址：广东省潮州市江东镇中横路中段,电话：076-86699185,
潮州市千禧贸易有限公司千禧大药房福安分店,地址：广东省潮州市福安路中段千禧大厦,电话：无,
潮州市千禧贸易有限公司千禧大药房凤凰分店,地址：广东省潮州市凤凰镇政府正对面,电话：076-86782038,
潮州市千禧贸易有限公司千禧大药房磷溪分店,地址：广东省潮州市磷溪镇安澄路中段,电话：076-86281488,
潮州市千禧贸易有限公司千禧大药房北桥分店,地址：广东省潮州市春荣路玉兰园综合楼首层西南角铺面,电话：076-82139353,
潮州市千禧贸易有限公司千禧大药房桥东分店,地址：广东省潮州市湘桥区桥东街道卧石村道口（技校门口）,电话：076-82503030,
潮州市千禧贸易有限公司千禧大药房登塘分店,地址：广东省潮州市登塘镇登塘村石牌龙新礼拜堂对面,电话：076-86826100,
潮州市千禧贸易有限公司千禧大药房溪口分店,地址：广东省潮州市磷溪镇镇政府路,电话：076-82260978,
潮州市千禧贸易有限公司千禧大药房归湖分店,地址：广东省潮州市归湖镇金兴街105号（即归湖戏院斜对面）,电话：076-86751390,
潮州市千禧贸易有限公司千禧大药房凤塘分店,地址：广东省潮州市凤塘镇凤林路凤玉路交界处,电话：076-86859139,
潮州市千禧贸易有限公司千禧大药房意溪分店,地址：广东省潮州市意溪镇意东路中段383号南侧综合楼,电话：076-82329855,
潮州市千禧贸易有限公司千禧大药房古新分店,地址：广东省潮州市潮安县古巷镇市街（原经销社行政办公楼）,电话：076-82995838,
潮州市千禧贸易有限公司千禧大药房文祠分店,地址：广东省潮州市文祠镇上坷村交警中队一楼,电话：076-86744926,
潮州市千禧贸易有限公司千禧大药房铁铺分店,地址：广东省潮州市铁铺镇铺埔村交警中队对面,电话：076-86735385,
潮州市千禧贸易有限公司千禧大药房古德分店,地址：广东省潮州市古巷镇古巷大道古竹街右侧,电话：076-86934690,
潮州市千禧贸易有限公司千禧大药房国药分店,地址：广东省潮州市城新路20号（潮州医院右侧）,电话：无,
潮州市千禧贸易有限公司千禧大药房金石分店,地址：广东省潮州市金石镇金石大道中段,电话：076-86550606,
潮州市千禧贸易有限公司千禧大药房东凤分店,地址：广东省潮州市东凤镇鳌头乡农村信用合作社隔壁,电话：076-85420778,
潮州市千禧贸易有限公司千禧大药房彩塘分店,地址：广东省潮州市彩塘镇华侨医院右侧,电话：076-86674008,
潮州市千禧贸易有限公司千禧大药房医保分店,地址：广东省潮州市南较路（粤潮市场对面),电话：076-82352111,
潮州市千禧贸易有限公司千禧大药房凤翔分店,地址：广东省潮州市潮汕公路乌洋市场北侧,电话：076-85226030,
潮州市千禧贸易有限公司千禧大药房怀德分店,地址：广东省潮州市枫溪瓷新路（商城门口）,电话：076-82926331,
潮州市千禧贸易有限公司千禧大药房永护分店,地址：广东省潮州市永护路15号（汽车总站对面）,电话：076-82895990,
潮州市千禧贸易有限公司千禧大药房千禧林分店,地址：广东省潮州市环城西路59号（中心医院对面）,电话：076-82899733,
广东省东莞市塘厦一方药房,地址：广东省东莞市塘厦镇诸佛岭迎宾小区商住步行街59-101号,电话：0769-33352337,
金康药房连锁华港店,地址：广东省广州市天河区天河路宏城广场C区169-170,电话：020-87593115,
广东金康药房天河城店,地址：广东省广州市天河区天河路208号粤海天河城大厦,电话：020-85239619,
广东金康药房振兴店,地址：广东省广州市天河区沙河路105号振兴商业大厦首层,电话：020-87640091,
广东金康药房西湾店,地址：广东省广州市荔湾区西湾路120号首层（广州市商业银行旁）,电话：020-86520822,
广东金康药房新村店,地址：广东省广州市荔湾区恩洲大巷209号,电话：020-81028726,
金康药房广舞台二马路店,地址：广东省广州市越秀区广舞台二马路,电话：020-87640090,
金康药房连锁车陂店,地址：广东省广州市天河区车陂路399号正大万客隆选购中心,电话：020-87755217,
广东金康药房黄埔石化店,地址：广东省广州市黄埔区石化路文冲商贸大厦8楼,电话：020-82481171,
广东金康药房员村店,地址：广东省广州市天河员村新街5号昌乐居101-102号,电话：020-85578191,
金康药房幸福新村店,地址：广东省广州市荔湾区幸福新村8号,电话：020-81029579,
金康药房连锁乐济堂店,地址：广东省广州市荔湾区仁济路87号,电话：020-81879978,
金康药店连锁华贵平价大卖场,地址：广东省广州市花都区华贵路113号,电话：020-81949870,
广东金康药房云霄店,地址：广东省广州市白云区三元里大道406号,电话：020-86347176,
金康药房连锁车陂分店,地址：广东省广州市天河区中山大道车陂北街3号（唐苑酒家斜对面）,电话：020-82305323,
金康药房员村新街店,地址：广东省广州市天河区员村新街3号,电话：020-34130612,
金康药房平价大药房,地址：广东省广州市荔湾区华贵路113号,电话：020-81734823,
金康药房上冲西约店,地址：广东省广州市海珠区上冲西约新四巷1号,电话：020-84492395,
金康药房连锁朝晖店,地址：广东省广州市天河区天寿路2-12号朝晖商业中心首层10号铺,电话：020-81919453,
金康药房江夏学校北店,地址：广东省广州市白云区江夏学校北一巷1号,电话：020-87755219,
金康药房天平架同路店,地址：广东省广州市天河区天平架同路,电话：020-87647091,
广东金康药房西村店,地址：广东省广州市荔湾区西湾路西湾东一街7号,电话：020-86520822,
广东金康药房石溪店,地址：广东省广州市海珠区凤岗路40号盈丰华轩首层,电话：020-34130908,
金康药房连锁桥中店,地址：广东省广州市荔湾区河沙桥中中路42、44号,电话：020-81751715,
广东金康药房晓园店,地址：广东省广州市海珠区敦和路自编1005档,电话：020-62360312,
广东金康药房黄石大卖场,地址：广东省广州市白云区机场路1780，1782,1790号成丰大厦首层,电话：020-36301406,
广东金康药房赤岗大卖场,地址：广东省广州海珠区新港中路419号（原新港购物中心）,电话：020-84285878,
金康药房三水区兴业五路店,地址：广东省佛山市三水区兴业五路,电话：0757-87770716,
金康大药房阳江市店,地址：广东省阳江市江城区滘桥新路22号,电话：0662-6154502,
金康药房禅城区澜石一路店,地址：广东省佛山市禅城区澜石一路,电话：0757-83294123,
金康药房金台路,地址：广东省阳江市江城区东山路156号,电话：0662-2235190,
金康药房三坑店,地址：广东省清远市清新区黄坑笔架路3号,电话：0763-5863728,
金康药房连锁顺德文秀药店,地址：广东省佛山市顺德区文秀路嘉信广场首层90号商铺,电话：0757-22201779,
金康药房东山路店,地址：广东省阳江市江城区东山路12号,电话：0662-2235190,
金康药房连江路店,地址：广东省清远市清城区连江路78号,电话：0763-6178651,
金康药房锦华路店,地址：广东省佛山市禅城区锦华路,电话：0757-82237123,
金康药房金沙店,地址：广东省深圳市龙岗区沙田南路9号,电话：0755-8412678,
金康药房金康大街店,地址：广东省清远市清城区金康大街35号,电话：0763-8895570,
金康药房广州大道北店,地址：广东省广州市白云区广州大道北2090号,电话：020-86208227,
金康药房平价大卖场,地址：广东省佛山市三水区园林路33号,电话：0757-87769288,
金康药房连东方广场平价大卖场,地址：广东省佛山市禅城区锦华东路5号东方广场德胜楼首层,电话：0757-82309821,
金康大药房樟阁路店,地址：广东省深圳市宝安区樟阁路 附近,电话：0755-86546702,
金康药房富荣店,地址：广东省清远市清城区府前路23,电话：0763-3205628,
金康药房金龙路店,地址：广东省东莞市金龙路,电话：0769-22912779,
金康药房府前路店,地址：广东省深圳市龙岗区沙田南路20号（力标识有限公司对面）,电话：0755-8412678,
金康药房和平店,地址：广东省清远市清城区东岗二路59号,电话：0763-6112354,
金康药房连锁三元里店,地址：广东省广州市白云区广花二路2，4，6号易初莲花购物中心,电话：020-86520527,
金康药房四会市东城区店,地址：广东省肇庆市四会市建设路23号旁,电话：0758-8577544,
金康药房墨江路店,地址：广东省韶关市始兴县墨江北路56号,电话：0751-5745456,
金康药房朝阳店,地址：广东省清远市清城区城中路附近,电话：0763-6805888,
金康药房新城路店,地址：广东省肇庆市高要市新城路19号,电话：0758-8558630,
金康药房广富路店,地址：广东省汕尾市海丰县广富路附近,电话：无,
金康药房时雨店,地址：广东省清远市清城区X365附近,电话：0763-3206564,
金康药房德庆县德城店,地址：广东省肇庆市德庆县环城路77号,电话：0758-8551041,
金康药房望埠镇店,地址：广东省清远市英德市望埠镇,电话：0763-6105245,
金康大药房清城店,地址：广东省清远市清城区G107附近,电话：0763-86554641,
金康药房思贤路店,地址：广东省清远市阳山县思贤路306号,电话：无,
金康药房田兴村店,地址：广东省梅州市平远县田兴村楼一32号,电话：0753-8291988,
金康药房华慧街店,地址：广东省梅州市梅县区华慧街9-8号,电话：0753-5721002,
金康药房银苑店,地址：广东省茂名市高州市S280附近,电话：0668-6134567,
金康药房东岗店,地址：广东省江门市台山市365省道附近,电话：0750-5733525,
金康药房南湖店,地址：广东省惠州市惠阳区南湖北路42号,电话：0752-5764553,
金康药房北秀店,地址：广东省广州市越秀区小北路天香街3号北秀花园商场千式广场,电话：020-86200141,
金康药房海滨二路店,地址：广东省惠州市惠东县海滨二路中附近,电话：0752-84362542,
广东金康药房东百署前店,地址：广东省广州市越秀区署前路3号东山百货大楼,电话：020-86540440,
金康药房埔前大道店,地址：广东省河源市源城区埔前大道附近,电话：0762-5745536,
广东金康药房中粤店,地址：广东省广州市越秀区先烈中路78号1楼,电话：020-37616912,
广东金康药房车陂大卖场,地址：广东省广州市天河区中山大道88号自编A1-1铺,电话：020-86578952,
广东金康药房五羊店,地址：广东省广州市天河区沙河镇龙洞牌坊1号自编A铺,电话：020-87013743,
金康药房水荫店,地址：广东省广州市越秀区水荫路43号之一1楼,电话：020-85205418,
金康药房雅景店,地址：广东省广州市越秀区麓景路50-98号1楼,电话：020-38894580,
金康药房华港店,地址：广东省广州市天河区路208号城3层313号铺,电话：无,
广东金康药房东方店,地址：广东省广州市越秀区水荫路21号,电话：020-87323271,
金康药房益泰福店,地址：广东省广州市天河区长兴路223号,电话：020-86545150,
金康药房黄埔店,地址：广东省广州市天河区黄埔大道371号石牌综合楼,电话：020-38891488,
金康药房中粤分店,地址：广东省广州市越秀区中山二路24号,电话：020-86273422,
广东金康药房海珠南店,地址：广东省广州市越秀区海珠南路154号,电话：020-81918453,
金康药房广州大道店,地址：广东省广州市天河区广州大道北613号,电话：020-87640098,
金康药房朝晖店,地址：广东省广州市天河区天寿路2-12号朝晖商业中心1楼10号铺,电话：020-38808260,
广东金康药房东堤店,地址：广东省广州市越秀区广舞台二马路20号首层,电话：020-86545210,
金康药房珠江俊园店,地址：广东省广州市天河区枫叶路3号15铺,电话：020-80412478,
广东金康药房广百中怡店,地址：广东省广州市天河区天河路200号广百百货负2层,电话：020-85289615,
金康药房棠下店,地址：广东省广州市天河区东圃镇棠下村金棠大厦1楼,电话：020-86205489,
广东金康药房棠下分店,地址：广东省广州市天河区中山大道西491号1-3号,电话：020-86504854,
金康药房新陶店,地址：广东省广州市天河区石牌东路新陶北街8、10、12号,电话：020-38891218,
金康药房东圃店,地址：广东省广州市天河区东圃陂东路6号自编号第5档,电话：020-34820450,
金康药房凤凰广场店,地址：广东省广州市花都区凤凰北路广百百货花都凤凰广场店2层,电话：020-85201541,
金康药房站前路店,地址：广东省广州市荔湾区站前路近华侨酒店,电话：020-85201014,
金康药房广百世纪2店,地址：广东省广州市海珠区新港西路235号愉景大厦31栋1楼,电话：020-38545100,
金康药房环市店,地址：广东省广州市荔湾区站前横路52号,电话：020-86221533,
金康药房长寿路店,地址：广东省广州市荔湾区文昌南路84号1楼文昌阁,电话：020-81294690,
金康药房广百世纪店,地址：广东省广州市海珠区新港西路235号,电话：020-86288540,
广东金康药房南岸店,地址：广东省广州市荔湾区南岸路77之5号,电话：020-81328253,
金康药房金碧店,地址：广东省广州市黄埔区中山大道东81号1楼A号铺,电话：020-86245671,
金康药房下渡路店,地址：广东省广州市海珠区上渡路135号乐涛苑2楼,电话：020-34218244,
金康药房,地址：广东省广州市黄埔区荔红路112号,电话：020-38800144,
金康药房夏园店,地址：广东省广州市黄埔区黄埔东路2700-2728号夏园大厦,电话：020-38456345,
金康药房健和堂店,地址：广东省广州市海珠区瑞源街1巷10号附近,电话：020-87854541,
金康大药房狮岭镇店,地址：广东省广州市花都区狮岭镇,电话：020-86532130,
金康药房南洲北路店,地址：广东省广州市海珠区南洲北路15号,电话：020-38890333,
金康药房致保店,地址：广东省广州市海珠区南新一街64号,电话：020-83400878,
金康药房江燕店,地址：广东省广州市海珠区江燕路353号保利红棉花园内街,电话：020-84382867,
金康药房昌岗店,地址：广东省广州市海珠区昌岗中路216号,电话：020-84324337,
金康药房西丽店,地址：广东省广州市番禺区市桥镇西丽路146号西丽大厦A栋地下铺,电话：020-34545871,
金康药房上冲店,地址：广东省广州市海珠区东风乡上冲西村约新四街1号,电话：020-38410044,
金康药房城西路店,地址：广东省广州市番禺区大石镇城西路99号,电话：020-37606884,
金康药房富华分店,地址：广东省广州市番禺区市桥街2号钻汇珠宝广场,电话：020-82112000,
广东金康药房棠安店,地址：广东省广州市白云区棠安路111\/113号,电话：020-86571204,
金康药房环城店,地址：广东省广州市白云区萧岗涌南大街51号,电话：020-84500155,
广东金康药房赤岗北店,地址：广东省广州市海珠区赤岗北路34~44号,电话：020-89663365,
金康药房培贤东路店,地址：广东省广州市番禺区东涌镇培贤东路近东涌娱乐场,电话：020-37610042,
广东金康药房宝岗店,地址：广东省广州市海珠区宝岗大道92-7号,电话：020-87693650,
金康药房夏茅店,地址：广东省广州市白云区石井镇,电话：020-86505488,
金康药房德兴西路店,地址：广东省广州市番禺区德兴西路32号,电话：020-37884545,
金康药房仁福堂店,地址：广东省广州市白云区萧岗涌南大街3号,电话：020-84546466,
金康药房赤岗北路店,地址：广东省广州市海珠区赤岗北路,电话：020-38897778,
金康药房三元里店,地址：广东省广州市白云区三元里大道406号自编A铺,电话：020-86387729,
广东金康药房番禺钟村店,地址：广东省广州市番禺区钟村镇钟屏岔道钟村三村路钟福广场2层,电话：020-37645481,
金康药房灵草堂店,地址：广东省广州市白云区平沙南街21附近,电话：020-80225487,
金康药房德兴路店,地址：广东省广州市番禺区德兴路372号,电话：020-37605487,
金康药房西岭店,地址：广东省广州市白云区西林市场,电话：020-80908668,
金康药房广源店,地址：广东省广州市白云区广园中路景泰西8巷39号1楼3号铺,电话：020-86567137,
金康药房同德围店,地址：广东省广州市白云区西槎路324和326和328号,电话：020-86460728,
金康药房三水园林店,地址：广东省佛山市三水区西南街园林路33号1楼之2号铺,电话：0757-80420477,
金康药房庆华店,地址：广东省佛山市高明区一一三省道与人顺路交界处,电话：0757-84580104,
金康药房汾江南路店,地址：广东省佛山市禅城区银苑市场,电话：0757-6114350,
金康药房汾江路店,地址：广东省佛山市禅城区汾江中路79号,电话：0757-8569985,
金康药房万丰路店,地址：广东省东莞市万丰路41号,电话：0769-5702255,
金康药房红棉路店,地址：广东省东莞市红棉路附近,电话：0769-8577999,
金康药房罗村路店,地址：广东省东莞市罗村路2号,电话：0769-4589558,
金康药房横沥分店,地址：广东省东莞市骏马路255附近,电话：0769-84557871,
金康药房金沙西路店,地址：广东省东莞市金沙西路附近,电话：0769-86546481,
深圳润泽堂药业塘下涌分店,地址：广东省深圳市宝安区松岗镇塘下涌富塘路44号,电话：0755-27051503,
深圳润泽堂药业桥头分店,地址：广东省深圳市宝安区福永街道桥头社区宝安大道6269号－8,电话：无,
深圳润泽堂药业和仁康分店,地址：广东省深圳市宝安区石岩街道官田社区塘坑路59号03铺,电话：0755-27634339,
深圳润泽堂药业时珍分店,地址：广东省深圳市宝安区西乡街道流塘社区建安二路124号一楼101,电话：0755-27586261,
深圳润泽堂药业劳动分店,地址：广东省深圳市宝安区西乡街道劳动社区劳动路66号1楼101,电话：无,
深圳润泽堂药业福民二分店,地址：广东省深圳市宝安区福永街道桥头村大洋田工业区富通工业园综合楼1楼天源隆货仓商场,电话：0755-33678910,
深圳润泽堂药业圳美一分店,地址：广东省深圳市光明街道圳美华侨新村A栋8号铺,电话：0755-81767617,
深圳润泽堂药业福海二分店,地址：广东省深圳市福永街道福海大道14号楼,电话：无,
深圳润泽堂药业棕榈堡分店,地址：广东省深圳市沙井街道万丰路东侧棕榈堡花园5栋99、100,电话：无,
深圳润泽堂药业蚌岗分店,地址：广东省深圳市宝安区松岗街道东方社区蚌岗村大街A2栋101,电话：0755-27056762,
深圳润泽堂药业长明分店,地址：广东省深圳市光明新区公明街道长圳村,电话：无,
深圳润泽堂药业永春分店,地址：广东省深圳市宝安区福永街道大洋田开发区福安广场第3栋一层A36,电话：无,
深圳润泽堂药业华荣分店,地址：广东省深圳市大浪街道大浪社区新围新村新华荣市场12号A栋102,电话：无,
深圳润泽堂药业家美分店,地址：广东省深圳市宝安区松岗街道罗田社区高田大道一号综合楼9号铺,电话：无,
深圳润泽堂药业百盛佳分店,地址：广东省深圳市宝安区沙井街道沙三社区帝堂路东北角永辉大厦一楼B区1号,电话：0755-36948883,
深圳润泽堂药业和一分店,地址：广东省深圳市宝安区沙井街道和一社区和一新村19栋一层2号铺,电话：0755-36948881,
深圳润泽堂药业龙华富联分店,地址：广东省深圳市龙华新区龙华办事处富联二区149号一楼,电话：0755-29674802,
深圳润泽堂药业德金分店,地址：广东省深圳市宝安区福永街道和平社区桥和路德金花园阳光苑综合楼1楼5号铺,电话：无,
深圳润泽堂药业东方分店,地址：广东省深圳市宝安区松岗街道东方立业路商住楼B区二排9栋101,电话：无,
深圳润泽堂药业三合分店,地址：广东省深圳市宝安区大浪街道三合华侨新村52栋一楼101房,电话：无,
深圳润泽堂药业喜客隆分店,地址：广东省深圳市宝安区沙井街道后亭雅苑CD座106,电话：0755-61516588,
深圳润泽堂药业中环分店,地址：广东省深圳市宝安区民治街道上芬社区西头市场二楼西南分隔体,电话：无,
深圳润泽堂药业福家康分店,地址：广东省深圳市宝安区沙井街道沙民马安山工业区E3栋一层一号铺,电话：0755-36948885,
深圳润泽堂药业东湖分店,地址：广东省深圳市光明办事处翠湖社区八达运输公司旁158号广东省深圳市光明新区,电话：无,
深圳润泽堂药业天骄分店,地址：广东省深圳市松岗街道107国道松岗段41号、43号一层南,电话：0755-33660319,
深圳润泽堂药业福圆分店,地址：广东省深圳市宝安区福永街道和平社区福圆一路高新科技园8栋首层2号铺,电话：无,
深圳润泽堂药业楼村二分店,地址：广东省深圳市宝安区公明办事处楼村社区绘猫路40号,电话：0755-27116065,
深圳润泽堂药业华丰分店,地址：广东省深圳市松岗街道燕川村北部华丰工业园,电话：无,
深圳润泽堂药业金湖湾分店,地址：广东省深圳市宝安区观澜街道大三社区金湖湾379栋102,电话：0755-29077609,
深圳润泽堂药业桥新分店,地址：广东省深圳市福永街道新和社区蚝业路43-3-4铺,电话：0755-23200000,
深圳润泽堂药业盈昌分店,地址：广东省深圳市宝安区沙井街道新桥新发工业区新发南路3号A36-38,电话：0755-27286835,
深圳润泽堂药业民康分店,地址：广东省深圳市宝安区观澜街道星花社区第二市场5-15号（单号）六单元101,电话：0755-27988961,
深圳润泽堂药业金凤凰分店,地址：广东省深圳市福永街道凤凰第四工业区合众小区C幢金凤凰购物广场首层,电话：无,
深圳润泽堂药业蚝二分店,地址：广东省深圳市宝安区沙井街道蚝乡路蚝二工业区锦绣商业楼113号,电话：13267030302,
深圳润泽堂药业东财分店,地址：广东省深圳市宝安区西乡街道固戌社区海滨新村二区五巷9号101,电话：0755-61108015,
深圳润泽堂药业南边分店,地址：广东省深圳市松岗街道东方大田洋工业区（华美路段）华丰商铺01号,电话：无,
深圳润泽堂药业富乐分店,地址：广东省深圳市光明街道富乐工业区51、52栋6-7号,电话：无,
深圳润泽堂药业罗屋围分店,地址：广东省深圳市宝安区大浪街道大浪社区罗屋围新村33栋103-104,电话：无,
深圳润泽堂药业丰盛湖分店,地址：广东省深圳市观澜街道牛湖社区观天路先强工业村对面2栋五层楼房一层CS-A1-01,电话：0755-82597420,
深圳润泽堂药业丽城分店,地址：广东省深圳市宝安区沙井街道办丽城科技园商业楼F19、F20商铺,电话：无,
深圳润泽堂药业南庄分店,地址：广东省深圳市公明街道将石社区南庄中心街一排7栋101,电话：0755-27132955,
深圳润泽堂药业福苑分店,地址：广东省深圳市观澜街道福民社区茜坑路供电所侧第一层14号铺,电话：0755-29522696,
